Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/02/2026 	_x86_64_	(64 CPU)

06:31:41 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:31:42 PM  1000    539255  235.00    7.00    0.00    0.00  242.00     0  java
06:31:43 PM  1000    539255   49.00    2.00    0.00    0.00   51.00     0  java
06:31:44 PM  1000    539255    0.00    0.00    0.00    0.00    0.00     0  java
06:31:45 PM  1000    539255    0.00    0.00    0.00    0.00    0.00     0  java
06:31:46 PM  1000    539255    0.00    0.00    0.00    0.00    0.00     0  java
06:31:47 PM  1000    539255    0.00    0.00    0.00    0.00    0.00     0  java
06:31:48 PM  1000    539255    0.00    0.00    0.00    0.00    0.00     0  java
06:31:49 PM  1000    539255   15.00    2.00    0.00    0.00   17.00     0  java
06:31:50 PM  1000    539255  335.00   26.00    0.00    0.00  361.00     0  java
06:31:51 PM  1000    539255  370.00   25.00    0.00    0.00  395.00     0  java
06:31:52 PM  1000    539255  361.00   33.00    0.00    0.00  394.00     0  java
06:31:53 PM  1000    539255  346.00   45.00    0.00    0.00  391.00     0  java
06:31:54 PM  1000    539255  337.00   54.00    0.00    0.00  391.00     0  java
06:31:55 PM  1000    539255  311.00   75.00    0.00    0.00  386.00     0  java
06:31:56 PM  1000    539255  314.00   74.00    0.00    0.00  388.00     0  java
06:31:57 PM  1000    539255  308.00   79.00    0.00    0.00  387.00     0  java
06:31:58 PM  1000    539255  305.00   80.00    0.00    0.00  385.00     0  java
06:31:59 PM  1000    539255  306.00   81.00    0.00    0.00  387.00     0  java
06:32:00 PM  1000    539255  301.00   86.00    0.00    0.00  387.00     0  java
06:32:01 PM  1000    539255  299.00   87.00    0.00    0.00  386.00     0  java
06:32:02 PM  1000    539255  298.00   88.00    0.00    0.00  386.00     0  java
06:32:03 PM  1000    539255  304.00   82.00    0.00    0.00  386.00     0  java
06:32:04 PM  1000    539255  300.00   86.00    0.00    0.00  386.00     0  java
06:32:05 PM  1000    539255  294.00   92.00    0.00    0.00  386.00     0  java
06:32:06 PM  1000    539255  299.00   87.00    0.00    0.00  386.00     0  java
06:32:07 PM  1000    539255  289.00   96.00    0.00    0.00  385.00     0  java
06:32:08 PM  1000    539255  294.00   90.00    0.00    0.00  384.00     0  java
