Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/02/2026 	_x86_64_	(64 CPU)

07:13:01 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:13:02 PM  1000    566575    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
07:13:03 PM  1000    566575    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
07:13:04 PM  1000    566575    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
07:13:05 PM  1000    566575    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
07:13:06 PM  1000    566575    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
07:13:07 PM  1000    566575    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
07:13:08 PM  1000    566575    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
07:13:09 PM  1000    566575    1.00    0.00    0.00    0.00    1.00     0  quarkus3-runner
07:13:10 PM  1000    566575  232.00  117.00    0.00    0.00  349.00     0  quarkus3-runner
07:13:11 PM  1000    566575  236.00  123.00    0.00    0.00  359.00     0  quarkus3-runner
07:13:12 PM  1000    566575  243.00  135.00    0.00    0.00  378.00     0  quarkus3-runner
07:13:13 PM  1000    566575  245.00  131.00    0.00    0.00  376.00     0  quarkus3-runner
07:13:14 PM  1000    566575  240.00  130.00    0.00    0.00  370.00     0  quarkus3-runner
07:13:15 PM  1000    566575  239.00  133.00    0.00    0.00  372.00     0  quarkus3-runner
07:13:16 PM  1000    566575  249.00  127.00    0.00    0.00  376.00     0  quarkus3-runner
07:13:17 PM  1000    566575  245.00  125.00    0.00    0.00  370.00     0  quarkus3-runner
07:13:18 PM  1000    566575  246.00  130.00    0.00    0.00  376.00     0  quarkus3-runner
07:13:19 PM  1000    566575  242.00  133.00    0.00    0.00  375.00     0  quarkus3-runner
07:13:20 PM  1000    566575  240.00  129.00    0.00    0.00  369.00     0  quarkus3-runner
07:13:21 PM  1000    566575  240.00  135.00    0.00    0.00  375.00     0  quarkus3-runner
07:13:22 PM  1000    566575  241.00  133.00    0.00    0.00  374.00     0  quarkus3-runner
07:13:23 PM  1000    566575  237.00  129.00    0.00    0.00  366.00     0  quarkus3-runner
07:13:24 PM  1000    566575  239.00  134.00    0.00    0.00  373.00     0  quarkus3-runner
07:13:25 PM  1000    566575  240.00  124.00    0.00    0.00  364.00     0  quarkus3-runner
07:13:26 PM  1000    566575  239.00  126.00    0.00    0.00  365.00     0  quarkus3-runner
07:13:27 PM  1000    566575  244.00  127.00    0.00    0.00  371.00     0  quarkus3-runner
07:13:28 PM  1000    566575  236.00  127.00    0.00    0.00  363.00     0  quarkus3-runner
07:13:29 PM  1000    566575  237.00  123.00    0.00    0.00  360.00     0  quarkus3-runner
07:13:30 PM  1000    566575  237.00  128.00    0.00    0.00  365.00     0  quarkus3-runner
07:13:31 PM  1000    566575  237.00  132.00    0.00    0.00  369.00     0  quarkus3-runner
07:13:32 PM  1000    566575  234.00  131.00    0.00    0.00  365.00     0  quarkus3-runner
07:13:33 PM  1000    566575  238.00  124.00    0.00    0.00  362.00     0  quarkus3-runner
07:13:34 PM  1000    566575  241.00  128.00    0.00    0.00  369.00     0  quarkus3-runner
07:13:35 PM  1000    566575  233.00  130.00    0.00    0.00  363.00     0  quarkus3-runner
07:13:36 PM  1000    566575  236.00  125.00    0.00    0.00  361.00     0  quarkus3-runner
07:13:37 PM  1000    566575  238.00  132.00    0.00    0.00  370.00     0  quarkus3-runner
07:13:38 PM  1000    566575  243.00  120.00    0.00    0.00  363.00     0  quarkus3-runner
07:13:39 PM  1000    566575  240.00  124.00    0.00    0.00  364.00     0  quarkus3-runner
07:13:40 PM  1000    566575  232.00  132.00    0.00    0.00  364.00     0  quarkus3-runner
07:13:41 PM  1000    566575  242.00  126.00    0.00    0.00  368.00     0  quarkus3-runner
07:13:42 PM  1000    566575  241.00  123.00    0.00    0.00  364.00     0  quarkus3-runner
07:13:43 PM  1000    566575  235.00  130.00    0.00    0.00  365.00     0  quarkus3-runner
07:13:44 PM  1000    566575  239.00  130.00    0.00    0.00  369.00     0  quarkus3-runner
07:13:45 PM  1000    566575  235.00  128.00    0.00    0.00  363.00     0  quarkus3-runner
