Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/02/2026 	_x86_64_	(64 CPU)

07:32:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:32:14 PM  1000    584913  286.14    4.95    0.00    0.00  291.09     0  java
07:32:15 PM  1000    584913  286.00    7.00    0.00    0.00  293.00     0  java
07:32:16 PM  1000    584913  267.00    4.00    0.00    0.00  271.00     0  java
07:32:17 PM  1000    584913  204.00    5.00    0.00    0.00  209.00     0  java
07:32:18 PM  1000    584913  250.00    2.00    0.00    0.00  252.00     0  java
07:32:19 PM  1000    584913    0.00    0.00    0.00    0.00    0.00     0  java
07:32:20 PM  1000    584913    0.00    0.00    0.00    0.00    0.00     0  java
07:32:21 PM  1000    584913    0.00    0.00    0.00    0.00    0.00     0  java
07:32:22 PM  1000    584913  198.00   11.00    0.00    0.00  209.00     0  java
07:32:23 PM  1000    584913  373.00   21.00    0.00    0.00  394.00     0  java
07:32:24 PM  1000    584913  372.00   20.00    0.00    0.00  392.00     0  java
07:32:25 PM  1000    584913  371.00   22.00    0.00    0.00  393.00     0  java
07:32:26 PM  1000    584913  370.00   22.00    0.00    0.00  392.00     0  java
07:32:27 PM  1000    584913  368.00   25.00    0.00    0.00  393.00     0  java
07:32:28 PM  1000    584913  364.00   27.00    0.00    0.00  391.00     0  java
07:32:29 PM  1000    584913  361.00   31.00    0.00    0.00  392.00     0  java
07:32:30 PM  1000    584913  352.00   40.00    0.00    0.00  392.00     0  java
07:32:31 PM  1000    584913  364.00   27.00    0.00    0.00  391.00     0  java
07:32:32 PM  1000    584913  354.00   35.00    0.00    0.00  389.00     0  java
07:32:33 PM  1000    584913  350.00   41.00    0.00    0.00  391.00     0  java
07:32:34 PM  1000    584913  354.00   37.00    0.00    0.00  391.00     0  java
07:32:35 PM  1000    584913  351.00   40.00    0.00    0.00  391.00     0  java
07:32:36 PM  1000    584913  349.00   39.00    0.00    0.00  388.00     0  java
07:32:37 PM  1000    584913  353.00   37.00    0.00    0.00  390.00     0  java
07:32:38 PM  1000    584913  348.00   42.00    0.00    0.00  390.00     0  java
07:32:39 PM  1000    584913  344.00   45.00    0.00    0.00  389.00     0  java
07:32:40 PM  1000    584913  344.00   46.00    0.00    0.00  390.00     0  java
07:32:41 PM  1000    584913  343.00   46.00    0.00    0.00  389.00     0  java
07:32:42 PM  1000    584913  344.00   44.00    0.00    0.00  388.00     0  java
07:32:43 PM  1000    584913  344.00   45.00    0.00    0.00  389.00     0  java
07:32:44 PM  1000    584913  343.00   46.00    0.00    0.00  389.00     0  java
07:32:45 PM  1000    584913  338.00   50.00    0.00    0.00  388.00     0  java
07:32:46 PM  1000    584913  336.00   53.00    0.00    0.00  389.00     0  java
07:32:47 PM  1000    584913  332.00   56.00    0.00    0.00  388.00     0  java
07:32:48 PM  1000    584913  332.00   56.00    0.00    0.00  388.00     0  java
07:32:49 PM  1000    584913  331.00   56.00    0.00    0.00  387.00     0  java
07:32:50 PM  1000    584913  323.00   65.00    0.00    0.00  388.00     0  java
07:32:51 PM  1000    584913  328.00   59.00    0.00    0.00  387.00     0  java
07:32:52 PM  1000    584913  328.00   60.00    0.00    0.00  388.00     0  java
07:32:53 PM  1000    584913  326.00   61.00    0.00    0.00  387.00     0  java
07:32:54 PM  1000    584913  322.00   64.00    0.00    0.00  386.00     0  java
07:32:55 PM  1000    584913  319.00   67.00    0.00    0.00  386.00     0  java
07:32:56 PM  1000    584913  322.00   62.00    0.00    0.00  384.00     0  java
07:32:57 PM  1000    584913  318.00   66.00    0.00    0.00  384.00     0  java
07:32:58 PM  1000    584913  317.00   68.00    0.00    0.00  385.00     0  java
07:32:59 PM  1000    584913  311.00   74.00    0.00    0.00  385.00     0  java
07:33:00 PM  1000    584913  270.00  117.00    0.00    0.00  387.00     0  java
07:33:01 PM  1000    584913  302.00   83.00    0.00    0.00  385.00     0  java
07:33:02 PM  1000    584913  306.00   79.00    0.00    0.00  385.00     0  java
07:33:03 PM  1000    584913  278.00  100.00    0.00    0.00  378.00     0  java
07:33:04 PM  1000    584913  279.00  104.00    0.00    0.00  383.00     0  java
07:33:05 PM  1000    584913  295.00   88.00    0.00    0.00  383.00     0  java
07:33:06 PM  1000    584913  281.00  103.00    0.00    0.00  384.00     0  java
07:33:07 PM  1000    584913  272.00  113.00    0.00    0.00  385.00     0  java
07:33:08 PM  1000    584913  290.00   95.00    0.00    0.00  385.00     0  java
07:33:09 PM  1000    584913  285.00   99.00    0.00    0.00  384.00     0  java
07:33:10 PM  1000    584913  284.00  101.00    0.00    0.00  385.00     0  java
07:33:11 PM  1000    584913  264.00  121.00    0.00    0.00  385.00     0  java
07:33:12 PM  1000    584913  274.00  112.00    0.00    0.00  386.00     0  java
07:33:13 PM  1000    584913  282.00  104.00    0.00    0.00  386.00     0  java
07:33:14 PM  1000    584913  258.00  125.00    0.00    0.00  383.00     0  java
07:33:15 PM  1000    584913  255.00  132.00    0.00    0.00  387.00     0  java
07:33:16 PM  1000    584913  287.00   95.00    0.00    0.00  382.00     0  java
07:33:17 PM  1000    584913  284.00  101.00    0.00    0.00  385.00     0  java
07:33:18 PM  1000    584913  265.00  120.00    0.00    0.00  385.00     0  java
07:33:19 PM  1000    584913  262.00  123.00    0.00    0.00  385.00     0  java
07:33:20 PM  1000    584913  278.00  106.00    0.00    0.00  384.00     0  java
07:33:21 PM  1000    584913  265.00  120.00    0.00    0.00  385.00     0  java
07:33:22 PM  1000    584913  264.00  123.00    0.00    0.00  387.00     0  java
07:33:23 PM  1000    584913  283.00  100.00    0.00    0.00  383.00     0  java
07:33:24 PM  1000    584913  254.00  133.00    0.00    0.00  387.00     0  java
