Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/02/2026 	_x86_64_	(64 CPU)

08:15:17 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:15:18 PM  1000    622478  272.00    5.00    0.00    0.00  277.00     0  java
08:15:19 PM  1000    622478  281.00    5.00    0.00    0.00  286.00     0  java
08:15:20 PM  1000    622478  208.00    8.00    0.00    0.00  216.00     0  java
08:15:21 PM  1000    622478  294.00    4.00    0.00    0.00  298.00     0  java
08:15:22 PM  1000    622478  164.00    1.00    0.00    0.00  165.00     0  java
08:15:23 PM  1000    622478    0.00    0.00    0.00    0.00    0.00     0  java
08:15:24 PM  1000    622478    0.00    0.00    0.00    0.00    0.00     0  java
08:15:25 PM  1000    622478   12.00    2.00    0.00    0.00   14.00     0  java
08:15:26 PM  1000    622478  363.00   20.00    0.00    0.00  383.00     0  java
08:15:27 PM  1000    622478  370.00   24.00    0.00    0.00  394.00     0  java
08:15:28 PM  1000    622478  366.00   23.00    0.00    0.00  389.00     0  java
08:15:29 PM  1000    622478  375.00   18.00    0.00    0.00  393.00     0  java
08:15:30 PM  1000    622478  370.00   23.00    0.00    0.00  393.00     0  java
08:15:31 PM  1000    622478  368.00   25.00    0.00    0.00  393.00     0  java
08:15:32 PM  1000    622478  357.00   33.00    0.00    0.00  390.00     0  java
08:15:33 PM  1000    622478  362.00   30.00    0.00    0.00  392.00     0  java
08:15:34 PM  1000    622478  357.00   35.00    0.00    0.00  392.00     0  java
08:15:35 PM  1000    622478  360.00   31.00    0.00    0.00  391.00     0  java
08:15:36 PM  1000    622478  354.00   38.00    0.00    0.00  392.00     0  java
08:15:37 PM  1000    622478  353.00   38.00    0.00    0.00  391.00     0  java
08:15:38 PM  1000    622478  344.00   47.00    0.00    0.00  391.00     0  java
08:15:39 PM  1000    622478  349.00   39.00    0.00    0.00  388.00     0  java
08:15:40 PM  1000    622478  345.00   46.00    0.00    0.00  391.00     0  java
08:15:41 PM  1000    622478  345.00   44.00    0.00    0.00  389.00     0  java
