Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/02/2026 	_x86_64_	(64 CPU)

07:55:38 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:55:39 PM 100998    604756    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:39 PM 100998    604757    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    604759    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:39 PM 100998    604760    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605685    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605701    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605706    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605707    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605709    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605710    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605712    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605713    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605714    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605715    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:39 PM 100998    605716    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605717    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605718    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605719    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:39 PM 100998    605721    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:39 PM 100998    605722    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605726    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605727    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:39 PM 100998    605729    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:39 PM 100998    605731    0.00    0.00    0.00    0.00    0.00     5  postgres

07:55:39 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:55:40 PM 100998    604756    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:40 PM 100998    604757    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    604759    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:40 PM 100998    604760    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605685    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605701    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605706    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605707    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605709    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605710    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605712    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605713    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605714    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605715    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:40 PM 100998    605716    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605717    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605718    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605719    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:40 PM 100998    605721    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:40 PM 100998    605722    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605726    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605727    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:40 PM 100998    605729    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:40 PM 100998    605731    0.00    0.00    0.00    0.00    0.00     5  postgres

07:55:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:55:41 PM 100998    604756    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:41 PM 100998    604757    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    604759    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:41 PM 100998    604760    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605685    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605701    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605706    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605707    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605709    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605710    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605712    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605713    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605714    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605715    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:41 PM 100998    605716    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605717    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605718    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605719    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:41 PM 100998    605721    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:41 PM 100998    605722    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605726    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605727    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:41 PM 100998    605729    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:41 PM 100998    605731    0.00    0.00    0.00    0.00    0.00     5  postgres

07:55:41 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:55:42 PM 100998    604756    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:42 PM 100998    604757    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    604759    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:42 PM 100998    604760    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605685    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605701    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605706    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605707    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605709    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605710    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605712    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605713    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605714    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605715    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:42 PM 100998    605716    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605717    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605718    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605719    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:42 PM 100998    605721    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:42 PM 100998    605722    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605726    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605727    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:42 PM 100998    605729    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:42 PM 100998    605731    0.00    0.00    0.00    0.00    0.00     5  postgres

07:55:42 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:55:43 PM 100998    604756    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:43 PM 100998    604757    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:43 PM 100998    604759    0.00    0.00    0.00    0.00    0.00     6  postgres
07:55:43 PM 100998    604760    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:43 PM 100998    605685    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:43 PM 100998    605701    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:43 PM 100998    605706    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:43 PM 100998    605707    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:43 PM 100998    605709    0.00    0.00    0.00    0.00    0.00     5  postgres
07:55:43 PM 100998    605710    0.00    0.00    0.00    0.00    0.00     5  postgres
