procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 390047808      0 286936    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390005248      0 332992    0    0 46364     0 3271 4005  0  0 100  0  0
 1  0      0 389995392      0 333056    0    0    52   716 6731 3965  0  1 99  0  0
 3  0      0 389959232      0 374000    0    0 41072     0 7139 5357  1  0 98  0  0
 3  0      0 389917920      0 391280    0    0 19132    12 5145 6979  3  0 97  0  0
 2  0      0 389844672      0 403284    0    0 13112    32 4252 5199  2  0 97  0  0
 0  0      0 389806656      0 405780    0    0  2200    32 1474 1178  1  0 99  0  0
13  0      0 389747200      0 414512    0    0  8428   312 11236 43877  3  1 95  0  0
25  0      0 389711296      0 414836    0    0   376     4 25954 112853  6  4 90  0  0
30  0      0 389708320      0 414908    0    0    80     4 24136 116317  6  4 90  0  0
27  0      0 389711616      0 415124    0    0   244    80 24833 129165  5  4 91  0  0
22  0      0 389714368      0 415276    0    0    32    44 28606 129459  5  4 91  0  0
52  0      0 389721888      0 415336    0    0    56     4 24563 127492  5  4 92  0  0
34  0      0 389721632      0 415348    0    0     4     0 28451 126805  5  4 92  0  0
25  0      0 389728832      0 415352    0    0     0     8 28671 128919  5  4 92  0  0
23  0      0 389728736      0 415432    0    0    20     0 26107 130699  5  4 92  0  0
32  0      0 389729120      0 415440    0    0     0     4 24898 127347  4  4 92  0  0
29  0      0 389734016      0 415444    0    0     0    40 25543 129286  5  4 92  0  0
34  0      0 389738784      0 415504    0    0    48     4 26312 130736  5  4 92  0  0
16  0      0 389749152      0 415508    0    0     0     8 24423 127230  5  3 92  0  0
22  0      0 389752288      0 415516    0    0     0     0 27441 129767  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 389757056      0 415520    0    0     0    76 25102 126561  5  3 92  0  0
26  0      0 389762464      0 415528    0    0     0     0 25833 129051  5  4 92  0  0
23  0      0 389765920      0 415532    0    0     0    44 25208 127036  4  3 92  0  0
22  0      0 389766368      0 415540    0    0     0     4 25196 124379  4  3 92  0  0
27  0      0 389770560      0 415616    0    0     0     0 25995 129165  5  4 92  0  0
14  0      0 389772448      0 415624    0    0     0     4 26836 125115  4  3 92  0  0
25  0      0 389771552      0 415632    0    0     4     8 27111 124411  4  3 92  0  0
 1  0      0 389774144      0 415636    0    0     0     8 27475 126085  4  4 92  0  0
32  0      0 389781984      0 415644    0    0     0    44 28006 126384  4  4 92  0  0
39  0      0 389791968      0 415648    0    0     0    76 27023 125213  4  4 92  0  0
 9  0      0 389799776      0 415656    0    0     0     0 26157 124288  4  3 92  0  0
34  0      0 389802144      0 415664    0    0    20    16 26699 127962  4  4 92  0  0
29  0      0 389809088      0 415668    0    0     0     0 26511 124876  4  3 92  0  0
11  0      0 389816000      0 415680    0    0     0     4 26432 125564  4  3 92  0  0
 1  0      0 389819808      0 415756    0    0     0    40 27450 127752  5  4 92  0  0
25  0      0 389829056      0 415764    0    0     0   308 26404 124271  4  4 92  0  0
24  0      0 389830112      0 415768    0    0     0   388 26644 124032  4  4 92  0  0
24  0      0 389834336      0 415776    0    0     0     4 25900 125975  4  4 92  0  0
36  0      0 389838848      0 415756    0    0    32   300 26371 128057  4  4 92  0  0
36  0      0 389839392      0 415764    0    0     0    84 25365 119152  4  3 92  0  0
19  0      0 389842016      0 415772    0    0     0    44 24130 119334  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
28  0      0 389844192      0 415780    0    0     0     4 24932 126641  4  4 92  0  0
24  0      0 389853120      0 415796    0    0     0     0 25669 125641  4  4 92  0  0
24  0      0 389859296      0 415800    0    0     0     8 27316 126222  4  4 92  0  0
22  0      0 389860608      0 415876    0    0     0     0 28196 124749  4  3 92  0  0
 8  0      0 389865184      0 415880    0    0     0     8 26188 123956  4  4 92  0  0
26  0      0 389869376      0 415888    0    0     0    40 26087 127940  4  4 92  0  0
31  0      0 389868768      0 415896    0    0     0     8 26891 124214  4  4 92  0  0
37  0      0 389868320      0 415900    0    0     0     0 26476 126012  4  3 92  0  0
35  0      0 389866368      0 415908    0    0     0     4 27177 126302  4  3 92  0  0
33  0      0 389870304      0 415916    0    0     0     0 26518 125158  4  4 92  0  0
11  0      0 389866976      0 415924    0    0     0     4 26016 124851  4  4 92  0  0
29  0      0 389871936      0 415928    0    0     0    40 26891 126717  4  3 92  0  0
25  0      0 389873344      0 415936    0    0     0     4 28476 125285  4  4 92  0  0
19  0      0 389879072      0 418740    0    0     4     0 31740 124043  4  4 92  0  0
26  0      0 389883008      0 418744    0    0     0     8 32700 127045  4  4 92  0  0
21  0      0 389887840      0 418752    0    0     0     0 31812 124641  4  4 92  0  0
23  0      0 389885888      0 418756    0    0     0     4 32125 124534  4  4 92  0  0
36  0      0 389886496      0 418768    0    0     0    44 31145 125114  4  4 92  0  0
32  0      0 389886624      0 418772    0    0     0     4 30840 124910  4  4 92  0  0
29  0      0 389892064      0 418780    0    0     0     8 30314 125338  4  4 92  0  0
 1  0      0 389898080      0 418784    0    0     0     0 29954 125096  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  0      0 389886240      0 418792    0    0     0     0 29749 126697  4  4 92  0  0
17  0      0 389891136      0 418800    0    0     0     0 29416 124468  4  4 92  0  0
37  0      0 389895936      0 421832    0    0  3160    72 31886 126238  4  4 92  0  0
26  0      0 389892800      0 421840    0    0     0     4 29310 124863  4  4 92  0  0
25  0      0 389899296      0 421848    0    0     0   204 30380 125093  4  4 92  0  0
29  0      0 389898016      0 421860    0    0    20    36 30461 127364  4  4 92  0  0
24  0      0 389901120      0 421864    0    0     0     0 30230 125545  4  4 92  0  0
23  0      0 389909696      0 421840    0    0     0   196 30915 124504  4  4 92  0  0
23  0      0 389909056      0 421848    0    0     0     0 29860 124219  4  4 92  0  0
 4  0      0 389907968      0 421852    0    0     0     4 30097 123838  4  4 92  0  0
28  0      0 389906656      0 421860    0    0     0     0 31893 127640  4  4 92  0  0
 1  0      0 389913984      0 421864    0    0     0     4 31189 124493  4  4 92  0  0
31  0      0 389918048      0 421936    0    0     0     0 30263 124163  4  4 92  0  0
 2  0      0 389918720      0 421940    0    0     0   688 29985 124776  4  4 92  0  0
20  0      0 389921152      0 421948    0    0     0     0 30261 123907  4  4 92  0  0
26  0      0 389919808      0 421952    0    0     0     4 29974 126497  4  4 92  0  0
39  0      0 389920256      0 421960    0    0     0     8 29941 123840  4  4 92  0  0
33  0      0 389919072      0 421968    0    0     0     0 30473 124973  4  4 92  0  0
17  0      0 389920192      0 421972    0    0     0     0 31596 124134  4  4 92  0  0
31  0      0 389924000      0 421980    0    0     0     4 33730 124286  4  4 92  0  0
31  0      0 389921184      0 421988    0    0     0     0 32853 124033  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0      0 389925184      0 421996    0    0     0     4 34088 126349  4  4 92  0  0
22  0      0 389921376      0 422068    0    0     0     0 34178 124059  4  4 92  0  0
10  0      0 389923104      0 422080    0    0     4    64 33477 124006  4  4 92  0  0
22  0      0 389919712      0 422092    0    0     0     0 31499 122924  4  4 92  0  0
25  0      0 389921568      0 422292    0    0   216     8 31017 127134  4  4 92  0  0
18  0      0 389918016      0 422300    0    0     0     0 30046 123174  4  4 92  0  0
36  0      0 389922624      0 422304    0    0     0     8 30473 123617  4  4 92  0  0
24  0      0 389924576      0 422316    0    0     0     0 30204 124502  4  4 92  0  0
27  0      0 389924896      0 422320    0    0     0     8 31265 125128  4  4 92  0  0
 1  0      0 389924896      0 422328    0    0     0     0 30803 124125  4  4 92  0  0
25  0      0 389924832      0 422332    0    0     0     8 31953 127567  4  4 92  0  0
26  0      0 389929920      0 422412    0    0     0     0 30439 123451  4  4 92  0  0
36  0      0 389929728      0 422420    0    0     0    16 31314 124730  4  4 92  0  0
18  0      0 389935136      0 422424    0    0     0   280 30880 124429  4  4 92  0  0
22  0      0 389936768      0 422432    0    0     0    32 31667 124389  4  4 92  0  0
24  0      0 389930560      0 422440    0    0     0     0 30462 124378  4  4 92  0  0
20  0      0 389938368      0 422448    0    0     0    16 31878 124916  4  4 92  0  0
23  0      0 389932160      0 422452    0    0     0     0 32472 126583  4  4 92  0  0
38  0      0 389938112      0 422460    0    0     0     4 32026 125793  4  4 92  0  0
 9  0      0 389941184      0 422468    0    0     0     8 31505 124821  4  4 92  0  0
26  0      0 389941120      0 422472    0    0     0     0 31431 123972  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
28  0      0 389935808      0 422548    0    0     0     0 32004 125873  4  4 92  0  0
35  0      0 389938912      0 422552    0    0     0     4 30641 125512  4  4 92  0  0
41  0      0 389937600      0 422564    0    0     0     0 31341 124893  4  4 92  0  0
34  0      0 389942560      0 422568    0    0     0     4 30280 124083  4  4 92  0  0
40  0      0 389946400      0 422576    0    0     0     0 32153 124945  4  4 92  0  0
32  0      0 389953792      0 422580    0    0     0     8 30846 124521  4  4 92  0  0
30  0      0 389952480      0 422588    0    0     0     0 31736 123820  4  4 92  0  0
42  0      0 389949792      0 422596    0    0     0     4 31902 124568  4  4 92  0  0
 1  0      0 389949248      0 422600    0    0     0     0 31456 125862  4  4 92  0  0
22  0      0 389950944      0 422608    0    0     0     4 31586 125805  4  4 92  0  0
36  0      0 389958592      0 423156    0    0     0     0 32093 124886  4  4 92  0  0
21  0      0 389960032      0 423164    0    0     0     8 31242 124423  4  4 92  0  0
36  0      0 389964896      0 423168    0    0     8   700 31212 124254  4  4 92  0  0
26  0      0 389963104      0 423176    0    0     0     4 31153 124708  4  4 92  0  0
26  0      0 389962592      0 423184    0    0     0     0 31296 124714  4  4 92  0  0
31  0      0 389965568      0 423188    0    0     0     4 30989 124935  4  4 92  0  0
37  0      0 389960832      0 423196    0    0     0     4 30224 124212  4  4 92  0  0
29  0      0 389964448      0 423200    0    0     0     0 31575 124325  4  4 92  0  0
25  0      0 389960672      0 423212    0    0     0     0 30611 123893  4  4 92  0  0
31  0      0 389964224      0 423216    0    0     0     4 32109 125400  4  4 92  0  0
24  0      0 389963328      0 423296    0    0     0     0 33167 127499  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0      0 389967616      0 423300    0    0     0     4 32042 125499  4  4 92  0  0
 1  0      0 389962240      0 423308    0    0     0    88 30379 123658  4  4 92  0  0
24  0      0 389966720      0 423316    0    0     0   232 30990 124594  4  4 92  0  0
22  0      0 389969312      0 423324    0    0     0     0 31150 124039  4  4 92  0  0
29  0      0 389967200      0 423332    0    0     0     4 32793 123306  4  4 92  0  0
38  0      0 389968832      0 423340    0    0     0    12 31563 123632  4  4 92  0  0
29  0      0 389961120      0 423352    0    0     0     8 30504 121970  4  4 92  0  0
 0  0      0 389960768      0 423572    0    0    32     0 18274 70727  3  2 95  0  0
 0  0      0 390117024      0 423448    0    0    36     8  470  573  0  0 100  0  0
 0  0      0 390116288      0 423524    0    0     0     0  394  248  0  0 100  0  0
 0  0      0 390116768      0 423528    0    0     0     8  164  198  0  0 100  0  0
 0  0      0 390116768      0 423536    0    0     0     0  133  181  0  0 100  0  0
 0  0      0 390117280      0 423540    0    0     0     4  226  329  0  0 100  0  0
 0  0      0 390117280      0 423552    0    0     0     0  147  178  0  0 100  0  0
 0  0      0 390118048      0 423556    0    0     0    56  173  213  0  0 100  0  0
 0  0      0 390118272      0 423564    0    0     0     0  137  172  0  0 100  0  0
 0  0      0 390118560      0 423572    0    0     0     4  236  348  0  0 100  0  0
 0  0      0 390118816      0 423576    0    0     0     0  163  206  0  0 100  0  0
 0  0      0 390119328      0 423584    0    0     0     4  143  178  0  0 100  0  0
 0  0      0 390120896      0 423656    0    0     0     4  444  378  0  0 100  0  0
 0  0      0 390121920      0 423664    0    0     0     0  236  320  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 390121920      0 423672    0    0     0    56  124  173  0  0 100  0  0
 0  0      0 390122432      0 423680    0    0     0     4  158  175  0  0 100  0  0
 0  0      0 390122688      0 423684    0    0     0     0  120  174  0  0 100  0  0
 0  0      0 390122688      0 423692    0    0     0     4  202  298  0  0 100  0  0
 0  0      0 390122944      0 423700    0    0     0     0  126  175  0  0 100  0  0
 0  0      0 390123456      0 423704    0    0     0     8  161  178  0  0 100  0  0
 0  0      0 390123456      0 423712    0    0     0     0  121  166  0  0 100  0  0
 0  0      0 390124448      0 423716    0    0     0     4  239  325  0  0 100  0  0
 0  0      0 390124224      0 423800    0    0     0     0  324  226  0  0 100  0  0
 0  0      0 390124736      0 423804    0    0     0     4  198  196  0  0 100  0  0
 0  0      0 390125504      0 423812    0    0     0   304  184  244  0  0 100  0  0
 0  0      0 390126016      0 423820    0    0     0   300  241  322  0  0 100  0  0
 0  0      0 390126272      0 423824    0    0     0     0  126  164  0  0 100  0  0
 0  0      0 390127552      0 423832    0    0     0   200  163  192  0  0 100  0  0
 0  0      0 390127552      0 423836    0    0     0     0  121  164  0  0 100  0  0
 0  0      0 390128832      0 423844    0    0     0     4  240  312  0  0 100  0  0
 0  0      0 390130848      0 423852    0    0     0     8  467  407  0  0 100  0  0
 1  0      0 390131872      0 423860    0    0    16     4  204  252  0  0 100  0  0
 3  0      0 390109952      0 424424    0    0   496     0 3972 5483  3  0 96  0  0
 3  0      0 390037376      0 424712    0    0   124     4 3158 3480  3  0 97  0  0
 0  0      0 390013216      0 424720    0    0    28   356 1054  871  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27  0      0 389975776      0 424824    0    0     0     8 15680 57319  4  2 94  0  0
16  0      0 389973600      0 424836    0    0     0     4 28259 113193  6  4 90  0  0
25  0      0 389977408      0 424840    0    0     0    72 29787 118608  6  4 91  0  0
34  0      0 389974176      0 424852    0    0     0     0 32090 126776  4  4 92  0  0
31  0      0 389982720      0 424856    0    0     0     0 32258 120775  5  4 92  0  0
11  0      0 389981984      0 424868    0    0     0    76 33699 121946  4  4 92  0  0
18  0      0 389986880      0 424876    0    0     0     8 31812 120339  4  4 92  0  0
21  0      0 389981056      0 425384    0    0     0     0 32273 125247  5  4 91  0  0
 1  0      0 389984640      0 425392    0    0     0    52 30471 124385  4  4 92  0  0
11  0      0 389983008      0 425400    0    0     0     0 30314 124085  4  4 92  0  0
25  0      0 389978528      0 425408    0    0     0     8 30278 123893  4  4 92  0  0
32  0      0 389979296      0 425416    0    0     0     0 30884 126509  4  4 92  0  0
18  0      0 389978688      0 425424    0    0     0   532 31528 122504  4  4 92  0  0
26  0      0 389974912      0 425428    0    0     0     0 32516 121912  4  4 92  0  0
37  0      0 389980992      0 425436    0    0     0    48 33433 125665  4  4 92  0  0
28  0      0 389981536      0 425456    0    0     0     0 31247 123167  4  4 92  0  0
30  0      0 389986496      0 425460    0    0     0     4 30315 124220  4  4 92  0  0
31  0      0 389977920      0 425536    0    0     0     0 31145 125435  4  4 92  0  0
30  0      0 389973824      0 425540    0    0     0     4 31100 126933  4  4 92  0  0
24  0      0 389979264      0 425552    0    0     0    48 30321 125664  4  4 92  0  0
34  0      0 389979776      0 425556    0    0     0    48 30309 124893  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27  0      0 389980256      0 425564    0    0     0     0 30329 127765  4  4 92  0  0
30  0      0 389983872      0 425572    0    0     0    76 30385 124492  4  4 92  0  0
39  0      0 389985760      0 425576    0    0     0     0 32323 124547  4  4 92  0  0
47  0      0 389985856      0 425584    0    0     0     4 31364 124966  4  4 92  0  0
18  0      0 389990464      0 425588    0    0     0     0 30977 127121  4  4 92  0  0
