Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/10/2026 	_x86_64_	(64 CPU)

04:17:05 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:17:06 AM  1000   3651703  226.00    6.00    0.00    0.00  232.00     0  java
04:17:07 AM  1000   3651703   70.00    2.00    0.00    0.00   72.00     0  java
04:17:08 AM  1000   3651703    0.00    0.00    0.00    0.00    0.00     0  java
04:17:09 AM  1000   3651703    0.00    0.00    0.00    0.00    0.00     0  java
04:17:10 AM  1000   3651703    0.00    0.00    0.00    0.00    0.00     0  java
04:17:11 AM  1000   3651703    0.00    0.00    0.00    0.00    0.00     0  java
04:17:12 AM  1000   3651703    0.00    0.00    0.00    0.00    0.00     0  java
04:17:13 AM  1000   3651703   26.00    2.00    0.00    0.00   28.00     0  java
04:17:14 AM  1000   3651703  344.00   19.00    0.00    0.00  363.00     0  java
04:17:15 AM  1000   3651703  368.00   26.00    0.00    0.00  394.00     0  java
04:17:16 AM  1000   3651703  358.00   35.00    0.00    0.00  393.00     0  java
04:17:17 AM  1000   3651703  343.00   48.00    0.00    0.00  391.00     0  java
04:17:18 AM  1000   3651703  334.00   55.00    0.00    0.00  389.00     0  java
04:17:19 AM  1000   3651703  315.00   71.00    0.00    0.00  386.00     0  java
04:17:20 AM  1000   3651703  313.00   73.00    0.00    0.00  386.00     0  java
04:17:21 AM  1000   3651703  306.00   82.00    0.00    0.00  388.00     0  java
04:17:22 AM  1000   3651703  304.00   82.00    0.00    0.00  386.00     0  java
04:17:23 AM  1000   3651703  311.00   77.00    0.00    0.00  388.00     0  java
04:17:24 AM  1000   3651703  306.00   80.00    0.00    0.00  386.00     0  java
04:17:25 AM  1000   3651703  298.00   88.00    0.00    0.00  386.00     0  java
04:17:26 AM  1000   3651703  301.00   85.00    0.00    0.00  386.00     0  java
04:17:27 AM  1000   3651703  296.00   90.00    0.00    0.00  386.00     0  java
04:17:28 AM  1000   3651703  302.00   84.00    0.00    0.00  386.00     0  java
04:17:29 AM  1000   3651703  295.00   91.00    0.00    0.00  386.00     0  java
04:17:30 AM  1000   3651703  298.00   87.00    0.00    0.00  385.00     0  java
04:17:31 AM  1000   3651703  291.00   95.00    0.00    0.00  386.00     0  java
04:17:32 AM  1000   3651703  290.00   95.00    0.00    0.00  385.00     0  java
04:17:33 AM  1000   3651703  289.00   96.00    0.00    0.00  385.00     0  java
04:17:34 AM  1000   3651703  278.00  107.00    0.00    0.00  385.00     0  java
04:17:35 AM  1000   3651703  277.00  105.00    0.00    0.00  382.00     0  java
04:17:36 AM  1000   3651703  273.00  110.00    0.00    0.00  383.00     0  java
04:17:37 AM  1000   3651703  262.00  121.00    0.00    0.00  383.00     0  java
04:17:38 AM  1000   3651703  268.00  114.00    0.00    0.00  382.00     0  java
04:17:39 AM  1000   3651703  265.00  116.00    0.00    0.00  381.00     0  java
04:17:40 AM  1000   3651703  246.00  135.00    0.00    0.00  381.00     0  java
04:17:41 AM  1000   3651703  244.00  137.00    0.00    0.00  381.00     0  java
04:17:42 AM  1000   3651703  247.00  134.00    0.00    0.00  381.00     0  java
04:17:43 AM  1000   3651703  235.00  145.00    0.00    0.00  380.00     0  java
04:17:44 AM  1000   3651703  211.00  168.00    0.00    0.00  379.00     0  java
04:17:45 AM  1000   3651703  211.00  168.00    0.00    0.00  379.00     0  java
04:17:46 AM  1000   3651703  216.00  163.00    0.00    0.00  379.00     0  java
04:17:47 AM  1000   3651703  204.00  175.00    0.00    0.00  379.00     0  java
04:17:48 AM  1000   3651703  197.00  181.00    0.00    0.00  378.00     0  java
04:17:49 AM  1000   3651703  186.00  191.00    0.00    0.00  377.00     0  java
04:17:50 AM  1000   3651703  187.00  190.00    0.00    0.00  377.00     0  java
04:17:51 AM  1000   3651703  184.00  194.00    0.00    0.00  378.00     0  java
04:17:52 AM  1000   3651703  185.00  191.00    0.00    0.00  376.00     0  java
04:17:53 AM  1000   3651703  189.00  189.00    0.00    0.00  378.00     0  java
04:17:54 AM  1000   3651703  169.00  205.00    0.00    0.00  374.00     0  java
04:17:55 AM  1000   3651703  161.00  214.00    0.00    0.00  375.00     0  java
04:17:56 AM  1000   3651703  153.00  222.00    0.00    0.00  375.00     0  java
04:17:57 AM  1000   3651703  151.00  223.00    0.00    0.00  374.00     0  java
04:17:58 AM  1000   3651703  160.00  214.00    0.00    0.00  374.00     0  java
04:17:59 AM  1000   3651703  152.00  222.00    0.00    0.00  374.00     0  java
04:18:00 AM  1000   3651703  151.00  223.00    0.00    0.00  374.00     0  java
04:18:01 AM  1000   3651703  150.00  223.00    0.00    0.00  373.00     0  java
04:18:02 AM  1000   3651703  146.00  228.00    0.00    0.00  374.00     0  java
04:18:03 AM  1000   3651703  146.00  228.00    0.00    0.00  374.00     0  java
04:18:04 AM  1000   3651703  153.00  221.00    0.00    0.00  374.00     0  java
04:18:05 AM  1000   3651703  150.00  224.00    0.00    0.00  374.00     0  java
04:18:06 AM  1000   3651703  149.00  224.00    0.00    0.00  373.00     0  java
04:18:07 AM  1000   3651703  149.00  224.00    0.00    0.00  373.00     0  java
04:18:08 AM  1000   3651703  142.00  231.00    0.00    0.00  373.00     0  java
04:18:09 AM  1000   3651703  143.00  232.00    0.00    0.00  375.00     0  java
04:18:10 AM  1000   3651703  145.00  228.00    0.00    0.00  373.00     0  java
04:18:11 AM  1000   3651703  147.00  226.00    0.00    0.00  373.00     0  java
04:18:12 AM  1000   3651703  145.00  229.00    0.00    0.00  374.00     0  java
04:18:13 AM  1000   3651703  152.00  222.00    0.00    0.00  374.00     0  java
04:18:14 AM  1000   3651703  140.00  233.00    0.00    0.00  373.00     0  java
04:18:15 AM  1000   3651703  145.00  228.00    0.00    0.00  373.00     0  java
04:18:16 AM  1000   3651703  142.00  231.00    0.00    0.00  373.00     0  java
04:18:17 AM  1000   3651703  149.00  225.00    0.00    0.00  374.00     0  java
04:18:18 AM  1000   3651703  144.00  228.00    0.00    0.00  372.00     0  java
04:18:19 AM  1000   3651703  145.00  229.00    0.00    0.00  374.00     0  java
04:18:20 AM  1000   3651703  150.00  224.00    0.00    0.00  374.00     0  java
04:18:21 AM  1000   3651703  149.00  224.00    0.00    0.00  373.00     0  java
04:18:22 AM  1000   3651703  142.00  232.00    0.00    0.00  374.00     0  java
04:18:23 AM  1000   3651703  140.00  234.00    0.00    0.00  374.00     0  java
04:18:24 AM  1000   3651703  147.00  227.00    0.00    0.00  374.00     0  java
04:18:25 AM  1000   3651703  150.00  223.00    0.00    0.00  373.00     0  java
04:18:26 AM  1000   3651703  146.00  227.00    0.00    0.00  373.00     0  java
04:18:27 AM  1000   3651703  142.00  232.00    0.00    0.00  374.00     0  java
04:18:28 AM  1000   3651703  139.00  233.00    0.00    0.00  372.00     0  java
04:18:29 AM  1000   3651703  145.00  229.00    0.00    0.00  374.00     0  java
04:18:30 AM  1000   3651703  141.00  231.00    0.00    0.00  372.00     0  java
