Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/10/2026 	_x86_64_	(64 CPU)

04:58:40 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:58:41 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:42 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:43 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:44 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:45 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:46 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:47 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:48 AM  1000   3680437    0.00    0.00    0.00    0.00    0.00     3  quarkus3-runner
04:58:49 AM  1000   3680437  206.00  103.00    0.00    0.00  309.00     3  quarkus3-runner
04:58:50 AM  1000   3680437  235.00  122.00    0.00    0.00  357.00     3  quarkus3-runner
04:58:51 AM  1000   3680437  243.00  135.00    0.00    0.00  378.00     3  quarkus3-runner
04:58:52 AM  1000   3680437  243.00  133.00    0.00    0.00  376.00     3  quarkus3-runner
04:58:53 AM  1000   3680437  236.00  135.00    0.00    0.00  371.00     3  quarkus3-runner
04:58:54 AM  1000   3680437  238.00  140.00    0.00    0.00  378.00     3  quarkus3-runner
04:58:55 AM  1000   3680437  239.00  134.00    0.00    0.00  373.00     3  quarkus3-runner
04:58:56 AM  1000   3680437  238.00  137.00    0.00    0.00  375.00     3  quarkus3-runner
04:58:57 AM  1000   3680437  236.00  134.00    0.00    0.00  370.00     3  quarkus3-runner
04:58:58 AM  1000   3680437  236.00  139.00    0.00    0.00  375.00     3  quarkus3-runner
04:58:59 AM  1000   3680437  241.00  133.00    0.00    0.00  374.00     3  quarkus3-runner
04:59:00 AM  1000   3680437  233.00  135.00    0.00    0.00  368.00     3  quarkus3-runner
04:59:01 AM  1000   3680437  235.00  140.00    0.00    0.00  375.00     3  quarkus3-runner
04:59:02 AM  1000   3680437  240.00  128.00    0.00    0.00  368.00     3  quarkus3-runner
04:59:03 AM  1000   3680437  237.00  135.00    0.00    0.00  372.00     3  quarkus3-runner
04:59:04 AM  1000   3680437  235.00  131.00    0.00    0.00  366.00     3  quarkus3-runner
04:59:05 AM  1000   3680437  237.00  135.00    0.00    0.00  372.00     3  quarkus3-runner
04:59:06 AM  1000   3680437  230.00  132.00    0.00    0.00  362.00     3  quarkus3-runner
04:59:07 AM  1000   3680437  240.00  128.00    0.00    0.00  368.00     3  quarkus3-runner
04:59:08 AM  1000   3680437  238.00  125.00    0.00    0.00  363.00     3  quarkus3-runner
04:59:09 AM  1000   3680437  235.00  128.00    0.00    0.00  363.00     3  quarkus3-runner
04:59:10 AM  1000   3680437  241.00  129.00    0.00    0.00  370.00     3  quarkus3-runner
04:59:11 AM  1000   3680437  229.00  136.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:12 AM  1000   3680437  234.00  129.00    0.00    0.00  363.00     3  quarkus3-runner
04:59:13 AM  1000   3680437  240.00  131.00    0.00    0.00  371.00     3  quarkus3-runner
04:59:14 AM  1000   3680437  236.00  129.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:15 AM  1000   3680437  230.00  138.00    0.00    0.00  368.00     3  quarkus3-runner
04:59:16 AM  1000   3680437  228.00  134.00    0.00    0.00  362.00     3  quarkus3-runner
04:59:17 AM  1000   3680437  236.00  127.00    0.00    0.00  363.00     3  quarkus3-runner
04:59:18 AM  1000   3680437  243.00  129.00    0.00    0.00  372.00     3  quarkus3-runner
04:59:19 AM  1000   3680437  235.00  126.00    0.00    0.00  361.00     3  quarkus3-runner
04:59:20 AM  1000   3680437  232.00  133.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:21 AM  1000   3680437  241.00  130.00    0.00    0.00  371.00     3  quarkus3-runner
04:59:22 AM  1000   3680437  235.00  129.00    0.00    0.00  364.00     3  quarkus3-runner
04:59:23 AM  1000   3680437  237.00  129.00    0.00    0.00  366.00     3  quarkus3-runner
04:59:24 AM  1000   3680437  233.00  135.00    0.00    0.00  368.00     3  quarkus3-runner
04:59:25 AM  1000   3680437  236.00  132.00    0.00    0.00  368.00     3  quarkus3-runner
04:59:26 AM  1000   3680437  242.00  131.00    0.00    0.00  373.00     3  quarkus3-runner
04:59:27 AM  1000   3680437  236.00  129.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:28 AM  1000   3680437  231.00  133.00    0.00    0.00  364.00     3  quarkus3-runner
04:59:29 AM  1000   3680437  235.00  129.00    0.00    0.00  364.00     3  quarkus3-runner
04:59:30 AM  1000   3680437  240.00  131.00    0.00    0.00  371.00     3  quarkus3-runner
04:59:31 AM  1000   3680437  233.00  130.00    0.00    0.00  363.00     3  quarkus3-runner
04:59:32 AM  1000   3680437  238.00  127.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:33 AM  1000   3680437  234.00  131.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:34 AM  1000   3680437  241.00  129.00    0.00    0.00  370.00     3  quarkus3-runner
04:59:35 AM  1000   3680437  232.00  131.00    0.00    0.00  363.00     3  quarkus3-runner
04:59:36 AM  1000   3680437  236.00  129.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:37 AM  1000   3680437  237.00  129.00    0.00    0.00  366.00     3  quarkus3-runner
04:59:38 AM  1000   3680437  240.00  130.00    0.00    0.00  370.00     3  quarkus3-runner
04:59:39 AM  1000   3680437  235.00  130.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:40 AM  1000   3680437  236.00  129.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:41 AM  1000   3680437  232.00  133.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:42 AM  1000   3680437  231.00  135.00    0.00    0.00  366.00     3  quarkus3-runner
04:59:43 AM  1000   3680437  236.00  133.00    0.00    0.00  369.00     3  quarkus3-runner
04:59:44 AM  1000   3680437  234.00  130.00    0.00    0.00  364.00     3  quarkus3-runner
04:59:45 AM  1000   3680437  233.00  132.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:46 AM  1000   3680437  239.00  126.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:47 AM  1000   3680437  241.00  130.00    0.00    0.00  371.00     3  quarkus3-runner
04:59:48 AM  1000   3680437  231.00  135.00    0.00    0.00  366.00     3  quarkus3-runner
04:59:49 AM  1000   3680437  229.00  135.00    0.00    0.00  364.00     3  quarkus3-runner
04:59:50 AM  1000   3680437  233.00  133.00    0.00    0.00  366.00     3  quarkus3-runner
04:59:51 AM  1000   3680437  236.00  133.00    0.00    0.00  369.00     3  quarkus3-runner
04:59:52 AM  1000   3680437  233.00  132.00    0.00    0.00  365.00     3  quarkus3-runner
04:59:53 AM  1000   3680437  233.00  133.00    0.00    0.00  366.00     3  quarkus3-runner
04:59:54 AM  1000   3680437  234.00  127.00    0.00    0.00  361.00     3  quarkus3-runner
