Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/10/2026 	_x86_64_	(64 CPU)

04:40:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:40:52 AM  1000   3669545  210.00    7.00    0.00    0.00  217.00     0  java
04:40:53 AM  1000   3669545   66.00    1.00    0.00    0.00   67.00     0  java
04:40:54 AM  1000   3669545    0.00    0.00    0.00    0.00    0.00     0  java
04:40:55 AM  1000   3669545    0.00    0.00    0.00    0.00    0.00     0  java
04:40:56 AM  1000   3669545    0.00    0.00    0.00    0.00    0.00     0  java
04:40:57 AM  1000   3669545    0.00    0.00    0.00    0.00    0.00     0  java
04:40:58 AM  1000   3669545    0.00    0.00    0.00    0.00    0.00     0  java
04:40:59 AM  1000   3669545   36.00    3.00    0.00    0.00   39.00     0  java
04:41:00 AM  1000   3669545  333.00   14.00    0.00    0.00  347.00     0  java
04:41:01 AM  1000   3669545  374.00   20.00    0.00    0.00  394.00     0  java
04:41:02 AM  1000   3669545  361.00   30.00    0.00    0.00  391.00     0  java
04:41:03 AM  1000   3669545  352.00   35.00    0.00    0.00  387.00     0  java
04:41:04 AM  1000   3669545  354.00   33.00    0.00    0.00  387.00     0  java
04:41:05 AM  1000   3669545  352.00   35.00    0.00    0.00  387.00     0  java
04:41:06 AM  1000   3669545  357.00   30.00    0.00    0.00  387.00     0  java
04:41:07 AM  1000   3669545  348.00   37.00    0.00    0.00  385.00     0  java
04:41:08 AM  1000   3669545  339.00   45.00    0.00    0.00  384.00     0  java
04:41:09 AM  1000   3669545  334.00   45.00    0.00    0.00  379.00     0  java
04:41:10 AM  1000   3669545  320.00   59.00    0.00    0.00  379.00     0  java
04:41:11 AM  1000   3669545  313.00   65.00    0.00    0.00  378.00     0  java
04:41:12 AM  1000   3669545  301.00   73.00    0.00    0.00  374.00     0  java
04:41:13 AM  1000   3669545  251.00  112.00    0.00    0.00  363.00     0  java
04:41:14 AM  1000   3669545  250.00  113.00    0.00    0.00  363.00     0  java
04:41:15 AM  1000   3669545  244.00  119.00    0.00    0.00  363.00     0  java
04:41:16 AM  1000   3669545  250.00  112.00    0.00    0.00  362.00     0  java
04:41:17 AM  1000   3669545  247.00  115.00    0.00    0.00  362.00     0  java
04:41:18 AM  1000   3669545  245.00  116.00    0.00    0.00  361.00     0  java
04:41:19 AM  1000   3669545  261.00  105.00    0.00    0.00  366.00     0  java
04:41:20 AM  1000   3669545  248.00  114.00    0.00    0.00  362.00     0  java
04:41:21 AM  1000   3669545  243.00  117.00    0.00    0.00  360.00     0  java
04:41:22 AM  1000   3669545  245.00  118.00    0.00    0.00  363.00     0  java
04:41:23 AM  1000   3669545  246.00  116.00    0.00    0.00  362.00     0  java
04:41:24 AM  1000   3669545  247.00  115.00    0.00    0.00  362.00     0  java
04:41:25 AM  1000   3669545  244.00  118.00    0.00    0.00  362.00     0  java
04:41:26 AM  1000   3669545  242.00  120.00    0.00    0.00  362.00     0  java
04:41:27 AM  1000   3669545  247.00  115.00    0.00    0.00  362.00     0  java
04:41:28 AM  1000   3669545  247.00  115.00    0.00    0.00  362.00     0  java
04:41:29 AM  1000   3669545  249.00  114.00    0.00    0.00  363.00     0  java
04:41:30 AM  1000   3669545  238.00  121.00    0.00    0.00  359.00     0  java
04:41:31 AM  1000   3669545  243.00  118.00    0.00    0.00  361.00     0  java
04:41:32 AM  1000   3669545  248.00  114.00    0.00    0.00  362.00     0  java
04:41:33 AM  1000   3669545  240.00  119.00    0.00    0.00  359.00     0  java
04:41:34 AM  1000   3669545  238.00  123.00    0.00    0.00  361.00     0  java
04:41:35 AM  1000   3669545  241.00  122.00    0.00    0.00  363.00     0  java
04:41:36 AM  1000   3669545  242.00  119.00    0.00    0.00  361.00     0  java
04:41:37 AM  1000   3669545  239.00  122.00    0.00    0.00  361.00     0  java
04:41:38 AM  1000   3669545  249.00  113.00    0.00    0.00  362.00     0  java
04:41:39 AM  1000   3669545  246.00  116.00    0.00    0.00  362.00     0  java
04:41:40 AM  1000   3669545  242.00  120.00    0.00    0.00  362.00     0  java
04:41:41 AM  1000   3669545  241.00  120.00    0.00    0.00  361.00     0  java
04:41:42 AM  1000   3669545  252.00  109.00    0.00    0.00  361.00     0  java
04:41:43 AM  1000   3669545  240.00  121.00    0.00    0.00  361.00     0  java
04:41:44 AM  1000   3669545  244.00  119.00    0.00    0.00  363.00     0  java
04:41:45 AM  1000   3669545  244.00  116.00    0.00    0.00  360.00     0  java
04:41:46 AM  1000   3669545  243.00  118.00    0.00    0.00  361.00     0  java
04:41:47 AM  1000   3669545  237.00  121.00    0.00    0.00  358.00     0  java
04:41:48 AM  1000   3669545  239.00  121.00    0.00    0.00  360.00     0  java
04:41:49 AM  1000   3669545  243.00  118.00    0.00    0.00  361.00     0  java
04:41:50 AM  1000   3669545  244.00  117.00    0.00    0.00  361.00     0  java
04:41:51 AM  1000   3669545  239.00  122.00    0.00    0.00  361.00     0  java
04:41:52 AM  1000   3669545  247.00  114.00    0.00    0.00  361.00     0  java
04:41:53 AM  1000   3669545  265.00  100.00    0.00    0.00  365.00     0  java
04:41:54 AM  1000   3669545  250.00  113.00    0.00    0.00  363.00     0  java
04:41:55 AM  1000   3669545  244.00  115.00    0.00    0.00  359.00     0  java
04:41:56 AM  1000   3669545  248.00  114.00    0.00    0.00  362.00     0  java
