Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/10/2026 	_x86_64_	(64 CPU)

06:50:28 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:50:29 AM  1000   3771773  273.00    4.00    0.00    0.00  277.00     0  java
06:50:30 AM  1000   3771773  288.00    8.00    0.00    0.00  296.00     0  java
06:50:31 AM  1000   3771773  298.00    5.00    0.00    0.00  303.00     0  java
06:50:32 AM  1000   3771773  206.00    7.00    0.00    0.00  213.00     0  java
06:50:33 AM  1000   3771773  254.00    2.00    0.00    0.00  256.00     0  java
06:50:34 AM  1000   3771773    0.00    0.00    0.00    0.00    0.00     0  java
06:50:35 AM  1000   3771773    0.00    0.00    0.00    0.00    0.00     0  java
06:50:36 AM  1000   3771773    0.00    0.00    0.00    0.00    0.00     0  java
06:50:37 AM  1000   3771773  159.00    8.00    0.00    0.00  167.00     0  java
06:50:38 AM  1000   3771773  378.00   17.00    0.00    0.00  395.00     0  java
06:50:39 AM  1000   3771773  370.00   24.00    0.00    0.00  394.00     0  java
06:50:40 AM  1000   3771773  378.00   16.00    0.00    0.00  394.00     0  java
06:50:41 AM  1000   3771773  374.00   20.00    0.00    0.00  394.00     0  java
06:50:42 AM  1000   3771773  374.00   20.00    0.00    0.00  394.00     0  java
06:50:43 AM  1000   3771773  372.00   21.00    0.00    0.00  393.00     0  java
06:50:44 AM  1000   3771773  368.00   26.00    0.00    0.00  394.00     0  java
06:50:45 AM  1000   3771773  371.00   22.00    0.00    0.00  393.00     0  java
06:50:46 AM  1000   3771773  373.00   20.00    0.00    0.00  393.00     0  java
06:50:47 AM  1000   3771773  370.00   21.00    0.00    0.00  391.00     0  java
06:50:48 AM  1000   3771773  364.00   29.00    0.00    0.00  393.00     0  java
06:50:49 AM  1000   3771773  370.00   22.00    0.00    0.00  392.00     0  java
06:50:50 AM  1000   3771773  369.00   24.00    0.00    0.00  393.00     0  java
06:50:51 AM  1000   3771773  360.00   32.00    0.00    0.00  392.00     0  java
06:50:52 AM  1000   3771773  361.00   31.00    0.00    0.00  392.00     0  java
06:50:53 AM  1000   3771773  342.00   50.00    0.00    0.00  392.00     0  java
06:50:54 AM  1000   3771773  359.00   33.00    0.00    0.00  392.00     0  java
06:50:55 AM  1000   3771773  355.00   37.00    0.00    0.00  392.00     0  java
06:50:56 AM  1000   3771773  360.00   32.00    0.00    0.00  392.00     0  java
06:50:57 AM  1000   3771773  346.00   45.00    0.00    0.00  391.00     0  java
06:50:58 AM  1000   3771773  358.00   33.00    0.00    0.00  391.00     0  java
06:50:59 AM  1000   3771773  332.00   59.00    0.00    0.00  391.00     0  java
06:51:00 AM  1000   3771773  353.00   38.00    0.00    0.00  391.00     0  java
06:51:01 AM  1000   3771773  324.00   68.00    0.00    0.00  392.00     0  java
06:51:02 AM  1000   3771773  330.00   61.00    0.00    0.00  391.00     0  java
06:51:03 AM  1000   3771773  330.00   61.00    0.00    0.00  391.00     0  java
06:51:04 AM  1000   3771773  347.00   44.00    0.00    0.00  391.00     0  java
06:51:05 AM  1000   3771773  313.00   77.00    0.00    0.00  390.00     0  java
06:51:06 AM  1000   3771773  336.00   54.00    0.00    0.00  390.00     0  java
06:51:07 AM  1000   3771773  338.00   53.00    0.00    0.00  391.00     0  java
06:51:08 AM  1000   3771773  321.00   68.00    0.00    0.00  389.00     0  java
06:51:09 AM  1000   3771773  323.00   67.00    0.00    0.00  390.00     0  java
06:51:10 AM  1000   3771773  340.00   49.00    0.00    0.00  389.00     0  java
06:51:11 AM  1000   3771773  313.00   77.00    0.00    0.00  390.00     0  java
06:51:12 AM  1000   3771773  264.00  127.00    0.00    0.00  391.00     0  java
06:51:13 AM  1000   3771773  321.00   68.00    0.00    0.00  389.00     0  java
06:51:14 AM  1000   3771773  269.00  121.00    0.00    0.00  390.00     0  java
06:51:15 AM  1000   3771773  276.00  113.00    0.00    0.00  389.00     0  java
06:51:16 AM  1000   3771773  234.00  157.00    0.00    0.00  391.00     0  java
06:51:17 AM  1000   3771773  253.00  137.00    0.00    0.00  390.00     0  java
06:51:18 AM  1000   3771773  256.00  131.00    0.00    0.00  387.00     0  java
06:51:19 AM  1000   3771773  275.00  114.00    0.00    0.00  389.00     0  java
06:51:20 AM  1000   3771773  273.00  116.00    0.00    0.00  389.00     0  java
06:51:21 AM  1000   3771773  260.00  130.00    0.00    0.00  390.00     0  java
06:51:22 AM  1000   3771773  279.00  108.00    0.00    0.00  387.00     0  java
06:51:23 AM  1000   3771773  307.00   82.00    0.00    0.00  389.00     0  java
06:51:24 AM  1000   3771773  283.00  103.00    0.00    0.00  386.00     0  java
06:51:25 AM  1000   3771773  253.00  134.00    0.00    0.00  387.00     0  java
06:51:26 AM  1000   3771773  302.00   79.00    0.00    0.00  381.00     0  java
06:51:27 AM  1000   3771773  300.00   88.00    0.00    0.00  388.00     0  java
06:51:28 AM  1000   3771773  269.00  121.00    0.00    0.00  390.00     0  java
06:51:29 AM  1000   3771773  265.35  119.80    0.00    0.00  385.15     0  java
06:51:30 AM  1000   3771773  232.00  159.00    0.00    0.00  391.00     0  java
06:51:31 AM  1000   3771773  277.00  113.00    0.00    0.00  390.00     0  java
06:51:32 AM  1000   3771773  281.00  107.00    0.00    0.00  388.00     0  java
06:51:33 AM  1000   3771773  289.00  100.00    0.00    0.00  389.00     0  java
06:51:34 AM  1000   3771773  296.00   86.00    0.00    0.00  382.00     0  java
06:51:35 AM  1000   3771773  268.00  122.00    0.00    0.00  390.00     0  java
06:51:36 AM  1000   3771773  275.00  111.00    0.00    0.00  386.00     0  java
06:51:37 AM  1000   3771773  289.00  100.00    0.00    0.00  389.00     0  java
06:51:38 AM  1000   3771773  278.00  107.00    0.00    0.00  385.00     0  java
06:51:39 AM  1000   3771773  260.00  128.00    0.00    0.00  388.00     0  java
06:51:40 AM  1000   3771773  274.00  113.00    0.00    0.00  387.00     0  java
06:51:41 AM  1000   3771773  258.00  127.00    0.00    0.00  385.00     0  java
06:51:42 AM  1000   3771773  313.00   75.00    0.00    0.00  388.00     0  java
06:51:43 AM  1000   3771773  231.00  159.00    0.00    0.00  390.00     0  java
06:51:44 AM  1000   3771773  244.00  142.00    0.00    0.00  386.00     0  java
06:51:45 AM  1000   3771773  265.00  122.00    0.00    0.00  387.00     0  java
06:51:46 AM  1000   3771773  295.00   92.00    0.00    0.00  387.00     0  java
06:51:47 AM  1000   3771773  280.00  108.00    0.00    0.00  388.00     0  java
06:51:48 AM  1000   3771773  276.00  111.00    0.00    0.00  387.00     0  java
06:51:49 AM  1000   3771773  258.00  131.00    0.00    0.00  389.00     0  java
06:51:50 AM  1000   3771773  280.00  107.00    0.00    0.00  387.00     0  java
06:51:51 AM  1000   3771773  253.00  136.00    0.00    0.00  389.00     0  java
06:51:52 AM  1000   3771773  265.00  123.00    0.00    0.00  388.00     0  java
06:51:53 AM  1000   3771773  271.00  116.00    0.00    0.00  387.00     0  java
06:51:54 AM  1000   3771773  284.00  103.00    0.00    0.00  387.00     0  java
06:51:55 AM  1000   3771773  311.00   74.00    0.00    0.00  385.00     0  java
06:51:56 AM  1000   3771773  254.00  134.00    0.00    0.00  388.00     0  java
06:51:57 AM  1000   3771773  212.00  175.00    0.00    0.00  387.00     0  java
06:51:58 AM  1000   3771773  239.00  150.00    0.00    0.00  389.00     0  java
06:51:59 AM  1000   3771773  274.00  110.00    0.00    0.00  384.00     0  java
06:52:00 AM  1000   3771773  245.00  141.00    0.00    0.00  386.00     0  java
06:52:01 AM  1000   3771773  262.00  123.00    0.00    0.00  385.00     0  java
06:52:02 AM  1000   3771773  252.00  135.00    0.00    0.00  387.00     0  java
06:52:03 AM  1000   3771773  260.00  126.00    0.00    0.00  386.00     0  java
06:52:04 AM  1000   3771773  259.00  129.00    0.00    0.00  388.00     0  java
06:52:05 AM  1000   3771773  263.00  124.00    0.00    0.00  387.00     0  java
06:52:06 AM  1000   3771773  266.00  118.00    0.00    0.00  384.00     0  java
06:52:07 AM  1000   3771773  253.00  134.00    0.00    0.00  387.00     0  java
06:52:08 AM  1000   3771773  264.00  122.00    0.00    0.00  386.00     0  java
06:52:09 AM  1000   3771773  254.00  133.00    0.00    0.00  387.00     0  java
06:52:10 AM  1000   3771773  235.00  152.00    0.00    0.00  387.00     0  java
06:52:11 AM  1000   3771773  282.00  104.00    0.00    0.00  386.00     0  java
06:52:12 AM  1000   3771773  242.00  145.00    0.00    0.00  387.00     0  java
06:52:13 AM  1000   3771773  242.00  145.00    0.00    0.00  387.00     0  java
06:52:14 AM  1000   3771773  252.00  134.00    0.00    0.00  386.00     0  java
06:52:15 AM  1000   3771773  228.00  159.00    0.00    0.00  387.00     0  java
06:52:16 AM  1000   3771773  239.00  150.00    0.00    0.00  389.00     0  java
06:52:17 AM  1000   3771773  208.00  180.00    0.00    0.00  388.00     0  java
06:52:18 AM  1000   3771773  230.00  157.00    0.00    0.00  387.00     0  java
06:52:19 AM  1000   3771773  262.00  123.00    0.00    0.00  385.00     0  java
06:52:20 AM  1000   3771773  287.00   86.00    0.00    0.00  373.00     0  java
06:52:21 AM  1000   3771773  253.00  132.00    0.00    0.00  385.00     0  java
06:52:22 AM  1000   3771773  271.00  109.00    0.00    0.00  380.00     0  java
06:52:23 AM  1000   3771773  216.00  172.00    0.00    0.00  388.00     0  java
06:52:24 AM  1000   3771773  266.00  117.00    0.00    0.00  383.00     0  java
06:52:25 AM  1000   3771773  203.00  186.00    0.00    0.00  389.00     0  java
06:52:26 AM  1000   3771773  220.00  166.00    0.00    0.00  386.00     0  java
06:52:27 AM  1000   3771773  255.00  128.00    0.00    0.00  383.00     0  java
06:52:28 AM  1000   3771773  214.00  171.00    0.00    0.00  385.00     0  java
