Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/10/2026 	_x86_64_	(64 CPU)

07:29:21 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
07:29:22 AM  1000   3808286  288.00    4.00    0.00    0.00  292.00     0  java
07:29:23 AM  1000   3808286  299.00    7.00    0.00    0.00  306.00     0  java
07:29:24 AM  1000   3808286  285.00    6.00    0.00    0.00  291.00     0  java
07:29:25 AM  1000   3808286  225.00    5.00    0.00    0.00  230.00     0  java
07:29:26 AM  1000   3808286  212.00    1.00    0.00    0.00  213.00     0  java
07:29:27 AM  1000   3808286    0.00    0.00    0.00    0.00    0.00     0  java
07:29:28 AM  1000   3808286    0.00    0.00    0.00    0.00    0.00     0  java
07:29:29 AM  1000   3808286    0.00    0.00    0.00    0.00    0.00     0  java
07:29:30 AM  1000   3808286  254.00    7.00    0.00    0.00  261.00     0  java
07:29:31 AM  1000   3808286  382.00   10.00    0.00    0.00  392.00     0  java
07:29:32 AM  1000   3808286  378.00   14.00    0.00    0.00  392.00     0  java
07:29:33 AM  1000   3808286  372.00   20.00    0.00    0.00  392.00     0  java
07:29:34 AM  1000   3808286  364.00   22.00    0.00    0.00  386.00     0  java
07:29:35 AM  1000   3808286  366.00   25.00    0.00    0.00  391.00     0  java
07:29:36 AM  1000   3808286  362.00   25.00    0.00    0.00  387.00     0  java
07:29:37 AM  1000   3808286  368.00   22.00    0.00    0.00  390.00     0  java
07:29:38 AM  1000   3808286  361.00   27.00    0.00    0.00  388.00     0  java
07:29:39 AM  1000   3808286  359.00   29.00    0.00    0.00  388.00     0  java
07:29:40 AM  1000   3808286  356.00   31.00    0.00    0.00  387.00     0  java
07:29:41 AM  1000   3808286  356.00   32.00    0.00    0.00  388.00     0  java
07:29:42 AM  1000   3808286  352.00   34.00    0.00    0.00  386.00     0  java
07:29:43 AM  1000   3808286  349.00   36.00    0.00    0.00  385.00     0  java
07:29:44 AM  1000   3808286  348.00   39.00    0.00    0.00  387.00     0  java
07:29:45 AM  1000   3808286  355.00   32.00    0.00    0.00  387.00     0  java
07:29:46 AM  1000   3808286  326.00   52.00    0.00    0.00  378.00     0  java
07:29:47 AM  1000   3808286  305.00   70.00    0.00    0.00  375.00     0  java
07:29:48 AM  1000   3808286  285.00   84.00    0.00    0.00  369.00     0  java
07:29:49 AM  1000   3808286  282.00   87.00    0.00    0.00  369.00     0  java
07:29:50 AM  1000   3808286  277.00   91.00    0.00    0.00  368.00     0  java
07:29:51 AM  1000   3808286  282.00   86.00    0.00    0.00  368.00     0  java
07:29:52 AM  1000   3808286  283.00   85.00    0.00    0.00  368.00     0  java
07:29:53 AM  1000   3808286  274.00   95.00    0.00    0.00  369.00     0  java
07:29:54 AM  1000   3808286  278.00   91.00    0.00    0.00  369.00     0  java
07:29:55 AM  1000   3808286  301.00   72.00    0.00    0.00  373.00     0  java
07:29:56 AM  1000   3808286  277.00   92.00    0.00    0.00  369.00     0  java
07:29:57 AM  1000   3808286  277.00   92.00    0.00    0.00  369.00     0  java
07:29:58 AM  1000   3808286  277.00   90.00    0.00    0.00  367.00     0  java
07:29:59 AM  1000   3808286  280.00   89.00    0.00    0.00  369.00     0  java
07:30:00 AM  1000   3808286  280.00   89.00    0.00    0.00  369.00     0  java
07:30:01 AM  1000   3808286  278.00   90.00    0.00    0.00  368.00     0  java
07:30:02 AM  1000   3808286  282.00   86.00    0.00    0.00  368.00     0  java
07:30:03 AM  1000   3808286  277.00   91.00    0.00    0.00  368.00     0  java
07:30:04 AM  1000   3808286  277.00   92.00    0.00    0.00  369.00     0  java
07:30:05 AM  1000   3808286  278.00   89.00    0.00    0.00  367.00     0  java
07:30:06 AM  1000   3808286  277.00   92.00    0.00    0.00  369.00     0  java
07:30:07 AM  1000   3808286  278.00   90.00    0.00    0.00  368.00     0  java
07:30:08 AM  1000   3808286  277.00   91.00    0.00    0.00  368.00     0  java
07:30:09 AM  1000   3808286  276.00   91.00    0.00    0.00  367.00     0  java
07:30:10 AM  1000   3808286  274.00   94.00    0.00    0.00  368.00     0  java
07:30:11 AM  1000   3808286  275.00   93.00    0.00    0.00  368.00     0  java
07:30:12 AM  1000   3808286  274.00   94.00    0.00    0.00  368.00     0  java
07:30:13 AM  1000   3808286  282.00   88.00    0.00    0.00  370.00     0  java
07:30:14 AM  1000   3808286  278.00   89.00    0.00    0.00  367.00     0  java
07:30:15 AM  1000   3808286  281.00   88.00    0.00    0.00  369.00     0  java
07:30:16 AM  1000   3808286  281.00   88.00    0.00    0.00  369.00     0  java
07:30:17 AM  1000   3808286  279.00   90.00    0.00    0.00  369.00     0  java
07:30:18 AM  1000   3808286  277.00   89.00    0.00    0.00  366.00     0  java
07:30:19 AM  1000   3808286  284.00   85.00    0.00    0.00  369.00     0  java
07:30:20 AM  1000   3808286  282.00   85.00    0.00    0.00  367.00     0  java
07:30:21 AM  1000   3808286  276.00   93.00    0.00    0.00  369.00     0  java
07:30:22 AM  1000   3808286  280.00   90.00    0.00    0.00  370.00     0  java
07:30:23 AM  1000   3808286  275.00   86.00    0.00    0.00  361.00     0  java
07:30:24 AM  1000   3808286  277.00   91.00    0.00    0.00  368.00     0  java
07:30:25 AM  1000   3808286  279.00   89.00    0.00    0.00  368.00     0  java
07:30:26 AM  1000   3808286  281.00   87.00    0.00    0.00  368.00     0  java
07:30:27 AM  1000   3808286  280.00   88.00    0.00    0.00  368.00     0  java
07:30:28 AM  1000   3808286  277.00   91.00    0.00    0.00  368.00     0  java
07:30:29 AM  1000   3808286  278.00   89.00    0.00    0.00  367.00     0  java
07:30:30 AM  1000   3808286  282.00   86.00    0.00    0.00  368.00     0  java
07:30:31 AM  1000   3808286  293.00   78.00    0.00    0.00  371.00     0  java
