Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/10/2026 	_x86_64_	(64 CPU)

05:22:12 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:22:13 AM 100998   3700471    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3700472    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3700474    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3700475    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701409    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701418    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701420    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701421    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701423    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701424    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701425    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701426    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701427    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701428    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701429    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701431    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701432    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701433    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701437    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:13 AM 100998   3701438    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701441    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701443    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701469    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:13 AM 100998   3701479    0.00    0.00    0.00    0.00    0.00     4  postgres

05:22:13 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:22:14 AM 100998   3700471    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3700472    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3700474    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3700475    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701409    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701418    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701420    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701421    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701423    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701424    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701425    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701426    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701427    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701428    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701429    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701431    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701432    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701433    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701437    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:14 AM 100998   3701438    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701441    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701443    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701469    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:14 AM 100998   3701479    0.00    0.00    0.00    0.00    0.00     4  postgres

05:22:14 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:22:15 AM 100998   3700471    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3700472    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3700474    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3700475    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701409    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701418    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701420    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701421    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701423    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701424    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701425    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701426    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701427    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701428    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701429    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701431    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701432    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701433    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701437    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:15 AM 100998   3701438    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701441    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701443    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701469    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:15 AM 100998   3701479    0.00    0.00    0.00    0.00    0.00     4  postgres

05:22:15 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:22:16 AM 100998   3700471    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:16 AM 100998   3700472    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:16 AM 100998   3700474    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:16 AM 100998   3700475    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:16 AM 100998   3701409    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:16 AM 100998   3701418    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:16 AM 100998   3701420    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:16 AM 100998   3701421    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:16 AM 100998   3701423    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:16 AM 100998   3701424    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:16 AM 100998   3701425    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:16 AM 100998   3701426    0.00    0.00    0.00    0.00    0.00     5  postgres
05:22:16 AM 100998   3701427    0.00    0.00    0.00    0.00    0.00     4  postgres
05:22:16 AM 100998   3701428    0.00    0.00    0.00    0.00    0.00     5  postgres
