procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 388483648      0 357620    0    0     2     1    0    0  0  0 100  0  0
 0  0      0 388438208      0 403752    0    0 46428   916 3769 4281  0  0 99  0  0
 1  0      0 388431008      0 403912    0    0    48     0 6501 3534  0  1 99  0  0
 3  0      0 388363936      0 444880    0    0 41020     8 7126 5511  1  0 98  0  0
 2  0      0 388293920      0 461972    0    0 19036     4 5173 6813  3  0 96  0  0
 2  0      0 388270240      0 473956    0    0 14412    32 4108 5466  2  0 97  0  0
 0  0      0 388230656      0 476712    0    0  2564     4 1633 1488  1  0 99  0  0
46  0      0 388193920      0 483124    0    0  6012   636 9836 355798  3  1 96  0  0
30  0      0 388193152      0 483144    0    0     4    12 20234 415896  6  3 91  0  0
18  0      0 388194912      0 483280    0    0   156     4 20419 1200281  5  3 91  0  0
54  0      0 388193920      0 483544    0    0   256     4 18993 1070240  4  3 92  0  0
 1  0      0 388193952      0 483572    0    0    64    44 19725 772047  4  3 93  0  0
29  0      0 388194240      0 483680    0    0    56     4 19375 1140924  4  3 93  0  0
41  0      0 388198528      0 483768    0    0    80     0 18590 1333927  4  3 93  0  0
76  0      0 388204064      0 483776    0    0     0    40 19342 802645  4  3 93  0  0
28  0      0 388200576      0 483784    0    0   108    24 19849 564709  5  3 92  0  0
39  0      0 388193024      0 484048    0    0   144     4 18662 1007978  4  3 93  0  0
 8  0      0 388192384      0 484120    0    0     0    40 20213 1075523  4  3 93  0  0
72  0      0 388195136      0 484132    0    0     0    20 17945 594027  4  3 93  0  0
 4  0      0 388196672      0 484136    0    0     0     0 18541 963671  4  3 93  0  0
64  0      0 388197440      0 484172    0    0    24    16 17801 879112  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 388198208      0 484176    0    0    16     0 17891 1141710  4  3 93  0  0
59  0      0 388190656      0 484188    0    0     0     4 19503 261743  5  3 93  0  0
 9  0      0 388168544      0 484192    0    0     0    40 17984 1179961  4  3 93  0  0
27  0      0 388169344      0 484204    0    0     0     4 18408 868958  4  3 93  0  0
27  0      0 388175584      0 484212    0    0     0    16 17793 782446  4  3 93  0  0
44  0      0 388175200      0 484220    0    0     4    12 19497 1148317  4  3 93  0  0
52  0      0 388184384      0 484296    0    0     0     0 19194 1203307  4  3 93  0  0
74  0      0 388188416      0 484304    0    0     0   280 19998 906832  4  3 93  0  0
41  0      0 388188480      0 484316    0    0     0    48 20183 575853  4  3 93  0  0
60  0      0 388198336      0 484320    0    0     0     4 18498 1566665  3  4 93  0  0
 1  0      0 388199456      0 484332    0    0     0     0 19689 582058  4  3 93  0  0
17  0      0 388202240      0 484340    0    0    20    28 18698 1192505  4  3 93  0  0
18  0      0 388202464      0 484348    0    0     0     0 18498 1047559  4  3 93  0  0
38  0      0 388203232      0 484420    0    0    76    36 18999 803105  4  3 93  0  0
39  0      0 388210848      0 484428    0    0     0    40 18129 1000960  4  3 93  0  0
68  0      0 388215680      0 484436    0    0     0     4 17555 975022  4  3 93  0  0
45  0      0 388222496      0 484512    0    0     0     4 18814 956855  4  3 93  0  0
77  0      0 388217216      0 484520    0    0     0    20 19784 1448557  3  4 93  0  0
48  0      0 388207136      0 484548    0    0    76   272 18401 829043  4  3 93  0  0
66  0      0 388204128      0 484556    0    0     0     4 20348 629625  4  3 93  0  0
45  0      0 388211680      0 484568    0    0     0    44 18473 827872  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
66  0      0 388213472      0 484572    0    0     0     4 19793 1217152  4  3 93  0  0
55  0      0 388217504      0 484588    0    0     0    16 18687 1110418  4  3 93  0  0
48  0      0 388209952      0 484596    0    0     0   356 19014 929506  4  3 93  0  0
67  0      0 388210976      0 484608    0    0     0   328 18715 1034232  4  3 93  0  0
55  0      0 388200928      0 484612    0    0     0     8 19603 654686  4  3 93  0  0
34  0      0 388204160      0 487212    0    0    20    40 18274 1019097  4  3 93  0  0
47  0      0 388205984      0 487220    0    0     0     8 18605 1448998  3  4 93  0  0
47  0      0 388210528      0 487228    0    0     0     0 18396 1131236  4  3 93  0  0
48  0      0 388212800      0 487204    0    0     0    16 18372 896264  4  3 93  0  0
14  0      0 388216352      0 487212    0    0     0     0 20430 481551  4  3 93  0  0
58  0      0 388200224      0 487220    0    0     0     4 20135 900653  4  3 93  0  0
36  0      0 388205760      0 487228    0    0     0    40 19129 310750  5  3 93  0  0
80  0      0 388199488      0 487236    0    0     0     4 19493 758094  4  3 93  0  0
83  0      0 388200000      0 487248    0    0     0     0 20450 682898  4  3 93  0  0
66  0      0 388204288      0 487256    0    0    20    16 18557 1249192  4  3 93  0  0
75  0      0 388204320      0 487356    0    0     0     0 18747 751997  4  3 93  0  0
46  0      0 388211648      0 487368    0    0     4     4 18836 1237666  4  3 93  0  0
18  0      0 388217344      0 487376    0    0     0    44 19084 1165874  4  3 93  0  0
24  0      0 388225664      0 487384    0    0     0     4 17778 751292  4  3 93  0  0
20  0      0 388230240      0 487392    0    0     0     4 18198 840277  4  3 93  0  0
31  0      0 388240192      0 487400    0    0     0    16 17694 1097601  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
41  0      0 388233920      0 487408    0    0     0     0 19233 941330  4  3 93  0  0
 1  0      0 388224096      0 487420    0    0     0     4 17752 1423035  3  3 93  0  0
34  0      0 388226880      0 487424    0    0     0    48 18312 1180925  4  3 93  0  0
59  0      0 388224320      0 487436    0    0     0     4 19074 920761  4  3 93  0  0
45  0      0 388227648      0 487508    0    0     0    16 19093 669604  4  3 93  0  0
19  0      0 388207776      0 487520    0    0     0     0 19168 648685  4  3 93  0  0
19  0      0 388207520      0 487524    0    0     0   668 18300 1211921  4  3 93  0  0
63  0      0 388213696      0 487536    0    0     0     4 19150 848715  4  3 93  0  0
46  0      0 388215200      0 487544    0    0     0    44 18593 1177917  4  3 93  0  0
37  0      0 388221504      0 487552    0    0     0     4 18513 1338050  3  3 93  0  0
37  0      0 388224064      0 487560    0    0     0     0 19520 679819  4  3 93  0  0
33  0      0 388215488      0 487568    0    0     0    16 18327 1039512  4  3 93  0  0
45  0      0 388210208      0 487576    0    0     0   156 19211 711019  4  3 93  0  0
69  0      0 388211488      0 487584    0    0     0    44 18180 1283331  4  3 93  0  0
39  0      0 388213792      0 487660    0    0     0    40 18016 1383618  4  4 93  0  0
55  0      0 388219360      0 487668    0    0     0     4 19808 700464  4  3 93  0  0
59  0      0 388224256      0 487676    0    0     4    56 20521 668919  4  3 93  0  0
31  0      0 388218720      0 487688    0    0     0    16 18456 1127307  4  3 93  0  0
51  0      0 388219008      0 487692    0    0     0     0 20215 1052019  4  3 93  0  0
43  0      0 388225312      0 487704    0    0     0     4 18460 1149568  4  3 93  0  0
52  0      0 388223296      0 487712    0    0     0    40 20572 659389  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
64  0      0 388227104      0 487720    0    0     0     4 18745 1028716  4  3 93  0  0
34  0      0 388230432      0 487732    0    0     0    20 19421 1081536  4  3 93  0  0
43  0      0 388233280      0 487740    0    0     0     0 18059 717435  4  3 93  0  0
61  0      0 388224256      0 487824    0    0     0     0 19861 1093269  4  3 93  0  0
48  0      0 388219008      0 487828    0    0     0     4 18305 934808  4  3 93  0  0
33  0      0 388221536      0 487840    0    0     0    44 20535 855585  4  3 93  0  0
37  0      0 388224736      0 487844    0    0     0     8 19713 465330  4  3 93  0  0
30  0      0 388218304      0 487860    0    0     0    16 20460 367410  4  3 93  0  0
21  0      0 388218368      0 487864    0    0     0     0 19621 761032  4  3 93  0  0
21  0      0 388221376      0 487876    0    0     0     0 19359 682753  4  3 93  0  0
22  0      0 388221920      0 487880    0    0     0     8 19150 929091  4  3 93  0  0
61  0      0 388225984      0 487892    0    0     0    40 18907 282182  4  3 93  0  0
65  0      0 388204352      0 487900    0    0     0    16 18374 569869  4  3 93  0  0
29  0      0 388203328      0 487976    0    0     0     0 19586 854543  4  3 93  0  0
25  0      0 388206880      0 487984    0    0     0    16 20581 553550  4  3 93  0  0
34  0      0 388215968      0 487992    0    0     0     0 18861 676394  4  3 93  0  0
43  0      0 388216480      0 488000    0    0     0     4 17657 1206320  4  3 93  0  0
56  0      0 388221280      0 488008    0    0     0    40 18310 1311129  4  3 93  0  0
17  0      0 388223072      0 488016    0    0     0     4 18746 675972  4  3 93  0  0
43  0      0 388231136      0 488028    0    0     0     0 18569 1433655  3  4 93  0  0
52  0      0 388227136      0 488032    0    0     0    16 19438 1154656  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0      0 388227360      0 488044    0    0     0    20 19845 1119397  4  3 93  0  0
67  0      0 388227136      0 488048    0    0     0    28 20669 778588  4  3 93  0  0
56  0      0 388210016      0 495612    0    0  7068    68 31457 989059  4  4 91  0  0
45  0      0 388217184      0 495576    0    0     4    16 21393 752319  4  3 93  0  0
 6  0      0 388224544      0 495588    0    0     0    16 19399 332671  4  3 93  0  0
15  0      0 388225536      0 495596    0    0     0   684 18890 1483984  3  4 93  0  0
 1  0      0 388231872      0 495604    0    0     0     0 18868 914414  4  3 93  0  0
81  0      0 388237216      0 495616    0    0     0   264 19467 616158  4  3 93  0  0
53  0      0 388212512      0 495620    0    0     0    40 19174 696397  4  3 93  0  0
28  0      0 388201952      0 495632    0    0     0     4 20987 825213  4  3 93  0  0
34  0      0 388206752      0 495636    0    0     0     0 19559 555105  4  3 93  0  0
59  0      0 388212832      0 495648    0    0     0    16 20652 542306  4  3 93  0  0
12  0      0 388213824      0 495724    0    0     0     0 20632 370971  4  3 93  0  0
 1  0      0 388216128      0 495736    0    0     0     4 19682 683107  4  3 93  0  0
30  0      0 388220960      0 495744    0    0     0    44 18898 692942  4  3 93  0  0
65  0      0 388223232      0 495752    0    0     0     8 18320 1355307  4  4 93  0  0
45  0      0 388227776      0 495760    0    0     0     0 19128 925106  4  3 93  0  0
51  0      0 388217216      0 495768    0    0     0    16 19132 778595  4  3 93  0  0
16  0      0 388205856      0 495776    0    0     0     0 19439 989289  4  3 93  0  0
12  0      0 388212448      0 495784    0    0     0     4 18316 580199  4  3 93  0  0
77  0      0 388216256      0 495792    0    0     0    40 19641 763106  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
36  0      0 388219008      0 495800    0    0     0    12 19201 1062870  4  3 93  0  0
49  0      0 388231392      0 495876    0    0     0     0 19117 691867  4  3 93  0  0
 1  0      0 388218528      0 495892    0    0     0    16 19632 914457  4  3 93  0  0
28  0      0 388230144      0 495896    0    0     0     0 18590 1432419  3  4 93  0  0
 1  0      0 388230816      0 495812    0    0     0     4 18514 1067825  4  3 93  0  0
25  0      0 388236928      0 495816    0    0     0    40 18634 878159  4  3 93  0  0
75  0      0 388237152      0 495828    0    0     0     8 17979 1380429  3  3 93  0  0
 0  0      0 388217280      0 496116    0    0    52    16 13353 546362  3  2 95  0  0
 0  0      0 388485024      0 495996    0    0    36     0  510  561  0  0 100  0  0
 0  0      0 388485760      0 496004    0    0     0    60  146  188  0  0 100  0  0
 0  0      0 388486016      0 496012    0    0     0    16  130  180  0  0 100  0  0
 0  0      0 388488320      0 495996    0    0     0    44  412  395  0  0 100  0  0
 0  0      0 388488544      0 496004    0    0     0     8  224  346  0  0 100  0  0
 0  0      0 388488800      0 496016    0    0     0     4  143  186  0  0 100  0  0
 0  0      0 388489056      0 496020    0    0     0    20  140  185  0  0 100  0  0
 0  0      0 388489312      0 496032    0    0     0   100  197  210  0  0 100  0  0
 0  0      0 388489568      0 496040    0    0     0     8  218  317  0  0 100  0  0
 0  0      0 388490560      0 496048    0    0     0    40  143  214  0  0 100  0  0
 0  0      0 388490848      0 496056    0    0     0     4  154  197  0  0 100  0  0
 0  0      0 388490848      0 496064    0    0     0     0  143  182  0  0 100  0  0
 0  0      0 388491072      0 496072    0    0     0   100  234  352  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 388492352      0 496152    0    0     0     0  321  258  0  0 100  0  0
 0  0      0 388492864      0 496160    0    0     0     4  122  178  0  0 100  0  0
 0  0      0 388492864      0 496168    0    0     0    40  117  164  0  0 100  0  0
 0  0      0 388493120      0 496176    0    0     0     4  207  306  0  0 100  0  0
 0  0      0 388494624      0 496188    0    0     0   300  162  212  0  0 100  0  0
 0  0      0 388495136      0 496192    0    0     0     0  124  168  0  0 100  0  0
