Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/24/2026 	_x86_64_	(64 CPU)

03:24:25 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:24:26 PM  1000   2948889  223.00    7.00    0.00    0.00  230.00     2  java
03:24:27 PM  1000   2948889   92.00    4.00    0.00    0.00   96.00     2  java
03:24:28 PM  1000   2948889    1.00    0.00    0.00    0.00    1.00     2  java
03:24:29 PM  1000   2948889    0.00    0.00    0.00    0.00    0.00     2  java
03:24:30 PM  1000   2948889    0.00    0.00    0.00    0.00    0.00     2  java
03:24:31 PM  1000   2948889    0.00    0.00    0.00    0.00    0.00     2  java
03:24:32 PM  1000   2948889    0.00    0.00    0.00    0.00    0.00     2  java
03:24:33 PM  1000   2948889    0.00    0.00    0.00    0.00    0.00     2  java
03:24:34 PM  1000   2948889    0.00    0.00    0.00    0.00    0.00     2  java
03:24:35 PM  1000   2948889  196.00   11.00    0.00    0.00  207.00     2  java
03:24:36 PM  1000   2948889  381.00   14.00    0.00    0.00  395.00     2  java
03:24:37 PM  1000   2948889  366.00   25.00    0.00    0.00  391.00     2  java
03:24:38 PM  1000   2948889  358.00   31.00    0.00    0.00  389.00     2  java
03:24:39 PM  1000   2948889  361.00   29.00    0.00    0.00  390.00     2  java
03:24:40 PM  1000   2948889  362.00   27.00    0.00    0.00  389.00     2  java
03:24:41 PM  1000   2948889  354.00   33.00    0.00    0.00  387.00     2  java
03:24:42 PM  1000   2948889  351.00   35.00    0.00    0.00  386.00     2  java
03:24:43 PM  1000   2948889  352.00   37.00    0.00    0.00  389.00     2  java
03:24:44 PM  1000   2948889  353.00   34.00    0.00    0.00  387.00     2  java
03:24:45 PM  1000   2948889  346.00   39.00    0.00    0.00  385.00     2  java
03:24:46 PM  1000   2948889  344.00   41.00    0.00    0.00  385.00     2  java
03:24:47 PM  1000   2948889  333.00   50.00    0.00    0.00  383.00     2  java
03:24:48 PM  1000   2948889  331.00   51.00    0.00    0.00  382.00     2  java
03:24:49 PM  1000   2948889  316.00   64.00    0.00    0.00  380.00     2  java
03:24:50 PM  1000   2948889  322.00   59.00    0.00    0.00  381.00     2  java
03:24:51 PM  1000   2948889  310.00   70.00    0.00    0.00  380.00     2  java
03:24:52 PM  1000   2948889  282.00   94.00    0.00    0.00  376.00     2  java
03:24:53 PM  1000   2948889  283.00   92.00    0.00    0.00  375.00     2  java
03:24:54 PM  1000   2948889  276.00   99.00    0.00    0.00  375.00     2  java
03:24:55 PM  1000   2948889  278.00   97.00    0.00    0.00  375.00     2  java
03:24:56 PM  1000   2948889  280.00   95.00    0.00    0.00  375.00     2  java
03:24:57 PM  1000   2948889  280.00   95.00    0.00    0.00  375.00     2  java
03:24:58 PM  1000   2948889  282.00   94.00    0.00    0.00  376.00     2  java
03:24:59 PM  1000   2948889  283.00   94.00    0.00    0.00  377.00     2  java
03:25:00 PM  1000   2948889  282.00   93.00    0.00    0.00  375.00     2  java
03:25:01 PM  1000   2948889  282.00   93.00    0.00    0.00  375.00     2  java
03:25:02 PM  1000   2948889  280.00   95.00    0.00    0.00  375.00     2  java
03:25:03 PM  1000   2948889  276.00   99.00    0.00    0.00  375.00     2  java
03:25:04 PM  1000   2948889  279.00   96.00    0.00    0.00  375.00     2  java
03:25:05 PM  1000   2948889  280.00   96.00    0.00    0.00  376.00     2  java
03:25:06 PM  1000   2948889  304.00   75.00    0.00    0.00  379.00     2  java
03:25:07 PM  1000   2948889  313.00   65.00    0.00    0.00  378.00     2  java
03:25:08 PM  1000   2948889  307.00   73.00    0.00    0.00  380.00     2  java
03:25:09 PM  1000   2948889  301.00   75.00    0.00    0.00  376.00     2  java
03:25:10 PM  1000   2948889  296.00   81.00    0.00    0.00  377.00     2  java
03:25:11 PM  1000   2948889  292.00   86.00    0.00    0.00  378.00     2  java
03:25:12 PM  1000   2948889  288.00   88.00    0.00    0.00  376.00     2  java
03:25:13 PM  1000   2948889  287.00   88.00    0.00    0.00  375.00     2  java
03:25:14 PM  1000   2948889  287.00   90.00    0.00    0.00  377.00     2  java
03:25:15 PM  1000   2948889  288.00   87.00    0.00    0.00  375.00     2  java
03:25:16 PM  1000   2948889  287.00   89.00    0.00    0.00  376.00     2  java
03:25:17 PM  1000   2948889  285.00   90.00    0.00    0.00  375.00     2  java
03:25:18 PM  1000   2948889  299.00   79.00    0.00    0.00  378.00     2  java
