Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/24/2026 	_x86_64_	(64 CPU)

06:09:02 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:09:03 PM  1000   3059970  282.00    7.00    0.00    0.00  289.00     4  java
06:09:04 PM  1000   3059970  302.00    8.00    0.00    0.00  310.00     4  java
06:09:05 PM  1000   3059970  294.00    3.00    0.00    0.00  297.00     4  java
06:09:06 PM  1000   3059970  306.00    6.00    0.00    0.00  312.00     4  java
06:09:07 PM  1000   3059970  237.00    5.00    0.00    0.00  242.00     4  java
06:09:08 PM  1000   3059970  259.00    5.00    0.00    0.00  264.00     4  java
06:09:09 PM  1000   3059970  316.00    2.00    0.00    0.00  318.00     4  java
06:09:10 PM  1000   3059970  235.00    2.00    0.00    0.00  237.00     4  java
06:09:11 PM  1000   3059970   12.00    0.00    0.00    0.00   12.00     4  java
06:09:12 PM  1000   3059970    0.00    0.00    0.00    0.00    0.00     4  java
06:09:13 PM  1000   3059970    0.00    0.00    0.00    0.00    0.00     4  java
06:09:14 PM  1000   3059970  305.00    7.00    0.00    0.00  312.00     4  java
06:09:15 PM  1000   3059970  387.00    8.00    0.00    0.00  395.00     4  java
06:09:16 PM  1000   3059970  386.00   10.00    0.00    0.00  396.00     4  java
06:09:17 PM  1000   3059970  379.00   11.00    0.00    0.00  390.00     4  java
06:09:18 PM  1000   3059970  375.00   17.00    0.00    0.00  392.00     4  java
06:09:19 PM  1000   3059970  369.00   24.00    0.00    0.00  393.00     4  java
06:09:20 PM  1000   3059970  367.00   23.00    0.00    0.00  390.00     4  java
06:09:21 PM  1000   3059970  365.00   25.00    0.00    0.00  390.00     4  java
06:09:22 PM  1000   3059970  377.00   15.00    0.00    0.00  392.00     4  java
06:09:23 PM  1000   3059970  362.00   29.00    0.00    0.00  391.00     4  java
06:09:24 PM  1000   3059970  371.00   20.00    0.00    0.00  391.00     4  java
06:09:25 PM  1000   3059970  367.00   21.00    0.00    0.00  388.00     4  java
06:09:26 PM  1000   3059970  365.00   25.00    0.00    0.00  390.00     4  java
06:09:27 PM  1000   3059970  361.00   29.00    0.00    0.00  390.00     4  java
06:09:28 PM  1000   3059970  358.00   30.00    0.00    0.00  388.00     4  java
06:09:29 PM  1000   3059970  353.00   35.00    0.00    0.00  388.00     4  java
06:09:30 PM  1000   3059970  366.00   25.00    0.00    0.00  391.00     4  java
06:09:31 PM  1000   3059970  354.00   33.00    0.00    0.00  387.00     4  java
06:09:32 PM  1000   3059970  352.00   35.00    0.00    0.00  387.00     4  java
06:09:33 PM  1000   3059970  348.00   37.00    0.00    0.00  385.00     4  java
06:09:34 PM  1000   3059970  338.00   46.00    0.00    0.00  384.00     4  java
06:09:35 PM  1000   3059970  334.00   49.00    0.00    0.00  383.00     4  java
06:09:36 PM  1000   3059970  303.00   74.00    0.00    0.00  377.00     4  java
06:09:37 PM  1000   3059970  295.00   80.00    0.00    0.00  375.00     4  java
06:09:38 PM  1000   3059970  299.00   76.00    0.00    0.00  375.00     4  java
06:09:39 PM  1000   3059970  296.00   80.00    0.00    0.00  376.00     4  java
06:09:40 PM  1000   3059970  299.00   76.00    0.00    0.00  375.00     4  java
06:09:41 PM  1000   3059970  300.00   73.00    0.00    0.00  373.00     4  java
06:09:42 PM  1000   3059970  296.00   77.00    0.00    0.00  373.00     4  java
06:09:43 PM  1000   3059970  300.00   75.00    0.00    0.00  375.00     4  java
06:09:44 PM  1000   3059970  296.00   78.00    0.00    0.00  374.00     4  java
06:09:45 PM  1000   3059970  299.00   75.00    0.00    0.00  374.00     4  java
