Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/24/2026 	_x86_64_	(64 CPU)

06:40:48 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:40:49 PM 100998   3081415    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3081416    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3081418    0.00    0.00    0.00    0.00    0.00    14  postgres
06:40:49 PM 100998   3081419    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082526    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082533    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082537    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082544    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082571    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082581    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082632    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082689    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082744    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082796    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082804    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082805    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082806    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082807    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082808    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:49 PM 100998   3082809    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:49 PM 100998   3082810    0.00    0.00    0.00    0.00    0.00    10  postgres

06:40:49 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:40:50 PM 100998   3081415    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:50 PM 100998   3081416    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3081418    0.00    0.00    0.00    0.00    0.00    14  postgres
06:40:50 PM 100998   3081419    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3082526    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3082533    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:50 PM 100998   3082537    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3082544    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:50 PM 100998   3082571    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3082581    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:50 PM 100998   3082632    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3082689    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:50 PM 100998   3082744    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3082796    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:50 PM 100998   3082804    0.00    0.00    0.00    0.00    0.00    10  postgres
06:40:50 PM 100998   3082805    0.00    0.00    0.00    0.00    0.00    12  postgres
06:40:50 PM 100998   3082806    0.00    0.00    0.00    0.00    0.00    10  postgres
