procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   1832 389736224      0 964800    0    0     2     1    0    0  0  0 100  0  0
 1  0   1832 389678592      0 1009556    0    0 45544   868 4497 6229  0  0 99  0  0
 0  0   1832 389678144      0 1011244    0    0   704     4 8477 6102  0  1 99  0  0
 1  0   1832 389672928      0 1011256    0    0     0     8 3637 3368  0  0 100  0  0
 0  0   1832 389668480      0 1011308    0    0     0   132 9266 5427  0  1 99  0  0
 1  0   1832 389660448      0 1025492    0    0 16180    32 5791 7615  3  0 97  0  0
 3  0   1832 389569280      0 1041664    0    0 16196     4 4619 7333  3  0 97  0  0
 0  0   1832 389522912      0 1046256    0    0  5588   788 3798 4782  2  0 98  0  0
 5  0   1832 389503648      0 1047692    0    0  1832    52 2845 5681  2  0 98  0  0
11  0   1832 389367776      0 1054952    0    0  6448   428 10778 19013  6  1 93  0  0
 9  0   1832 389241344      0 1055920    0    0   796     4 11312 25010  7  1 92  0  0
 9  0   1832 389045344      0 1056728    0    0   152    48 14096 42992  8  1 91  0  0
13  0   1832 388982592      0 1057804    0    0   152     4 17174 60364  9  1 90  0  0
12  0   1832 388928480      0 1058212    0    0   420     0 20268 64497  8  1 90  0  0
11  0   1832 388894560      0 1060404    0    0   280   132 16748 67469  8  1 90  0  0
12  0   1832 388920832      0 1063652    0    0   260     8 18220 72928  9  1 90  0  0
12  0   1832 388958912      0 1066844    0    0   336     4 18534 84527  9  2 90  0  0
 9  0   1832 388970304      0 1069696    0    0   148 44236 18242 77450  8  1 90  0  0
11  0   1832 388837088      0 1073832    0    0   476     4 24130 78459  9  2 90  0  0
 9  0   1832 388539232      0 1080140    0    0   340     8 30888 90825 10  2 88  0  0
12  0   1832 388475296      0 1091192    0    0   604     0 26118 99353 10  2 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   1832 388476384      0 1096900    0    0   416    16 26672 105812 10  2 88  0  0
13  0   1832 388480832      0 1101036    0    0   260 40316 27886 116332 10  2 88  0  0
11  0   1832 388359744      0 1105576    0    0   368    40 25954 124034 10  3 87  0  0
13  0   1832 388192640      0 1111968    0    0   720   132 29157 124365 11  3 87  0  0
13  0   1832 388199520      0 1115676    0    0    20     4 33741 136693 11  3 87  0  0
14  0   1832 388170816      0 1119216    0    0   100     8 37408 151132 11  3 86  0  0
15  0   1832 388015168      0 1120772    0    0   324    12 40549 149196 11  3 86  0  0
13  0   1832 387842816      0 1126836    0    0   120 30724 50578 169268 11  4 86  0  0
13  0   1832 387782016      0 1131796    0    0     0    44 44093 165762 11  3 86  0  0
11  0   1832 387780896      0 1132268    0    0   348     4 51654 218342 11  4 85  0  0
14  0   1832 387690336      0 1124700    0    0   412 36684 54605 245990 11  4 85  0  0
 4  5 233256 387686336      0 965136 14048 195980 17028 203176 95064 268556  8  6 85  1  0
 9  3 391208 387688192      0 967524 35428 181352 38640 181352 93706 271745  8  5 85  2  0
 8  3 473384 387684608      0 968188 70668 143032 71316 143032 88620 281504  8  5 85  2  0
 8  6 555048 387685088      0 969336 63644 136012 65964 136012 90300 284877  8  5 85  2  0
12  0 634920 387673024      0 975928 78452 142144 84836 142144 103384 289131  9  5 85  1  0
 9  2 615976 387664608      0 976716 100804 79060 103344 79112 81437 288716  8  5 85  2  0
10  3 675368 387656736      0 977144 100196 154800 100328 155128 91130 290899  7  5 85  2  0
 9  9 822824 387653120      0 972572 82228 197640 83224 198044 95676 285209  7  5 85  2  0
10  8 969512 387659360      0 973980 101212 188804 102048 188804 104593 286373  8  5 85  2  0
 6  6 1076008 387658240      0 968884 107048 170284 110916 170284 93390 290703  7  5 85  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  6 1154344 387657536      0 971648 102092 169696 104576 169696 93416 298087  7  5 85  3  0
 5  6 1226024 387656832      0 969800 99564 159236 100124 159256 93130 302378  7  5 85  3  0
 9  6 1258792 387666752      0 970556 108912 134004 109632 134012 92942 307016  7  5 85  3  0
