procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   1768 390127840      0 939084    0    0     2     1    0    0  0  0 100  0  0
 3  0   1768 390056256      0 989768    0    0 51312     0 8234 6907  5  0 95  0  0
 4  0   1768 389994272      0 1000660    0    0 11420     0 13760 9439  5  1 94  0  0
 4  0   1768 389904896      0 1009700    0    0  8888     8 8943 6684  4  0 95  0  0
 3  0   1768 389847712      0 1014704    0    0  4912     4 13532 8613  4  1 95  0  0
 4  0   1768 389828576      0 1026000    0    0 11316    88 6138 4766  5  0 95  0  0
 4  0   1768 389795104      0 1030200    0    0  4084   476 6253 6331  5  0 95  0  0
 1  0   1768 389696576      0 1044332    0    0 15724   132 6456 9212  3  0 96  0  0
 2  0   1768 389634560      0 1054604    0    0 11716     0 4808 6771  3  0 97  0  0
 0  0   1768 389615680      0 1056376    0    0  1560     4 1905 2368  1  0 99  0  0
16  0   1768 389512960      0 1058688    0    0  2124    16 5817 18421  4  0 95  0  0
91  0   1768 389504160      0 1058876    0    0   272    44 9807 38582  7  1 93  0  0
89  0   1768 389498720      0 1062484    0    0  3284     4 11057 45710  7  1 93  0  0
49  0   1768 389495456      0 1063084    0    0   544     0 9880 86462  6  1 93  0  0
46  0   1768 389478336      0 1063112    0    0    40     8 10729 35290  7  1 93  0  0
93  0   1768 389468832      0 1063624    0    0   496     8 10514 54586  7  1 93  0  0
104  0   1768 389461536      0 1063732    0    0    24     4 10282 84269  6  1 93  0  0
74  0   1768 389455264      0 1063736    0    0     0    40 10389 43917  6  1 93  0  0
106  0   1768 389435744      0 1064240    0    0   400   132 11396 103938  6  1 93  0  0
99  0   1768 389432480      0 1064340    0    0     0     0 10283 192772  6  1 93  0  0
31  0   1768 389424960      0 1064764    0    0   416    12 10809 63407  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
104  0   1768 389412608      0 1065616    0    0   464     8 12133 136050  6  1 93  0  0
102  0   1768 389406112      0 1066376    0    0   208     4 13479 272432  6  1 93  0  0
103  0   1768 389261280      0 1067164    0    0   200    48 11581 95657  6  1 93  0  0
97  0   1768 389253120      0 1067344    0    0    76     4 15520 112842  6  1 93  0  0
105  0   1768 389248512      0 1067444    0    0     0     4 11808 110684  6  1 93  0  0
97  0   1768 389247712      0 1067988    0    0    48     8 17013 168635  6  1 93  0  0
103  0   1768 389247680      0 1068972    0    0   680 18136 12056 55788  6  1 93  0  0
100  0   1768 389214336      0 1069428    0    0   100    52 13344 725466  5  2 93  0  0
92  0   1768 389214240      0 1069644    0    0     0    44 12339 145957  6  1 93  0  0
106  0   1768 389199104      0 1070212    0    0   516    12 13040 181444  6  1 93  0  0
105  0   1768 389198592      0 1070864    0    0   128     0 12794 243293  6  1 93  0  0
102  0   1768 389176160      0 1072864    0    0    96    16 13480 115503  7  1 92  0  0
92  0   1768 389177120      0 1073092    0    0    24    24 13051 140887  6  1 93  0  0
102  0   1768 389176992      0 1073272    0    0     0     4 13196 341961  6  1 93  0  0
53  0   1768 389173376      0 1073504    0    0    72    48 12907 187283  6  1 93  0  0
107  0   1768 389171648      0 1073980    0    0     0   160 13492 141898  6  1 93  0  0
99  0   1768 389151648      0 1074396    0    0     0   428 14222 452821  6  1 93  0  0
103  0   1768 389148352      0 1074564    0    0     8   476 13227 365698  5  1 93  0  0
103  0   1768 389142816      0 1075036    0    0     4    12 15505 306001  6  1 93  0  0
14  0   1768 389143680      0 1075200    0    0     0    12 12821 284476  6  1 93  0  0
96  0   1768 389142080      0 1075304    0    0     0    44 13448 329391  5  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
106  0   1768 389142176      0 1077932    0    0    68    16 12627 89364  6  1 92  0  0
101  0   1768 389145536      0 1079696    0    0     0   100 14160 547351  5  2 93  0  0
103  0   1768 389147936      0 1080240    0    0     0    16 14452 292143  6  2 93  0  0
89  0   1768 389147872      0 1080708    0    0     0     8 14392 293582  6  2 93  0  0
101  0   1768 389148000      0 1080768    0    0     0    12 14398 514892  5  2 93  0  0
103  0   1768 389148256      0 1081224    0    0   284   596 14728 223633  6  2 93  0  0
79  0   1768 389136256      0 1081776    0    0     0     8 14132 261407  6  2 93  0  0
83  0   1768 389121312      0 1082404    0    0   148     4 16209 709778  5  2 93  0  0
92  0   1768 389122944      0 1082696    0    0    64     8 15604 446960  5  2 93  0  0
100  0   1768 389104256      0 1083504    0    0     0     8 14848 391033  6  2 92  0  0
104  0   1768 389076000      0 1085960    0    0    96    12 16589 499789  6  2 92  0  0
87  0   1768 389076160      0 1086356    0    0   232   932 16326 600438  5  2 93  0  0
104  0   1768 389076256      0 1086580    0    0     0    12 16094 763401  5  2 93  0  0
104  0   1768 389077824      0 1086748    0    0     0     4 17505 1336838  4  3 93  0  0
74  0   1768 389077696      0 1086976    0    0     0    16 18180 611810  5  2 93  0  0
87  0   1768 389076032      0 1087284    0    0     0     8 17463 570693  5  2 93  0  0
76  0   1768 389052000      0 1087856    0    0     0  1716 18336 868361  5  2 93  0  0
100  0   1768 389040416      0 1088424    0    0     0    24 17524 537869  5  2 93  0  0
18  0   1768 389036768      0 1088996    0    0     0     4 16568 933122  5  2 93  0  0
11  0   1768 389036800      0 1089224    0    0     0     8 16919 1179024  5  3 93  0  0
75  0   1768 389023008      0 1091176    0    0     0    12 14197 102113  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
88  0   1768 389022688      0 1091840    0    0    96  3448 16051 560910  5  2 93  0  0
76  0   1768 389022912      0 1092080    0    0    20     4 16257 313294  5  2 93  0  0
100  0   1768 389022944      0 1092312    0    0     0     8 14719 236089  5  2 93  0  0
55  0   1768 389023168      0 1092964    0    0     0   340 15577 711477  5  2 93  0  0
81  0   1768 389023328      0 1093128    0    0     0   772 17428 1009180  5  2 93  0  0
42  0   1768 389016544      0 1094052    0    0     0  1272 17550 308274  6  2 92  0  0
43  0   1768 389016416      0 1094412    0    0   128    20 16719 345036  5  2 93  0  0
74  0   1768 389013408      0 1094768    0    0    60    12 14591 269137  5  2 93  0  0
86  0   1768 389013696      0 1095456    0    0     0     0 16126 228093  6  2 92  0  0
50  0   1768 389013056      0 1094944    0    0    64   212 19843 351594  6  2 92  0  0
71  0   1768 389009152      0 1095176    0    0     0  1744 14730 689485  5  2 93  0  0
15  0   1768 389009696      0 1095472    0    0     0    20 15095 285801  5  2 93  0  0
49  0   1768 389008896      0 1096160    0    0    72     8 15050 386558  6  2 92  0  0
49  0   1768 389009920      0 1096388    0    0     0    12 16177 793215  5  2 93  0  0
49  0   1768 389010688      0 1096684    0    0    64     0 20034 948002  5  3 93  0  0
58  0   1768 389010336      0 1097288    0    0     0  1856 15212 327626  6  2 93  0  0
103  0   1768 389010176      0 1097520    0    0     0     0 17530 285699  5  2 93  0  0
84  0   1768 389010272      0 1097760    0    0     0     8 17225 384223  6  2 92  0  0
98  0   1768 389010560      0 1098344    0    0     0     8 18642 805864  5  2 93  0  0
90  0   1768 388980608      0 1101348    0    0   192    16 16404 262881  7  2 91  0  0
100  0   1768 388927808      0 1099048    0    0   280  2980 19847 447001  6  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
83  0   1768 388924160      0 1099352    0    0     0     4 13792 274117  5  2 93  0  0
59  0   1768 388920128      0 1099580    0    0     0     8 15470 348074  5  2 93  0  0
92  0   1768 388952928      0 1100240    0    0   104     8 17873 944059  5  3 93  0  0
102  0   1768 388958720      0 1100748    0    0   200    16 16084 830529  5  2 93  0  0
18  0   1768 388936640      0 1101648    0    0   320   756 19661 1128596  5  3 92  0  0
11  0   1768 388934848      0 1102704    0    0   304    16 16844 794522  5  2 93  0  0
28  0   1768 388944416      0 1103116    0    0     0    16 16047 454933  5  2 93  0  0
80  0   1768 388944608      0 1104088    0    0    28     8 16454 913465  5  2 92  0  0
82  0   1768 388945376      0 1106540    0    0    16     8 18185 1276808  5  3 92  0  0
54  0   1768 388945792      0 1106776    0    0     0  2156 15404 615697  5  2 93  0  0
87  0   1768 388946400      0 1107284    0    0     0    12 17006 806665  5  2 93  0  0
92  0   1768 388957376      0 1107588    0    0     0     0 16152 385464  5  2 93  0  0
101  0   1768 388958016      0 1108196    0    0     0   152 16414 656606  5  2 93  0  0
51  0   1768 388958624      0 1108748    0    0     0   472 15449 532346  5  2 93  0  0
29  0   1768 388958784      0 1108992    0    0     0   128 13707 218802  6  2 93  0  0
53  0   1768 388958848      0 1109692    0    0     4  2388 16534 494383  5  2 92  0  0
70  0   1768 388959200      0 1109992    0    0     0    20 15921 369334  5  2 93  0  0
48  0   1768 388958816      0 1110752    0    0   128     8 15768 378846  5  2 92  0  0
63  0   1768 388959456      0 1113676    0    0     0    12 17457 250450  7  2 91  0  0
25  0   1768 388959968      0 1114504    0    0     0     8 17853 917605  5  3 93  0  0
39  0   1768 388959424      0 1115992    0    0  1196  2372 16420 917937  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0   1768 388956672      0 1116224    0    0     0    20 14301 268723  5  2 93  0  0
42  0   1768 388955808      0 1116440    0    0     0    12 17600 673211  5  2 93  0  0
73  0   1768 388943712      0 1117008    0    0    16     0 15298 283643  6  2 92  0  0
66  0   1768 388929472      0 1117636    0    0     0   600 18440 938037  5  3 93  0  0
73  0   1768 388927616      0 1117856    0    0     4  1784 15216 808871  5  2 93  0  0
38  0   1768 388927520      0 1118848    0    0   116     8 17423 443221  6  2 92  0  0
104  0   1768 388925760      0 1119428    0    0     0     8 15326 506163  5  2 93  0  0
102  0   1768 388924960      0 1122768    0    0     4     8 19674 284062  6  2 91  0  0
79  0   1768 388924544      0 1123064    0    0     0     0 16769 348742  5  2 93  0  0
81  0   1768 388924544      0 1123360    0    0     0  8640 16807 838889  5  2 93  0  0
50  0   1768 388920992      0 1124172    0    0   576     8 15801 385713  5  2 93  0  0
76  0   1768 388868544      0 1125192    0    0     0     8 16223 254493  6  2 92  0  0
98  0   1768 388868992      0 1125800    0    0     0     8 16899 733865  5  2 93  0  0
68  0   1768 388869120      0 1126092    0    0     0   136 17050 923117  5  2 93  0  0
89  0   1768 388880704      0 1126324    0    0     0  2528 18245 852762  5  3 93  0  0
26  0   1768 388879904      0 1126552    0    0     0    32 14576 298625  5  2 93  0  0
59  0   1768 388879968      0 1126788    0    0     0     0 13559 62708  6  2 93  0  0
102  0   1768 388880256      0 1129256    0    0     0    16 18981 843833  6  3 92  0  0
19  0   1768 388880512      0 1129892    0    0    16     8 17831 535646  5  2 92  0  0
66  0   1768 388881056      0 1130236    0    0     0  4252 14134 169425  5  2 93  0  0
72  0   1768 388880448      0 1130988    0    0   100     8 16628 775217  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
82  0   1768 388881216      0 1131648    0    0     0    12 15821 573278  5  2 92  0  0
81  0   1768 388879744      0 1131888    0    0     0   484 16531 868268  5  2 93  0  0
