procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   1768 389977152      0 929856    0    0     2     1    0    0  0  0 100  0  0
 3  0   1768 389950432      0 981444    0    0 52332  1344 8523 7675  5  0 95  0  0
 4  0   1768 389842656      0 989564    0    0  8264   852 13146 9047  5  1 94  0  0
 4  0   1768 389762144      0 998368    0    0  8724     0 8823 6530  5  0 95  0  0
 4  0   1768 389713920      0 1002160    0    0  3488    16 12644 7602  4  1 95  0  0
 4  0   1768 389683712      0 1011368    0    0  9064   592 6043 4529  5  0 95  0  0
 4  0   1768 389583936      0 1016816    0    0  6212     4 7297 8150  5  0 95  0  0
 3  0   1768 389536352      0 1033984    0    0 18444   896 5661 8940  3  0 97  0  0
 0  0   1768 389490016      0 1040556    0    0  7968   156 4318 5581  2  0 97  0  0
 4  0   1768 389469888      0 1041516    0    0  1012    12 1942 2698  1  0 99  0  0
62  0   1768 389389888      0 1043864    0    0  1800     4 7726 28962  6  0 93  0  0
75  0   1768 389363712      0 1047812    0    0  4100    44 10886 110959  6  1 93  0  0
85  0   1768 389361696      0 1048600    0    0   660     4 9123 61423  6  0 93  0  0
105  0   1768 389358176      0 1048636    0    0    24    16 10807 104005  7  1 93  0  0
36  0   1768 389345088      0 1048980    0    0   336     0 10007 76060  7  1 93  0  0
29  0   1768 389328000      0 1048988    0    0     0   136 11195 76604  6  1 93  0  0
106  0   1768 389314912      0 1049168    0    0    68     4 10246 142248  6  1 93  0  0
77  0   1768 389275872      0 1050296    0    0   776    40 9972 216575  6  1 93  0  0
100  0   1768 389251072      0 1050448    0    0   140    16 11798 380567  6  1 93  0  0
106  0   1768 389171584      0 1051120    0    0     0     0 13716 109767  6  1 93  0  0
103  0   1768 389162112      0 1052004    0    0   704    12 11774 273658  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
104  0   1768 389088000      0 1052552    0    0     0     8 10283 447111  6  1 93  0  0
87  0   1768 389086496      0 1052652    0    0    32    12 14055 488848  5  1 93  0  0
42  0   1768 389065248      0 1054928    0    0  1836    40 11941 304324  6  1 93  0  0
104  0   1768 389060928      0 1055004    0    0    64     4 11106 237235  6  1 93  0  0
105  0   1768 389059872      0 1055392    0    0   220   124 12102 509389  5  1 93  0  0
105  0   1768 389041440      0 1055932    0    0   116    12 14162 754286  5  2 93  0  0
104  0   1768 389040832      0 1056100    0    0    36    56 13497 450494  6  1 93  0  0
106  0   1768 389040224      0 1056560    0    0    32    36 13518 782725  5  2 93  0  0
99  0   1768 389038944      0 1056700    0    0     0    52 12379 250637  6  1 93  0  0
107  0   1768 389003296      0 1057688    0    0   432     4 11774 176186  6  1 93  0  0
70  0   1768 389000224      0 1058856    0    0    16     8 11040 199845  6  1 93  0  0
104  0   1768 388998944      0 1059488    0    0    96    20 10406 33571  6  1 93  0  0
27  0   1768 388988928      0 1059956    0    0    36    20 11036 222385  6  1 93  0  0
62  0   1768 388988416      0 1060124    0    0     0    12 10389 35477  6  1 93  0  0
47  0   1768 388989056      0 1060664    0    0     0   164 10585 112972  6  1 93  0  0
38  0   1768 388989152      0 1060836    0    0     0     4 11147 226791  6  1 93  0  0
37  0   1768 388988640      0 1061112    0    0   112   264 10669 70639  6  1 93  0  0
102  0   1768 388988608      0 1061348    0    0    12   344 18852 451352  6  1 93  0  0
66  0   1768 388950208      0 1062352    0    0    96   408 20114 1050245  5  2 93  0  0
58  0   1768 388949888      0 1062540    0    0     0     4 15203 508618  5  2 93  0  0
106  0   1768 388949568      0 1064104    0    0     0    12 14439 310832  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
105  0   1768 388948768      0 1064632    0    0    68     4 14404 567839  5  2 93  0  0
13  0   1768 388948288      0 1064804    0    0     0   108 12974 395675  6  1 93  0  0
105  0   1768 388918496      0 1065608    0    0     0    12 12776 177389  6  1 93  0  0
75  0   1768 388918624      0 1065780    0    0     0   144 12193 223704  6  1 93  0  0
102  0   1768 388914016      0 1066492    0    0   540     4 13954 424092  5  2 93  0  0
105  0   1768 388904448      0 1067104    0    0     0   380 13068 318575  6  1 93  0  0
101  0   1768 388905280      0 1067276    0    0     0     8 13866 537370  5  2 93  0  0
69  0   1768 388901056      0 1068144    0    0     0     8 14123 484150  6  2 92  0  0
66  0   1768 388898432      0 1068576    0    0   124    12 15320 909985  5  2 93  0  0
100  0   1768 388871264      0 1071096    0    0   124    12 19299 994060  5  2 92  0  0
28  0   1768 388867168      0 1071328    0    0    12  1216 13245 278964  6  2 93  0  0
69  0   1768 388865792      0 1071852    0    0   232     8 12245 55731  6  1 93  0  0
23  0   1768 388865632      0 1072468    0    0     0     4 12764 56528  6  1 93  0  0
30  0   1768 388862400      0 1072704    0    0   624   136 11647 52807  6  1 93  0  0
15  0   1768 388859520      0 1073728    0    0    72     8 12249 53186  6  1 93  0  0
43  0   1768 388860000      0 1073964    0    0     0   948 11847 51982  6  1 93  0  0
25  0   1768 388861632      0 1074252    0    0    64    28 12209 55575  6  1 93  0  0
56  0   1768 388858912      0 1075248    0    0    24     0 13195 53060  7  1 92  0  0
56  0   1768 388863072      0 1076624    0    0    64    12 12269 52388  6  1 92  0  0
62  0   1768 388862176      0 1078904    0    0     0     8 13104 56953  6  1 92  0  0
14  0   1768 388862112      0 1079296    0    0   100    24 12000 55849  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
103  0   1768 388862176      0 1079540    0    0     0  2776 12053 140231  6  1 93  0  0
97  0   1768 388862304      0 1080180    0    0    20    12 13462 405274  5  2 93  0  0
70  0   1768 388862784      0 1080872    0    0    36   600 14850 323712  6  2 92  0  0
68  0   1768 388841472      0 1081840    0    0     0    12 18159 980219  5  3 92  0  0
72  0   1768 388825504      0 1082076    0    0     0   200 14633 434027  5  2 93  0  0
32  0   1768 388813632      0 1082996    0    0   312  1496 14784 335877  6  2 92  0  0
104  0   1768 388813600      0 1083268    0    0     0   556 16504 458783  5  2 93  0  0
