Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/27/2026 	_x86_64_	(64 CPU)

11:11:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:11:16 PM  all    3.42    0.00    0.55    0.52    0.06    0.05    0.00    0.00    0.00   95.41
11:11:16 PM    0    0.00    0.00    0.99    0.00    0.00    1.98    0.00    0.00    0.00   97.03
11:11:16 PM    1    0.99    0.00    1.98    1.98    0.00    0.00    0.00    0.00    0.00   95.05
11:11:16 PM    2   42.42    0.00    0.00    1.01    0.00    1.01    0.00    0.00    0.00   55.56
11:11:16 PM    3    2.02    0.00    3.03   15.15    0.00    0.00    0.00    0.00    0.00   79.80
11:11:16 PM    4   41.58    0.00    1.98    2.97    0.00    0.00    0.00    0.00    0.00   53.47
11:11:16 PM    5    1.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   96.00
11:11:16 PM    6   70.41    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   27.55
11:11:16 PM    7    0.98    0.00    1.96    0.98    0.00    0.00    0.00    0.00    0.00   96.08
11:11:16 PM    8   45.45    0.00    4.04    4.04    1.01    0.00    0.00    0.00    0.00   45.45
11:11:16 PM    9    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
11:11:16 PM   10    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:11:16 PM   11    4.85    0.00    2.91    0.00    0.97    0.00    0.00    0.00    0.00   91.26
11:11:16 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   13    0.99    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   97.03
11:11:16 PM   14    1.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   96.00
11:11:16 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   16    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:11:16 PM   17    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:11:16 PM   18    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:11:16 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   20    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:11:16 PM   21    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:11:16 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   23    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:11:16 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   27    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:11:16 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:11:16 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
