Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/27/2026 	_x86_64_	(64 CPU)

11:35:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:35:56 PM  all    2.41    0.00    0.56    0.39    0.05    0.02    0.00    0.00    0.00   96.57
11:35:56 PM    0    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
11:35:56 PM    1    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
11:35:56 PM    2   32.00    0.00    2.00    3.00    0.00    0.00    0.00    0.00    0.00   63.00
11:35:56 PM    3    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
11:35:56 PM    4   16.83    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   81.19
11:35:56 PM    5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:35:56 PM    6   52.04    0.00    2.04    2.04    0.00    0.00    0.00    0.00    0.00   43.88
11:35:56 PM    7    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
11:35:56 PM    8   38.38    0.00    1.01    2.02    1.01    0.00    0.00    0.00    0.00   57.58
11:35:56 PM    9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:35:56 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   11    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
11:35:56 PM   12    1.98    0.00    2.97   15.84    0.00    0.00    0.00    0.00    0.00   79.21
11:35:56 PM   13    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
11:35:56 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:35:56 PM   16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:35:56 PM   17    0.98    0.00    1.96    0.00    0.00    0.00    0.00    0.00    0.00   97.06
11:35:56 PM   18    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:35:56 PM   19    3.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   95.00
11:35:56 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   21    0.00    0.00    1.98    0.00    0.99    0.00    0.00    0.00    0.00   97.03
11:35:56 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   23    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:35:56 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:35:56 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:35:56 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
