Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/27/2026 	_x86_64_	(64 CPU)

11:11:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:11:15 PM  1000    119747  249.00    6.00    0.00    0.00  255.00     6  java
11:11:16 PM  1000    119747  218.00    7.00    0.00    0.00  225.00     6  java
11:11:17 PM  1000    119747    3.00    0.00    0.00    0.00    3.00     6  java
11:11:18 PM  1000    119747    0.00    0.00    0.00    0.00    0.00     6  java
11:11:19 PM  1000    119747    0.00    0.00    0.00    0.00    0.00     6  java
11:11:20 PM  1000    119747    1.00    0.00    0.00    0.00    1.00     6  java
11:11:21 PM  1000    119747    0.00    0.00    0.00    0.00    0.00     6  java
11:11:22 PM  1000    119747    0.00    0.00    0.00    0.00    0.00     6  java
11:11:23 PM  1000    119747    0.00    0.00    0.00    0.00    0.00     6  java
11:11:24 PM  1000    119747  208.00   13.00    0.00    0.00  221.00     6  java
11:11:25 PM  1000    119747  375.00   20.00    0.00    0.00  395.00     6  java
11:11:26 PM  1000    119747  366.00   29.00    0.00    0.00  395.00     6  java
11:11:27 PM  1000    119747  358.00   35.00    0.00    0.00  393.00     6  java
11:11:28 PM  1000    119747  345.00   47.00    0.00    0.00  392.00     6  java
11:11:29 PM  1000    119747  320.00   69.00    0.00    0.00  389.00     6  java
11:11:30 PM  1000    119747  310.00   76.00    0.00    0.00  386.00     6  java
11:11:31 PM  1000    119747  298.00   88.00    0.00    0.00  386.00     6  java
11:11:32 PM  1000    119747  300.00   85.00    0.00    0.00  385.00     6  java
11:11:33 PM  1000    119747  297.00   88.00    0.00    0.00  385.00     6  java
11:11:34 PM  1000    119747  301.00   86.00    0.00    0.00  387.00     6  java
11:11:35 PM  1000    119747  297.00   87.00    0.00    0.00  384.00     6  java
11:11:36 PM  1000    119747  300.00   86.00    0.00    0.00  386.00     6  java
11:11:37 PM  1000    119747  303.00   83.00    0.00    0.00  386.00     6  java
11:11:38 PM  1000    119747  291.00   94.00    0.00    0.00  385.00     6  java
11:11:39 PM  1000    119747  288.00   97.00    0.00    0.00  385.00     6  java
11:11:40 PM  1000    119747  293.00   91.00    0.00    0.00  384.00     6  java
11:11:41 PM  1000    119747  279.00  104.00    0.00    0.00  383.00     6  java
11:11:42 PM  1000    119747  286.00   96.00    0.00    0.00  382.00     6  java
11:11:43 PM  1000    119747  280.00  103.00    0.00    0.00  383.00     6  java
11:11:44 PM  1000    119747  276.00  108.00    0.00    0.00  384.00     6  java
11:11:45 PM  1000    119747  278.00  106.00    0.00    0.00  384.00     6  java
11:11:46 PM  1000    119747  280.00  103.00    0.00    0.00  383.00     6  java
11:11:47 PM  1000    119747  279.00  104.00    0.00    0.00  383.00     6  java
11:11:48 PM  1000    119747  294.00   92.00    0.00    0.00  386.00     6  java
11:11:49 PM  1000    119747  271.00  111.00    0.00    0.00  382.00     6  java
11:11:50 PM  1000    119747  277.00  106.00    0.00    0.00  383.00     6  java
11:11:51 PM  1000    119747  272.00  111.00    0.00    0.00  383.00     6  java
11:11:52 PM  1000    119747  266.00  116.00    0.00    0.00  382.00     6  java
11:11:53 PM  1000    119747  274.00  109.00    0.00    0.00  383.00     6  java
11:11:54 PM  1000    119747  269.00  111.00    0.00    0.00  380.00     6  java
11:11:55 PM  1000    119747  275.00  109.00    0.00    0.00  384.00     6  java
11:11:56 PM  1000    119747  270.00  113.00    0.00    0.00  383.00     6  java
11:11:57 PM  1000    119747  271.00  112.00    0.00    0.00  383.00     6  java
11:11:58 PM  1000    119747  267.00  115.00    0.00    0.00  382.00     6  java
11:11:59 PM  1000    119747  263.00  120.00    0.00    0.00  383.00     6  java
11:12:00 PM  1000    119747  264.00  117.00    0.00    0.00  381.00     6  java
11:12:01 PM  1000    119747  265.00  118.00    0.00    0.00  383.00     6  java
11:12:02 PM  1000    119747  263.00  119.00    0.00    0.00  382.00     6  java
11:12:03 PM  1000    119747  268.00  114.00    0.00    0.00  382.00     6  java
11:12:04 PM  1000    119747  278.00  105.00    0.00    0.00  383.00     6  java
11:12:05 PM  1000    119747  268.00  115.00    0.00    0.00  383.00     6  java
11:12:06 PM  1000    119747  268.00  114.00    0.00    0.00  382.00     6  java
11:12:07 PM  1000    119747  258.00  122.00    0.00    0.00  380.00     6  java
11:12:08 PM  1000    119747  259.00  123.00    0.00    0.00  382.00     6  java
11:12:09 PM  1000    119747  256.00  123.00    0.00    0.00  379.00     6  java
11:12:10 PM  1000    119747  265.00  117.00    0.00    0.00  382.00     6  java
11:12:11 PM  1000    119747  246.00  135.00    0.00    0.00  381.00     6  java
11:12:12 PM  1000    119747  249.00  132.00    0.00    0.00  381.00     6  java
11:12:13 PM  1000    119747  242.00  138.00    0.00    0.00  380.00     6  java
11:12:14 PM  1000    119747  247.00  133.00    0.00    0.00  380.00     6  java
11:12:15 PM  1000    119747  245.00  135.00    0.00    0.00  380.00     6  java
11:12:16 PM  1000    119747  251.00  129.00    0.00    0.00  380.00     6  java
11:12:17 PM  1000    119747  228.00  152.00    0.00    0.00  380.00     6  java
11:12:18 PM  1000    119747  247.00  133.00    0.00    0.00  380.00     6  java
11:12:19 PM  1000    119747  243.00  138.00    0.00    0.00  381.00     6  java
11:12:20 PM  1000    119747  224.00  155.00    0.00    0.00  379.00     6  java
11:12:21 PM  1000    119747  233.00  147.00    0.00    0.00  380.00     6  java
11:12:22 PM  1000    119747  230.00  149.00    0.00    0.00  379.00     6  java
11:12:23 PM  1000    119747  211.00  166.00    0.00    0.00  377.00     6  java
11:12:24 PM  1000    119747  209.00  167.00    0.00    0.00  376.00     6  java
11:12:25 PM  1000    119747  202.00  175.00    0.00    0.00  377.00     6  java
11:12:26 PM  1000    119747  201.00  175.00    0.00    0.00  376.00     6  java
11:12:27 PM  1000    119747  178.00  195.00    0.00    0.00  373.00     6  java
11:12:28 PM  1000    119747  181.00  194.00    0.00    0.00  375.00     6  java
11:12:29 PM  1000    119747  182.00  191.00    0.00    0.00  373.00     6  java
11:12:30 PM  1000    119747  183.00  192.00    0.00    0.00  375.00     6  java
11:12:31 PM  1000    119747  182.00  192.00    0.00    0.00  374.00     6  java
11:12:32 PM  1000    119747  205.00  177.00    0.00    0.00  382.00     6  java
11:12:33 PM  1000    119747  203.00  178.00    0.00    0.00  381.00     6  java
11:12:34 PM  1000    119747  200.00  182.00    0.00    0.00  382.00     6  java
11:12:35 PM  1000    119747  202.00  179.00    0.00    0.00  381.00     6  java
11:12:36 PM  1000    119747  201.00  181.00    0.00    0.00  382.00     6  java
11:12:37 PM  1000    119747  207.00  175.00    0.00    0.00  382.00     6  java
