Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/28/2026 	_x86_64_	(64 CPU)

12:02:09 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:02:10 AM  1000    156264  255.00    8.00    0.00    0.00  263.00     6  java
12:02:11 AM  1000    156264  210.00    7.00    0.00    0.00  217.00     6  java
12:02:12 AM  1000    156264    0.00    0.00    0.00    0.00    0.00     6  java
12:02:13 AM  1000    156264    0.00    0.00    0.00    0.00    0.00     6  java
12:02:14 AM  1000    156264    0.00    0.00    0.00    0.00    0.00     6  java
12:02:15 AM  1000    156264    0.00    0.00    0.00    0.00    0.00     6  java
12:02:16 AM  1000    156264    0.00    0.00    0.00    0.00    0.00     6  java
12:02:17 AM  1000    156264    1.00    0.00    0.00    0.00    1.00     6  java
12:02:18 AM  1000    156264    0.00    0.00    0.00    0.00    0.00     6  java
12:02:19 AM  1000    156264  180.00    5.00    0.00    0.00  185.00     6  java
12:02:20 AM  1000    156264  384.00   12.00    0.00    0.00  396.00     6  java
12:02:21 AM  1000    156264  372.00   22.00    0.00    0.00  394.00     6  java
12:02:22 AM  1000    156264  362.00   30.00    0.00    0.00  392.00     6  java
12:02:23 AM  1000    156264  365.00   26.00    0.00    0.00  391.00     6  java
12:02:24 AM  1000    156264  358.00   29.00    0.00    0.00  387.00     6  java
12:02:25 AM  1000    156264  358.00   31.00    0.00    0.00  389.00     6  java
12:02:26 AM  1000    156264  358.00   31.00    0.00    0.00  389.00     6  java
12:02:27 AM  1000    156264  358.00   31.00    0.00    0.00  389.00     6  java
12:02:28 AM  1000    156264  356.00   34.00    0.00    0.00  390.00     6  java
12:02:29 AM  1000    156264  354.00   35.00    0.00    0.00  389.00     6  java
12:02:30 AM  1000    156264  343.00   39.00    0.00    0.00  382.00     6  java
12:02:31 AM  1000    156264  336.00   47.00    0.00    0.00  383.00     6  java
12:02:32 AM  1000    156264  332.00   51.00    0.00    0.00  383.00     6  java
12:02:33 AM  1000    156264  330.00   53.00    0.00    0.00  383.00     6  java
12:02:34 AM  1000    156264  336.00   48.00    0.00    0.00  384.00     6  java
12:02:35 AM  1000    156264  323.00   57.00    0.00    0.00  380.00     6  java
12:02:36 AM  1000    156264  314.00   65.00    0.00    0.00  379.00     6  java
12:02:37 AM  1000    156264  298.00   78.00    0.00    0.00  376.00     6  java
12:02:38 AM  1000    156264  312.00   69.00    0.00    0.00  381.00     6  java
12:02:39 AM  1000    156264  291.00   82.00    0.00    0.00  373.00     6  java
12:02:40 AM  1000    156264  286.00   88.00    0.00    0.00  374.00     6  java
12:02:41 AM  1000    156264  292.00   82.00    0.00    0.00  374.00     6  java
12:02:42 AM  1000    156264  279.00   90.00    0.00    0.00  369.00     6  java
12:02:43 AM  1000    156264  277.00   89.00    0.00    0.00  366.00     6  java
12:02:44 AM  1000    156264  272.00   95.00    0.00    0.00  367.00     6  java
12:02:45 AM  1000    156264  282.00   87.00    0.00    0.00  369.00     6  java
12:02:46 AM  1000    156264  279.00   88.00    0.00    0.00  367.00     6  java
12:02:47 AM  1000    156264  281.00   87.00    0.00    0.00  368.00     6  java
12:02:48 AM  1000    156264  275.00   91.00    0.00    0.00  366.00     6  java
12:02:49 AM  1000    156264  272.00   93.00    0.00    0.00  365.00     6  java
12:02:50 AM  1000    156264  277.00   90.00    0.00    0.00  367.00     6  java
12:02:51 AM  1000    156264  280.00   88.00    0.00    0.00  368.00     6  java
12:02:52 AM  1000    156264  280.00   86.00    0.00    0.00  366.00     6  java
12:02:53 AM  1000    156264  278.00   88.00    0.00    0.00  366.00     6  java
12:02:54 AM  1000    156264  273.00   91.00    0.00    0.00  364.00     6  java
12:02:55 AM  1000    156264  274.00   90.00    0.00    0.00  364.00     6  java
12:02:56 AM  1000    156264  302.00   74.00    0.00    0.00  376.00     6  java
12:02:57 AM  1000    156264  297.00   81.00    0.00    0.00  378.00     6  java
12:02:58 AM  1000    156264  282.00   93.00    0.00    0.00  375.00     6  java
12:02:59 AM  1000    156264  286.00   90.00    0.00    0.00  376.00     6  java
12:03:00 AM  1000    156264  290.00   87.00    0.00    0.00  377.00     6  java
12:03:01 AM  1000    156264  284.00   91.00    0.00    0.00  375.00     6  java
12:03:02 AM  1000    156264  282.00   92.00    0.00    0.00  374.00     6  java
12:03:03 AM  1000    156264  279.00   95.00    0.00    0.00  374.00     6  java
12:03:04 AM  1000    156264  288.00   87.00    0.00    0.00  375.00     6  java
12:03:05 AM  1000    156264  285.00   91.00    0.00    0.00  376.00     6  java
12:03:06 AM  1000    156264  284.00   92.00    0.00    0.00  376.00     6  java
12:03:07 AM  1000    156264  289.00   85.00    0.00    0.00  374.00     6  java
12:03:08 AM  1000    156264  288.00   87.00    0.00    0.00  375.00     6  java
12:03:09 AM  1000    156264  286.00   90.00    0.00    0.00  376.00     6  java
12:03:10 AM  1000    156264  291.00   86.00    0.00    0.00  377.00     6  java
12:03:11 AM  1000    156264  283.00   92.00    0.00    0.00  375.00     6  java
12:03:12 AM  1000    156264  287.00   89.00    0.00    0.00  376.00     6  java
12:03:13 AM  1000    156264  286.00   90.00    0.00    0.00  376.00     6  java
12:03:14 AM  1000    156264  286.00   89.00    0.00    0.00  375.00     6  java
12:03:15 AM  1000    156264  288.00   89.00    0.00    0.00  377.00     6  java
12:03:16 AM  1000    156264  287.00   88.00    0.00    0.00  375.00     6  java
12:03:17 AM  1000    156264  279.00   94.00    0.00    0.00  373.00     6  java
12:03:18 AM  1000    156264  289.00   87.00    0.00    0.00  376.00     6  java
12:03:19 AM  1000    156264  283.00   92.00    0.00    0.00  375.00     6  java
12:03:20 AM  1000    156264  289.00   87.00    0.00    0.00  376.00     6  java
12:03:21 AM  1000    156264  286.00   90.00    0.00    0.00  376.00     6  java
12:03:22 AM  1000    156264  285.00   91.00    0.00    0.00  376.00     6  java
12:03:23 AM  1000    156264  283.00   93.00    0.00    0.00  376.00     6  java
12:03:24 AM  1000    156264  286.00   89.00    0.00    0.00  375.00     6  java
12:03:25 AM  1000    156264  289.00   86.00    0.00    0.00  375.00     6  java
12:03:26 AM  1000    156264  284.00   92.00    0.00    0.00  376.00     6  java
12:03:27 AM  1000    156264  288.00   88.00    0.00    0.00  376.00     6  java
12:03:28 AM  1000    156264  284.00   91.00    0.00    0.00  375.00     6  java
12:03:29 AM  1000    156264  285.00   91.00    0.00    0.00  376.00     6  java
12:03:30 AM  1000    156264  282.00   93.00    0.00    0.00  375.00     6  java
12:03:31 AM  1000    156264  281.00   96.00    0.00    0.00  377.00     6  java
12:03:32 AM  1000    156264  285.00   90.00    0.00    0.00  375.00     6  java
12:03:33 AM  1000    156264  283.00   92.00    0.00    0.00  375.00     6  java
12:03:34 AM  1000    156264  276.00   99.00    0.00    0.00  375.00     6  java
12:03:35 AM  1000    156264  287.00   89.00    0.00    0.00  376.00     6  java
