Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/28/2026 	_x86_64_	(64 CPU)

01:42:08 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:42:09 AM  1000    217299  318.00    9.00    0.00    0.00  327.00     2  java
01:42:10 AM  1000    217299  304.00    5.00    0.00    0.00  309.00     2  java
01:42:11 AM  1000    217299  319.00    5.00    0.00    0.00  324.00     2  java
01:42:12 AM  1000    217299  290.00    4.00    0.00    0.00  294.00     2  java
01:42:13 AM  1000    217299  136.00    1.00    0.00    0.00  137.00     2  java
01:42:14 AM  1000    217299    0.00    0.00    0.00    0.00    0.00     2  java
01:42:15 AM  1000    217299    0.00    0.00    0.00    0.00    0.00     2  java
01:42:16 AM  1000    217299    0.00    0.00    0.00    0.00    0.00     2  java
01:42:17 AM  1000    217299    1.00    0.00    0.00    0.00    1.00     2  java
01:42:18 AM  1000    217299  218.00   18.00    0.00    0.00  236.00     2  java
01:42:19 AM  1000    217299  367.00   29.00    0.00    0.00  396.00     2  java
01:42:20 AM  1000    217299  360.00   34.00    0.00    0.00  394.00     2  java
01:42:21 AM  1000    217299  356.00   40.00    0.00    0.00  396.00     2  java
01:42:22 AM  1000    217299  372.00   22.00    0.00    0.00  394.00     2  java
01:42:23 AM  1000    217299  352.00   43.00    0.00    0.00  395.00     2  java
01:42:24 AM  1000    217299  360.00   34.00    0.00    0.00  394.00     2  java
01:42:25 AM  1000    217299  364.00   30.00    0.00    0.00  394.00     2  java
01:42:26 AM  1000    217299  362.00   31.00    0.00    0.00  393.00     2  java
01:42:27 AM  1000    217299  325.00   69.00    0.00    0.00  394.00     2  java
01:42:28 AM  1000    217299  330.00   65.00    0.00    0.00  395.00     2  java
01:42:29 AM  1000    217299  330.00   64.00    0.00    0.00  394.00     2  java
01:42:30 AM  1000    217299  321.00   72.00    0.00    0.00  393.00     2  java
01:42:31 AM  1000    217299  309.00   86.00    0.00    0.00  395.00     2  java
01:42:32 AM  1000    217299  345.00   48.00    0.00    0.00  393.00     2  java
01:42:33 AM  1000    217299  350.00   42.00    0.00    0.00  392.00     2  java
01:42:34 AM  1000    217299  358.00   34.00    0.00    0.00  392.00     2  java
01:42:35 AM  1000    217299  360.00   31.00    0.00    0.00  391.00     2  java
01:42:36 AM  1000    217299  354.00   39.00    0.00    0.00  393.00     2  java
01:42:37 AM  1000    217299  354.00   38.00    0.00    0.00  392.00     2  java
01:42:38 AM  1000    217299  340.00   51.00    0.00    0.00  391.00     2  java
01:42:39 AM  1000    217299  340.00   52.00    0.00    0.00  392.00     2  java
01:42:40 AM  1000    217299  330.00   62.00    0.00    0.00  392.00     2  java
01:42:41 AM  1000    217299  285.00  108.00    0.00    0.00  393.00     2  java
01:42:42 AM  1000    217299  308.00   85.00    0.00    0.00  393.00     2  java
01:42:43 AM  1000    217299  338.00   51.00    0.00    0.00  389.00     2  java
01:42:44 AM  1000    217299  336.00   55.00    0.00    0.00  391.00     2  java
01:42:45 AM  1000    217299  341.00   49.00    0.00    0.00  390.00     2  java
01:42:46 AM  1000    217299  297.00   95.00    0.00    0.00  392.00     2  java
01:42:47 AM  1000    217299  287.00  104.00    0.00    0.00  391.00     2  java
01:42:48 AM  1000    217299  291.00  101.00    0.00    0.00  392.00     2  java
01:42:49 AM  1000    217299  333.00   54.00    0.00    0.00  387.00     2  java
01:42:50 AM  1000    217299  326.00   64.00    0.00    0.00  390.00     2  java
01:42:51 AM  1000    217299  308.00   80.00    0.00    0.00  388.00     2  java
01:42:52 AM  1000    217299  323.00   66.00    0.00    0.00  389.00     2  java
01:42:53 AM  1000    217299  336.00   52.00    0.00    0.00  388.00     2  java
01:42:54 AM  1000    217299  337.00   51.00    0.00    0.00  388.00     2  java
