Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/28/2026 	_x86_64_	(64 CPU)

06:01:28 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:01:29 AM  1000    390266  274.00    6.00    0.00    0.00  280.00     4  java
06:01:30 AM  1000    390266  303.00    5.00    0.00    0.00  308.00     4  java
06:01:31 AM  1000    390266  309.00    8.00    0.00    0.00  317.00     4  java
06:01:32 AM  1000    390266  289.00    5.00    0.00    0.00  294.00     4  java
06:01:33 AM  1000    390266  217.00    2.00    0.00    0.00  219.00     4  java
06:01:34 AM  1000    390266  314.00    4.00    0.00    0.00  318.00     4  java
06:01:35 AM  1000    390266  272.00    2.00    0.00    0.00  274.00     4  java
06:01:36 AM  1000    390266   50.00    0.00    0.00    0.00   50.00     4  java
06:01:37 AM  1000    390266    1.00    0.00    0.00    0.00    1.00     4  java
06:01:38 AM  1000    390266    0.00    0.00    0.00    0.00    0.00     4  java
06:01:39 AM  1000    390266  243.00   15.00    0.00    0.00  258.00     4  java
06:01:40 AM  1000    390266  378.00   17.00    0.00    0.00  395.00     4  java
06:01:41 AM  1000    390266  384.00   12.00    0.00    0.00  396.00     4  java
06:01:42 AM  1000    390266  377.00   18.00    0.00    0.00  395.00     4  java
06:01:43 AM  1000    390266  374.00   22.00    0.00    0.00  396.00     4  java
06:01:44 AM  1000    390266  377.00   17.00    0.00    0.00  394.00     4  java
06:01:45 AM  1000    390266  365.00   31.00    0.00    0.00  396.00     4  java
06:01:46 AM  1000    390266  373.00   22.00    0.00    0.00  395.00     4  java
06:01:47 AM  1000    390266  370.00   24.00    0.00    0.00  394.00     4  java
06:01:48 AM  1000    390266  337.00   59.00    0.00    0.00  396.00     4  java
06:01:49 AM  1000    390266  360.00   34.00    0.00    0.00  394.00     4  java
06:01:50 AM  1000    390266  342.00   53.00    0.00    0.00  395.00     4  java
06:01:51 AM  1000    390266  360.00   33.00    0.00    0.00  393.00     4  java
06:01:52 AM  1000    390266  338.00   56.00    0.00    0.00  394.00     4  java
06:01:53 AM  1000    390266  324.00   68.00    0.00    0.00  392.00     4  java
06:01:54 AM  1000    390266  321.00   72.00    0.00    0.00  393.00     4  java
06:01:55 AM  1000    390266  328.00   65.00    0.00    0.00  393.00     4  java
06:01:56 AM  1000    390266  311.00   80.00    0.00    0.00  391.00     4  java
06:01:57 AM  1000    390266  341.00   53.00    0.00    0.00  394.00     4  java
