Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/28/2026 	_x86_64_	(64 CPU)

05:36:30 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:36:31 AM  1000    372068  317.00    9.00    0.00    0.00  326.00     2  java
05:36:32 AM  1000    372068  305.00    5.00    0.00    0.00  310.00     2  java
05:36:33 AM  1000    372068  314.00    7.00    0.00    0.00  321.00     2  java
05:36:34 AM  1000    372068  316.00    5.00    0.00    0.00  321.00     2  java
05:36:35 AM  1000    372068  283.00    4.00    0.00    0.00  287.00     2  java
05:36:36 AM  1000    372068  178.00    0.00    0.00    0.00  178.00     2  java
05:36:37 AM  1000    372068    0.00    0.00    0.00    0.00    0.00     2  java
05:36:38 AM  1000    372068    0.00    0.00    0.00    0.00    0.00     2  java
05:36:39 AM  1000    372068    0.00    0.00    0.00    0.00    0.00     2  java
05:36:40 AM  1000    372068  156.00    7.00    0.00    0.00  163.00     2  java
05:36:41 AM  1000    372068  387.00    8.00    0.00    0.00  395.00     2  java
05:36:42 AM  1000    372068  382.00   11.00    0.00    0.00  393.00     2  java
05:36:43 AM  1000    372068  377.00   17.00    0.00    0.00  394.00     2  java
05:36:44 AM  1000    372068  369.00   23.00    0.00    0.00  392.00     2  java
05:36:45 AM  1000    372068  369.00   21.00    0.00    0.00  390.00     2  java
05:36:46 AM  1000    372068  364.00   26.00    0.00    0.00  390.00     2  java
05:36:47 AM  1000    372068  361.00   28.00    0.00    0.00  389.00     2  java
05:36:48 AM  1000    372068  367.00   25.00    0.00    0.00  392.00     2  java
05:36:49 AM  1000    372068  359.00   30.00    0.00    0.00  389.00     2  java
05:36:50 AM  1000    372068  367.00   23.00    0.00    0.00  390.00     2  java
05:36:51 AM  1000    372068  362.00   29.00    0.00    0.00  391.00     2  java
05:36:52 AM  1000    372068  356.00   32.00    0.00    0.00  388.00     2  java
05:36:53 AM  1000    372068  360.00   29.00    0.00    0.00  389.00     2  java
05:36:54 AM  1000    372068  357.00   33.00    0.00    0.00  390.00     2  java
05:36:55 AM  1000    372068  348.00   39.00    0.00    0.00  387.00     2  java
05:36:56 AM  1000    372068  345.00   40.00    0.00    0.00  385.00     2  java
05:36:57 AM  1000    372068  339.00   45.00    0.00    0.00  384.00     2  java
05:36:58 AM  1000    372068  324.00   56.00    0.00    0.00  380.00     2  java
05:36:59 AM  1000    372068  314.00   65.00    0.00    0.00  379.00     2  java
05:37:00 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:37:01 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:37:02 AM  1000    372068  310.00   67.00    0.00    0.00  377.00     2  java
05:37:03 AM  1000    372068  302.00   75.00    0.00    0.00  377.00     2  java
05:37:04 AM  1000    372068  308.00   70.00    0.00    0.00  378.00     2  java
05:37:05 AM  1000    372068  302.00   74.00    0.00    0.00  376.00     2  java
05:37:06 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:37:07 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:37:08 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:37:09 AM  1000    372068  303.00   75.00    0.00    0.00  378.00     2  java
05:37:10 AM  1000    372068  310.00   66.00    0.00    0.00  376.00     2  java
05:37:11 AM  1000    372068  310.00   67.00    0.00    0.00  377.00     2  java
05:37:12 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:37:13 AM  1000    372068  310.00   67.00    0.00    0.00  377.00     2  java
05:37:14 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:37:15 AM  1000    372068  309.00   68.00    0.00    0.00  377.00     2  java
05:37:16 AM  1000    372068  303.00   73.00    0.00    0.00  376.00     2  java
05:37:17 AM  1000    372068  308.00   69.00    0.00    0.00  377.00     2  java
05:37:18 AM  1000    372068  305.00   71.00    0.00    0.00  376.00     2  java
05:37:19 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:37:20 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:37:21 AM  1000    372068  303.00   73.00    0.00    0.00  376.00     2  java
05:37:22 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:37:23 AM  1000    372068  301.00   76.00    0.00    0.00  377.00     2  java
05:37:24 AM  1000    372068  305.00   71.00    0.00    0.00  376.00     2  java
05:37:25 AM  1000    372068  302.00   75.00    0.00    0.00  377.00     2  java
05:37:26 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:37:27 AM  1000    372068  306.00   72.00    0.00    0.00  378.00     2  java
05:37:28 AM  1000    372068  307.00   69.00    0.00    0.00  376.00     2  java
05:37:29 AM  1000    372068  304.00   69.00    0.00    0.00  373.00     2  java
05:37:30 AM  1000    372068  303.00   74.00    0.00    0.00  377.00     2  java
05:37:31 AM  1000    372068  306.00   70.00    0.00    0.00  376.00     2  java
05:37:32 AM  1000    372068  305.00   70.00    0.00    0.00  375.00     2  java
05:37:33 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:37:34 AM  1000    372068  303.00   73.00    0.00    0.00  376.00     2  java
05:37:35 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:37:36 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:37:37 AM  1000    372068  303.00   74.00    0.00    0.00  377.00     2  java
05:37:38 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:37:39 AM  1000    372068  302.00   73.00    0.00    0.00  375.00     2  java
05:37:40 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:37:41 AM  1000    372068  307.00   69.00    0.00    0.00  376.00     2  java
05:37:42 AM  1000    372068  307.00   71.00    0.00    0.00  378.00     2  java
05:37:43 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:37:44 AM  1000    372068  301.00   76.00    0.00    0.00  377.00     2  java
05:37:45 AM  1000    372068  303.00   74.00    0.00    0.00  377.00     2  java
05:37:46 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:37:47 AM  1000    372068  309.00   67.00    0.00    0.00  376.00     2  java
05:37:48 AM  1000    372068  301.00   74.00    0.00    0.00  375.00     2  java
05:37:49 AM  1000    372068  309.00   68.00    0.00    0.00  377.00     2  java
05:37:50 AM  1000    372068  311.00   67.00    0.00    0.00  378.00     2  java
05:37:51 AM  1000    372068  303.00   73.00    0.00    0.00  376.00     2  java
05:37:52 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:37:53 AM  1000    372068  302.00   75.00    0.00    0.00  377.00     2  java
05:37:54 AM  1000    372068  301.00   76.00    0.00    0.00  377.00     2  java
05:37:55 AM  1000    372068  302.00   75.00    0.00    0.00  377.00     2  java
05:37:56 AM  1000    372068  303.00   73.00    0.00    0.00  376.00     2  java
05:37:57 AM  1000    372068  304.00   74.00    0.00    0.00  378.00     2  java
05:37:58 AM  1000    372068  303.00   70.00    0.00    0.00  373.00     2  java
05:37:59 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:38:00 AM  1000    372068  299.00   78.00    0.00    0.00  377.00     2  java
05:38:01 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:38:02 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:38:03 AM  1000    372068  303.00   74.00    0.00    0.00  377.00     2  java
05:38:04 AM  1000    372068  304.00   71.00    0.00    0.00  375.00     2  java
05:38:05 AM  1000    372068  306.00   72.00    0.00    0.00  378.00     2  java
05:38:06 AM  1000    372068  302.00   74.00    0.00    0.00  376.00     2  java
05:38:07 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:38:08 AM  1000    372068  304.00   72.00    0.00    0.00  376.00     2  java
05:38:09 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:38:10 AM  1000    372068  303.00   75.00    0.00    0.00  378.00     2  java
05:38:11 AM  1000    372068  304.00   72.00    0.00    0.00  376.00     2  java
05:38:12 AM  1000    372068  311.00   67.00    0.00    0.00  378.00     2  java
05:38:13 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:38:14 AM  1000    372068  308.00   68.00    0.00    0.00  376.00     2  java
05:38:15 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:38:16 AM  1000    372068  307.00   69.00    0.00    0.00  376.00     2  java
05:38:17 AM  1000    372068  304.00   72.00    0.00    0.00  376.00     2  java
05:38:18 AM  1000    372068  300.00   77.00    0.00    0.00  377.00     2  java
05:38:19 AM  1000    372068  308.00   69.00    0.00    0.00  377.00     2  java
05:38:20 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:38:21 AM  1000    372068  304.00   72.00    0.00    0.00  376.00     2  java
05:38:22 AM  1000    372068  305.00   72.00    0.00    0.00  377.00     2  java
05:38:23 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:38:24 AM  1000    372068  303.00   73.00    0.00    0.00  376.00     2  java
05:38:25 AM  1000    372068  302.00   72.00    0.00    0.00  374.00     2  java
05:38:26 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:38:27 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:38:28 AM  1000    372068  300.00   77.00    0.00    0.00  377.00     2  java
05:38:29 AM  1000    372068  306.00   71.00    0.00    0.00  377.00     2  java
05:38:30 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:38:31 AM  1000    372068  307.00   70.00    0.00    0.00  377.00     2  java
05:38:32 AM  1000    372068  310.00   68.00    0.00    0.00  378.00     2  java
05:38:33 AM  1000    372068  300.00   75.00    0.00    0.00  375.00     2  java
05:38:34 AM  1000    372068  304.00   73.00    0.00    0.00  377.00     2  java
05:38:35 AM  1000    372068  303.00   74.00    0.00    0.00  377.00     2  java
05:38:36 AM  1000    372068  302.00   75.00    0.00    0.00  377.00     2  java
