Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/28/2026 	_x86_64_	(64 CPU)

06:50:56 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:50:57 AM 100998    404905    0.00    0.00    0.00    0.00    0.00    10  postgres
06:50:57 AM 100998    404906    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    404908    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    404909    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405172    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405177    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405179    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405181    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405183    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405185    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405194    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405213    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405220    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405226    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405245    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405280    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405336    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405384    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405432    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405459    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405461    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405475    0.00    0.00    0.00    0.00    0.00    14  postgres
06:50:57 AM 100998    405476    0.00    0.00    0.00    0.00    0.00    12  postgres
06:50:57 AM 100998    405477    0.00    0.00    0.00    0.00    0.00    14  postgres
