procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   1988 390107872      0 938084    0    0     2     2    0    0  0  0 100  0  0
 1  0   1988 390047520      0 983328    0    0 45776     0 4593 6208  0  0 99  0  0
 1  0   1988 390044192      0 984344    0    0  1100  1040 8325 7859  0  1 99  0  0
 1  0   1988 390041088      0 984376    0    0    16    44 3784 3480  0  0 100  0  0
 0  0   1988 390033856      0 984400    0    0     4     4 9098 5198  0  1 99  0  0
 1  0   1988 390022368      0 998868    0    0 16028    32 6052 7820  3  0 97  0  0
 3  0   1988 389938496      0 1014836    0    0 16056   876 4821 7397  3  0 97  0  0
 0  0   1988 389895904      0 1019084    0    0  3896   128 3139 3365  2  0 98  0  0
 5  0   1988 389851712      0 1020960    0    0  2144     0 2999 8092  2  0 98  0  0
17  0   1988 389719328      0 1026368    0    0  5116    16 8873 17507  6  1 93  0  0
15  0   1988 389608128      0 1027212    0    0   524     0 11699 24287  7  1 92  0  0
22  0   1988 389523136      0 1027976    0    0   324    52 11491 30360  7  1 92  0  0
26  0   1988 389504000      0 1029204    0    0   104     4 13285 42006  8  1 91  0  0
16  0   1988 389444864      0 1029308    0    0   100     0 11861 48752  7  1 92  0  0
17  0   1988 389418528      0 1031952    0    0   180    16 14244 63316  7  2 91  0  0
20  0   1988 389379360      0 1032384    0    0   256     8 15154 65161  7  2 91  0  0
23  0   1988 389287200      0 1033852    0    0   176    12 14085 63772  7  2 92  0  0
19  0   1988 389212416      0 1037476    0    0  1024   164 15287 64429  7  2 91  0  0
27  0   1988 389205152      0 1039488    0    0    64     4 13036 67383  7  2 91  0  0
30  0   1988 389198016      0 1041668    0    0   384     8 14353 67361  7  2 91  0  0
22  0   1988 388994464      0 1050332    0    0   784     8 15023 69340  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0   1988 388951904      0 1052468    0    0     0     8 15816 70513  7  2 91  0  0
10  0   1988 388945248      0 1054880    0    0   260    12 16558 70143  7  2 91  0  0
20  0   1988 388943872      0 1058272    0    0   304    40 15362 70744  8  2 90  0  0
36  0   1988 388938112      0 1061292    0    0   824    12 15739 77839  7  2 90  0  0
22  0   1988 388784320      0 1065788    0    0    20     4 18037 79447  7  2 90  0  0
22  0   1988 388738720      0 1068852    0    0    16     0 15837 81709  7  2 91  0  0
24  0   1988 388736768      0 1071424    0    0    32 39340 17854 82207  7  2 91  0  0
22  0   1988 388735936      0 1075148    0    0    28    36 16766 82190  8  2 90  0  0
15  0   1988 388735488      0 1077996    0    0   128    48 18060 83517  8  3 90  0  0
17  0   1988 388712768      0 1088884    0    0   128     8 18468 85440  8  3 89  0  0
31  0   1988 388705216      0 1094504    0    0   432     8 18547 87761  8  3 89  0  0
14  0   1988 388703072      0 1097356    0    0    88     8 17956 88369  7  3 91  0  0
12  0   1988 388702400      0 1099708    0    0     4 40584 19199 83937  7  2 91  0  0
24  0   1988 388703712      0 1102232    0    0     0   424 16924 86492  7  2 91  0  0
22  0   1988 388697600      0 1104712    0    0     0    40 17895 91543  7  3 90  0  0
30  0   1988 388694912      0 1107144    0    0     0    12 17324 92807  7  3 91  0  0
28  0   1988 388692608      0 1110804    0    0    16     0 19480 96359  8  3 89  0  0
26  0   1988 388636288      0 1115928    0    0   272   312 20031 97501  7  3 90  0  0
24  0   1988 388635712      0 1120492    0    0     0    20 23110 107514  9  3 88  0  0
19  0   1988 388554400      0 1130952    0    0   220     8 21779 105038  7  3 90  0  0
17  0   1988 388554944      0 1133564    0    0   124    44 22164 110220  6  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0   1988 388555520      0 1136080    0    0    16   248 26365 104602  7  3 90  0  0
17  0   1988 388557824      0 1138940    0    0   164 48856 25604 112932  7  3 90  0  0
16  0   1988 388558464      0 1141128    0    0     0    12 24910 116119  7  3 89  0  0
22  0   1988 388559360      0 1146472    0    0     0     8 27322 124228  8  4 88  0  0
21  0   1988 388562976      0 1149080    0    0    68     4 29504 121479  8  4 89  0  0
19  0   1988 388493248      0 1154724    0    0   304    48 31566 138621  9  4 87  0  0
25  0   1988 388431648      0 1161048    0    0     0 35372 35489 140117  7  4 88  0  0
22  0   1988 388407680      0 1165152    0    0     0     8 33794 137930  7  4 88  0  0
23  0   1988 388409632      0 1173400    0    0    84     4 36508 139897  7  4 89  0  0
17  0   1988 388412224      0 1178372    0    0     4    16 34331 141525  8  5 87  0  0
21  0   1988 388413824      0 1185316    0    0    16     8 35980 147794  8  5 88  0  0
19  0   1988 388413824      0 1188832    0    0   464 38984 37313 148211  7  5 88  0  0
23  0   1988 388412896      0 1192428    0    0   120     8 35478 148204  7  5 89  0  0
26  0   1988 388412128      0 1197572    0    0   272     0 40270 156318  7  5 88  0  0
33  0   1988 388414688      0 1201232    0    0    80     8 42145 162523  7  5 88  0  0
19  0   1988 388422528      0 1204420    0    0   112    16 44043 154842  7  5 88  0  0
15  0   1988 388421984      0 1206908    0    0     0     4 40059 156505  7  5 89  0  0
30  0   1988 388423136      0 1210084    0    0    36  3252 36902 152494  7  5 89  0  0
20  0   1988 388421056      0 1218400    0    0    12    12 38430 155164  7  5 88  0  0
17  0   1988 388420992      0 1221568    0    0     0     0 38175 148786  7  5 89  0  0
29  0   1988 388427584      0 1224372    0    0   212     8 40594 157795  8  5 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
29  0   1988 388341568      0 1231076    0    0     0   220 40807 156089  8  5 87  0  0
38  0   1988 388339808      0 1233696    0    0     0 49168 42182 155746  7  5 88  0  0
27  0   1988 388342208      0 1238512    0    0   100    52 41604 158319  8  5 87  0  0
29  0   1988 388345408      0 1242128    0    0     0     0 40732 160898  7  5 88  0  0
22  0   1988 388346976      0 1246856    0    0     0    16 45398 160279  8  5 87  0  0
26  0   1988 388344384      0 1249240    0    0     0     0 42329 159271  6  5 89  0  0
33  0   1988 388348576      0 1252244    0    0     0  6336 44610 163152  7  5 88  0  0
27  0   1988 388349824      0 1261380    0    0    20     8 39225 153374  7  5 88  0  0
31  0   1988 388350432      0 1264464    0    0    80    12 45092 164589  7  6 87  0  0
25  0   1988 388351712      0 1270760    0    0   144     0 45553 165457  8  6 87  0  0
20  0   1988 388357056      0 1273848    0    0    16     4 47622 168538  7  6 88  0  0
17  0   1988 388359744      0 1276348    0    0    84 48616 44686 169441  6  5 88  0  0
41  0   1988 388364576      0 1279460    0    0     0     8 22920 187085  7  5 88  0  0
