procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   1988 390076768      0 966488    0    0     2     2    0    0  0  0 100  0  0
 0  2   1988 390003776      0 1015676    0    0 49368 10852 6774 7533  2  0 97  0  0
 0  0   1988 389986112      0 1016684    0    0  1168 51684 9916 7208  0  1 99  0  0
 1  0   1988 389978144      0 1016768    0    0    68     0 3042 3025  0  0 100  0  0
 0  0   1988 389961216      0 1016892    0    0   132    16 9824 5488  0  1 99  0  0
 4  0   1988 389874400      0 1042508    0    0 25356    32 6445 7833  3  0 96  0  0
 1  0   1988 389837632      0 1063848    0    0 21744     4 5522 7934  2  0 97  0  0
 0  0   1988 389785952      0 1069248    0    0  4728  3164 3882 4595  2  0 98  0  0
 3  0   1988 389763520      0 1070608    0    0  1492     4 2541 6752  1  0 98  0  0
17  0   1988 389667584      0 1077144    0    0  6080    12 8924 23454  6  1 93  0  0
20  0   1988 389571840      0 1077608    0    0   304   584 11310 27681  7  1 92  0  0
15  0   1988 389441440      0 1078512    0    0   492    48 13495 39940  7  1 92  0  0
14  0   1988 389380864      0 1079824    0    0    24     4 16650 56624  8  2 90  0  0
26  0   1988 389329504      0 1081372    0    0   112     0 17673 73174  7  2 91  0  0
20  0   1988 389279616      0 1084028    0    0   792    16 18492 81815  7  2 91  0  0
18  0   1988 389218432      0 1085520    0    0   128     8 17924 83088  7  3 90  0  0
19  0   1988 389214336      0 1086036    0    0    12    12 16903 82770  7  2 91  0  0
28  0   1988 389210144      0 1090296    0    0   328    88 16388 86594  7  2 91  0  0
17  0   1988 389201536      0 1092572    0    0    72    12 16781 82244  7  3 91  0  0
29  0   1988 389142784      0 1093584    0    0   216     8 18224 87076  7  3 90  0  0
31  0   1988 388879744      0 1106664    0    0   552   128 22654 91926  8  3 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0   1988 388878208      0 1110772    0    0   712    16 22707 96230  7  3 90  0  0
21  0   1988 388874912      0 1112492    0    0   196     4 21662 94335  7  3 90  0  0
27  0   1988 388869696      0 1113696    0    0   160    40 19288 92304  7  3 90  0  0
19  0   1988 388860480      0 1117388    0    0   200     4 18959 94858  7  3 90  0  0
36  0   1988 388860000      0 1123640    0    0     0   472 19700 96455  7  3 90  0  0
25  0   1988 388854304      0 1127248    0    0     0   252 20741 93719  7  3 90  0  0
27  0   1988 388857536      0 1127452    0    0   228     8 22218 94433  7  3 90  0  0
33  0   1988 388848832      0 1130148    0    0   112    56 19947 97278  7  3 90  0  0
21  0   1988 388824704      0 1134424    0    0   152 48040 20688 99457  7  3 89  0  0
26  0   1988 388814144      0 1144648    0    0     0   140 21300 102618  7  3 90  0  0
26  0   1988 388817024      0 1145752    0    0   664     0 23623 103822  7  3 90  0  0
29  0   1988 388621984      0 1151864    0    0    32     8 26257 100980  9  3 88  0  0
29  0   1988 388616960      0 1154728    0    0     0     8 20314 102224  7  3 90  0  0
24  0   1988 388616160      0 1159296    0    0     0 35652 25978 105624  8  3 89  0  0
22  0   1988 388615936      0 1151236    0    0  1144    40 24480 107033  7  3 90  0  0
22  0   1988 388617280      0 1151848    0    0   260     4 22910 103381  7  3 89  0  0
28  0   1988 388622208      0 1155248    0    0    80     8 22690 107338  7  3 90  0  0
16  0   1988 388615168      0 1159284    0    0   164   316 23026 108993  8  3 89  0  0
27  0   1988 388603168      0 1163480    0    0   356    12 26750 101128  8  3 89  0  0
25  0   1988 388605280      0 1171976    0    0     0   140 25105 108651  7  3 90  0  0
