procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   1980 390250912      0 986612    0    0     2     2    0    0  0  0 100  0  0
 0  0   1980 390194496      0 1036156    0    0 49788   920 6695 7947  2  0 98  0  0
 0  0   1980 390184128      0 1036912    0    0   836     0 8089 6207  0  1 99  0  0
 1  0   1980 390177216      0 1037120    0    0   192   128 3754 3321  0  0 100  0  0
 0  0   1980 390159296      0 1037140    0    0    12    12 9411 5474  0  1 99  0  0
 1  0   1980 390065920      0 1061004    0    0 25616    32 5498 7221  3  0 97  0  0
 1  1   1980 390027936      0 1077324    0    0 16644     4 4803 7588  3  0 97  0  0
 0  0   1980 389941824      0 1082168    0    0  4744   900 3702 4541  2  0 98  0  0
 1  0   1980 389914304      0 1084036    0    0  1820     4 3894 6275  2  0 98  0  0
11  0   1980 389821952      0 1090444    0    0  6004    12 9301 15966  6  0 94  0  0
11  0   1980 389746848      0 1090968    0    0   432     4 11455 26964  7  1 92  0  0
11  0   1980 389583424      0 1092704    0    0   952    44 13434 44830  8  1 91  0  0
 7  0   1980 389496992      0 1094024    0    0   188     4 19490 72897  9  1 90  0  0
 9  0   1980 389412448      0 1094372    0    0   264   476 22495 77067  9  1 90  0  0
 8  0   1980 389281536      0 1096844    0    0    48     8 26527 85731  9  1 90  0  0
13  0   1980 389242720      0 1099756    0    0    64    12 19307 87991  9  1 90  0  0
13  0   1980 389105568      0 1104920    0    0   708 40020 20925 90597 10  1 89  0  0
13  0   1980 389034848      0 1109512    0    0   128    76 21444 83841  9  1 89  0  0
14  0   1980 389036832      0 1113568    0    0   132   148 24090 102356 10  2 89  0  0
11  0   1980 389032992      0 1117392    0    0   388     8 22830 102244  9  2 89  0  0
13  0   1980 388967392      0 1129708    0    0   196     8 27688 111583 11  2 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0   1980 388932512      0 1138012    0    0  4788  8572 33328 130744 10  3 87  0  0
12  0   1980 388788608      0 1142416    0    0   140    12 35775 137220 10  3 87  0  0
13  0   1980 388660480      0 1146808    0    0   704   164 39775 140886 11  3 87  0  0
 9  0   1980 388495808      0 1152876    0    0   364     4 43862 148152 11  3 87  0  0
15  0   1980 388360864      0 1153712    0    0     0     0 47310 164649 11  3 86  0  0
17  0   1980 388103872      0 1159388    0    0   192 48288 55944 213694 11  4 85  0  0
14  0   1980 387935008      0 1076812    0    0    80     8 72071 252353 11  4 85  0  0
10  0  73916 387924064      0 1022664 5908 18224 14404 18280 79140 230806 10  4 86  0  0
21  0 106940 387919808      0 1008088 10108 56228 26420 74000 63725 267563 10  4 85  1  0
14  0 215228 387915104      0 1015228 6912 122324 19228 122324 68866 270640 10  5 85  0  0
 8  5 334012 387904960      0 1010756 30648 119940 40536 119940 101527 264766  9  5 85  1  0
12  4 539836 387902048      0 1008796 39496 215040 41372 215040 111542 277837  8  5 86  2  0
11  2 770492 387892256      0 1010924 43716 248008 46728 248008 113778 282067  7  5 85  2  0
 9  3 890044 387889664      0 1008780 68720 130600 69316 133364 94289 293465  7  5 86  3  0
 9  3 1110460 387893760      0 1005304 40052 229128 40920 229216 104891 290509  7  5 86  3  0
10  3 1290428 387885696      0 1007960 35812 216964 42160 216964 100755 286745  7  5 86  2  0
13  4 1388988 387886112      0 1009704 45400 148192 46856 148192 87474 266524  8  5 85  2  0
11  4 1409724 387885184      0 1011220 114760 120920 115936 120920 93844 299895  7  5 85  3  0
10  3 1542076 387880032      0 1011304 80796 200608 81744 200608 90300 276703  7  5 85  3  0
 7  3 1687228 387878400      0 1011680 53588 187488 54932 188184 88851 280978  7  5 86  3  0
11  3 1825724 387876128      0 1013088 67908 200504 68884 200504 96450 293234  7  5 86  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  3 1921980 387878976      0 1008344 80508 168352 80948 168352 92378 290223  7  5 85  3  0
10  6 2003620 387877536      0 1009316 102136 168276 102780 168276 92221 293042  7  5 85  3  0
10  6 2082236 387873632      0 1010880 100208 159848 100948 159848 88723 282593  7  5 85  3  0
11  0 145852 388910528      0 1005336 65588 156444 68048 157232 77256 287127  6  5 86  2  0
13  0 145852 388908512      0 1005596   80    0   336     0 48284 238559  6  3 90  0  0
 7  0 145852 388916544      0 1005604   60    0    60   264 55734 280122  6  4 89  0  0
 7  0 142524 388919488      0 1006080 8336    0  8684   384 63190 294888  6  4 89  0  0
 7  0 142268 388922848      0 1006164  292    0   372     0 59615 290156  6  4 90  0  0
 9  0 141756 388920320      0 1006740 3340    0  3908  1744 57694 286428  6  4 90  0  0
 7  0 137660 388928608      0 1011968 11912    0 17164    24 60360 288490  6  4 89  0  0
 9  0 134844 388933184      0 1012160 1192    0  1192     0 63435 296184  6  4 90  0  0
 7  0 133052 388938784      0 1012612 3876    0  4324   128 60577 287425  6  4 89  0  0
 9  0 133052 388940064      0 1012620   12    0    12     0 54277 274674  6  4 90  0  0
 8  0 133052 388942976      0 1013504  284    0  1160     0 61783 292302  6  4 90  0  0
 9  0 133052 388939648      0 1013508    0    0     0     0 58037 280843  6  4 89  0  0
 9  0 133052 388938880      0 1013516   64    0    64    32 53384 270604  6  4 90  0  0
 8  0 130236 388938528      0 1013632 3804    0  3804     8 56918 282529  6  4 89  0  0
 6  0 130236 388933632      0 1013648   16    0    20     0 53591 278451  6  4 90  0  0
 9  0 130236 388934944      0 1013852   20    0    68     0 59123 287910  6  4 90  0  0
 7  0 130236 388941056      0 1013860    4    0     4     0 57279 289964  6  4 90  0  0
 9  0 130236 388942272      0 1013868   60    0    60     8 60552 291770  6  4 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 130236 388943040      0 1013876    0    0     0   140 57087 283766  6  4 90  0  0
 9  0 130236 388944512      0 1013876   12    0    12     0 56164 280368  6  4 90  0  0
 8  0 130236 388949600      0 1014008   80    0   208     4 57036 285535  6  4 90  0  0
10  0 129212 388952352      0 1014016  928    0   928     0 58983 277120  6  4 90  0  0
 8  0 129212 388949792      0 1014024   20    0    20     0 55195 277023  6  4 89  0  0
 8  0 126652 388954016      0 1014144 3348    0  3348     0 58805 285404  7  4 89  0  0
 7  0 126652 388962336      0 1014148    0    0     0    20 58758 288190  6  4 90  0  0
12  0 126652 388963808      0 1014156    4    0     8     0 58484 290004  6  4 90  0  0
 8  0 126140 388962624      0 1015388 1036    0  2256     0 61178 295938  6  4 89  0  0
 8  0 126140 388964288      0 1015392    4    0     4     0 56798 283888  6  4 90  0  0
 7  0 126140 388964000      0 1015372   32    0    32   124 56505 281873  6  4 89  0  0
 9  0 126140 388960608      0 1015376   28    0    28     0 51807 272201  6  4 89  0  0
15  0 126140 388960416      0 1015388   12    0    12    20 55120 277959  6  4 89  0  0
 8  0 126140 388966144      0 1015392    0    0     0    52 57648 284283  6  4 90  0  0
 7  0 126140 388971584      0 1015400    8    0     8   456 58857 287269  6  4 90  0  0
 6  0 122812 388975968      0 1015404 3816    0  3816    20 57442 283745  6  4 89  0  0
 7  0 122812 388972384      0 1015412   36    0    36     0 58380 289197  6  4 90  0  0
12  0 122812 388978080      0 1015424   24    0    24     0 58499 285749  6  4 90  0  0
10  0 122300 388979072      0 1015428  236    0   236    24 59768 288302  6  4 90  0  0
 8  0 122300 388980224      0 1015436    4    0     4     0 52001 268743  6  4 89  0  0
 7  0 121532 388981696      0 1015524 1388    0  1468   128 57128 281280  6  4 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 121532 388981856      0 1015712   16    0    80     0 55351 281360  6  4 89  0  0
 9  0 121532 388975616      0 1015720    4    0     4     0 58273 287435  6  4 90  0  0
 6  0 121532 388978816      0 1015720   80    0    80     8 56914 285739  6  4 89  0  0
 7  0 121532 388977216      0 1015728    0    0     0    16 54946 281608  6  4 90  0  0
 7  0 118972 388977856      0 1015844 2980    0  2980     8 57774 282766  7  4 89  0  0
10  0 118972 388988512      0 1015856   12    0    12     0 57672 286484  6  4 90  0  0
 7  0 118972 388991648      0 1015860  132    0   132     0 57625 285959  6  4 90  0  0
 8  0 118972 388993376      0 1015872   36    0    36     0 57123 286023  6  4 90  0  0
 8  0 118716 388987360      0 1015956 14980    0 15060     0 61819 293173  6  4 89  0  0
 7  0 118716 388984832      0 1015964   72    0    72   148 61099 291083  6  4 89  0  0
 7  0 118716 388991232      0 1015968   84    0    84     0 61338 292425  6  4 90  0  0
 7  0 117948 388993696      0 1015976  468    0   468     0 57303 287056  6  4 90  0  0
 8  0 116924 388993728      0 1015984 1036    0  1036     0 57914 285692  6  4 90  0  0
10  0 116924 388995904      0 1015988   92    0    92     0 60710 297052  6  4 90  0  0
 8  0 114364 389004640      0 1016564 2804    0  2868     0 60375 286588  7  4 89  0  0
 7  0 114108 389008448      0 1016580  188    0   188    24 57019 281664  6  4 90  0  0
13  0 114108 389007200      0 1016588  144    0   148     0 56658 278755  6  4 90  0  0
 7  0 114108 389005024      0 1016596  208    0   208     0 57316 283944  6  4 90  0  0
11  0 113596 389012000      0 1016604  132    0   132     0 58786 286532  6  4 89  0  0
 7  0 113596 389011872      0 1016612  104    0   104   600 59205 289289  6  4 89  0  0
10  0 113340 389014656      0 1016616  148    0   148     8 60030 292333  6  4 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 113340 389012640      0 1016708  156    0   156    12 59439 290503  6  4 90  0  0
 7  0 113340 389013056      0 1016712   84    0    84    24 57183 283861  6  4 89  0  0
 9  0 113340 389010976      0 1016724  104    0   104   272 53485 277982  6  4 89  0  0
10  0 110268 389020608      0 1016844 2920    0  2920    92 60760 292084  7  4 89  0  0
 7  0 110012 389018112      0 1016852  144    0   144     0 56556 285742  6  4 90  0  0
 8  0 110012 389024256      0 1016996  212    0   360     8 56264 283572  6  4 90  0  0
 5  0 109500 389026432      0 1017024  220    0   240    16 61192 293055  6  4 90  0  0
 7  0 108988 389022272      0 1017032  724    0   724     0 54520 276922  6  4 90  0  0
 9  0 107708 389028032      0 1017036 1388    0  1388   124 60151 293768  6  4 89  0  0
 9  0 107708 389027872      0 1017044  168    0   168     0 56859 283043  6  4 90  0  0
 9  0 107196 389033440      0 1024304 5212    0 12464     4 57887 281695  6  4 89  0  0
 8  0 107196 389035872      0 1024312  172    0   172     0 58374 285733  6  4 90  0  0
 8  0 106940 389037728      0 1024320  200    0   200    24 57226 284612  6  4 90  0  0
 8  0 104380 389038752      0 1024300 2616    0  2616     8 57803 286120  6  4 89  0  0
11  0 104124 389043072      0 1024308  160    0   160     0 53353 271928  6  4 89  0  0
 8  0 103868 389051968      0 1024312  196    0   196     0 58888 287294  6  4 90  0  0
 7  0 103868 389038592      0 1024320  136    0   136     0 49567 253566  6  4 90  0  0
 8  0 103612 389039872      0 1024324  188    0   188     0 61567 297032  6  4 89  0  0
 9  0 103356 389038048      0 1024336  172    0   172   140 61210 294075  6  4 90  0  0
 8  0 103356 389046944      0 1024340   44    0    44     0 62075 295291  6  4 90  0  0
 8  0 103356 389043072      0 1024348   68    0    68     4 55080 280123  6  4 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0 103100 389041984      0 1024356  124    0   124     0 57367 285246  6  4 89  0  0
 9  0 103100 389040000      0 1024444   76    0    76     0 60537 291207  6  4 89  0  0
 8  0 100284 389039936      0 1024568 2880    0  2880     8 61607 293922  7  4 89  0  0
10  0 100284 389034304      0 1024572   80    0    80    20 56149 280341  6  4 89  0  0
 9  0 100284 389049280      0 1024580  128    0   128     0 59393 283607  6  4 89  0  0
 7  0 100284 389051904      0 1024588  112    0   112     0 59914 290795  6  4 90  0  0
 8  0 100028 389049664      0 1024596  160    0   160     0 60487 296713  6  4 90  0  0
 8  0 100028 389056032      0 1024600   68    0    68   128 60165 291007  6  4 89  0  0
 0  0  99772 389054624      0 1024972  136    0   172     0 50562 241680  6  4 91  0  0
 0  0  99260 389188512      0 1024720  164    0   236   108 1277 1889  0  0 100  0  0
 0  0  99260 389188384      0 1024728  192    0   192     0  961 1516  0  0 100  0  0
 0  0  99260 389188640      0 1024736  112    0   112    12  743 1197  0  0 100  0  0
 0  0  97724 389189120      0 1024740 1228    0  1228    52 1491 1868  0  0 100  0  0
 0  0  97468 389189120      0 1024752  144    0   144   240  623 1197  0  0 100  0  0
 0  0  97468 389189376      0 1024756  112    0   112     4  753 1447  0  0 100  0  0
 0  0  97468 389189120      0 1024764  180    0   180    24  776 1503  0  0 100  0  0
 0  0  97212 389189376      0 1024772  148    0   148     0  618 1196  0  0 100  0  0
 0  0  96956 389189120      0 1024776  284    0   284   124  783 1424  0  0 100  0  0
 0  0  96700 389189376      0 1024784  140    0   140     0  699 1394  0  0 100  0  0
 0  0  96700 389189376      0 1024792  184    0   184     0  639 1274  0  0 100  0  0
 0  0  96700 389189376      0 1024800  136    0   136     4  597 1206  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  96700 389189376      0 1024808  132    0   132    16  619 1201  0  0 100  0  0
 0  0  95932 389189472      0 1025016 13388    0 13388     8 3273 4658  0  0 99  1  0
 0  0  95932 389189728      0 1025084   52    0   116     0  569 1155  0  0 100  0  0
 0  0  95676 389189728      0 1025092  164    0   164     0  638 1231  0  0 100  0  0
 0  0  95676 389190240      0 1025104  144    0   144     0  544 1113  0  0 100  0  0
 0  0  95420 389190240      0 1025076  120    0   120     8  690 1278  0  0 100  0  0
 0  0  95420 389189984      0 1025084    8    0     8   148  601 1182  0  0 100  0  0
 0  0  95420 389189984      0 1025092    0    0     0     0  550 1160  0  0 100  0  0
 0  0  95164 389189728      0 1025104 5788    0  5788     0 1713 3026  0  0 100  0  0
 0  0  94908 389189984      0 1025108   80    0    80     0  799 1502  0  0 100  0  0
 0  0  94908 389189984      0 1025108    0    0     0     0  547 1103  0  0 100  0  0
 0  0  94652 389189568      0 1025684   88    0    88     0 1673 1852  1  0 99  0  0
 0  0  94652 389190464      0 1025704    0    0     0    24  580 1177  0  0 100  0  0
 0  0  92860 389190208      0 1025680    0    0     0     0  648 1304  0  0 100  0  0
 0  0  92860 389190464      0 1025684    0    0     0     4  611 1209  0  0 100  0  0
 0  0  92860 389190464      0 1025692    4    0     4     0  692 1298  0  0 100  0  0
