procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   2440 389188064      0 1061624    0    0     2     2    0    0  0  0 100  0  0
 4  1   2440 389083232      0 1126056    0    0 63804     0 10302 11849  5  0 94  1  0
 3  0   2440 389032096      0 1132284    0    0  6144   908 13678 12454  5  1 94  0  0
 3  0   2440 389000512      0 1133972    0    0  1540     0 8217 6371  4  0 96  0  0
 0  0   2440 388982816      0 1134124    0    0   128    12 10842 5727  3  1 96  0  0
 6  0   2440 388860576      0 1161092    0    0 30428    32 6246 8361  3  0 97  0  0
 2  0   2440 388810496      0 1182912    0    0 21124    56 5124 8012  3  0 97  0  0
 0  0   2440 388756064      0 1188960    0    0  6944  1180 4142 5361  2  0 98  0  0
 6  0   2440 388729216      0 1190256    0    0  1220    28 2176 4779  1  0 99  0  0
 7  0   2440 388677792      0 1191708    0    0  1364    16 9990 25202  6  0 93  0  0
 8  0   2440 388652160      0 1195548    0    0  3840   128 9718 26692  7  1 93  0  0
 9  0   2440 388595136      0 1196864    0    0   264 53080 11462 32807  8  1 92  0  0
 8  0   2440 388567200      0 1197588    0    0   600     4 13280 51270  7  1 92  0  0
 6  0   2440 388557056      0 1198076    0    0   396     8 14309 62174  7  1 92  0  0
 6  0   2440 388525376      0 1198608    0    0   124    36 15017 60098  7  1 92  0  0
 6  0   2440 388494048      0 1202056    0    0   360     8 15181 70969  7  1 92  0  0
 6  0   2440 388460448      0 1202336    0    0    92  2320 15181 73779  6  1 92  0  0
 9  0   2440 388418816      0 1202628    0    0     0    40 14492 62495  6  1 93  0  0
 7  0   2440 388411200      0 1203048    0    0   128     4 15029 77365  6  1 92  0  0
10  0   2440 388365184      0 1203968    0    0   420    32 15004 77032  6  1 92  0  0
 7  0   2440 388322816      0 1205372    0    0   640   588 17070 86800  7  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2440 388314880      0 1206560    0    0     0     8 16423 85421  6  2 92  0  0
 7  0   2440 388278880      0 1208124    0    0   132    12 16983 96640  7  2 92  0  0
 8  0   2440 388282176      0 1208796    0    0   312    40 18688 102820  6  2 92  0  0
 9  0   2440 388272384      0 1209248    0    0     0     4 19277 109115  7  2 91  0  0
 9  0   2440 388274464      0 1209872    0    0   132     0 22612 120093  7  2 91  0  0
11  0   2440 388235648      0 1210704    0    0     0    28 23843 131141  7  2 91  0  0
12  0   2440 388143104      0 1211588    0    0     0    16 25763 153270  7  3 91  0  0
 6  0   2440 388144992      0 1212508    0    0    48    52 30398 186582  7  3 90  0  0
 5  0   2440 388136256      0 1213928    0    0   316    52 33151 203389  7  4 90  0  0
 8  0   2440 388086784      0 1214056    0    0   128   136 31472 214152  7  3 89  0  0
 9  0   2440 388031904      0 1219908    0    0   520     8 33356 219666  7  3 89  0  0
 4  0   2440 387929632      0 1221088    0    0   112    36 33521 220962  6  3 90  0  0
 6  0   2440 387894304      0 1223144    0    0    80   132 35398 217167  8  3 89  0  0
 5  0   2440 387883392      0 1224700    0    0     0    12 31477 215605  7  3 90  0  0
16  0   2440 387859616      0 1225324    0    0    88    40 32728 209448  7  3 90  0  0
 4  0   2440 387855648      0 1227496    0    0   224   256 33053 217882  7  3 90  0  0
 4  0   2440 387851296      0 1228372    0    0     0   476 33928 223061  6  3 90  0  0
 4  0   2440 387836288      0 1229976    0    0   168   204 33598 220283  7  3 90  0  0
 6  0   2440 387831616      0 1230940    0    0    16    12 31584 225727  7  3 90  0  0
 9  0   2440 387829120      0 1231820    0    0     0   128 33508 225446  7  3 90  0  0
 5  0   2440 387830528      0 1239604    0    0   144    12 32523 229465  8  3 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   2440 387826624      0 1240560    0    0    80     4 32036 226506  7  3 90  0  0
 6  0   2440 387826240      0 1242380    0    0     0   100 33286 225924  7  3 90  0  0
 4  0   2440 387824352      0 1243244    0    0     0    36 32363 227529  7  3 90  0  0
 5  0   2440 387813120      0 1244608    0    0   288     8 32732 209854  7  3 90  0  0
 7  0   2440 387812256      0 1245240    0    0   144     4 31326 227261  7  3 90  0  0
 4  0   2440 387765728      0 1249232    0    0    44 42708 33130 227200  8  3 88  0  0
 4  0   2440 387706080      0 1250796    0    0   100    16 32965 227361  7  3 90  0  0
 5  0   2440 387704832      0 1251984    0    0   236     0 32190 226648  7  3 90  0  0
 6  0   2440 387705120      0 1253832    0    0   124   160 33436 224987  8  3 89  0  0
 7  0   2440 387704384      0 1259488    0    0    64    12 32381 228048  7  3 89  0  0
 7  0   2440 387700224      0 1261588    0    0   104     8 31667 219270  7  3 90  0  0
 5  0   2440 387676352      0 1263508    0    0   304     8 34638 227425  8  3 89  0  0
 9  0   2440 387675008      0 1265168    0    0     0     4 31481 230395  6  3 90  0  0
10  0   2440 387670464      0 1266128    0    0     0     8 34285 223608  7  3 89  0  0
 6  0   2440 387671328      0 1267964    0    0    80    28 32056 222907  7  3 90  0  0
 6  0   2440 387669184      0 1268928    0    0     0    16 32200 228706  7  3 90  0  0
 6  0   2440 387668256      0 1269968    0    0    80    16 31937 228766  7  3 90  0  0
 7  0   2440 387666112      0 1270848    0    0     0     0 32623 224513  7  3 90  0  0
10  0   2440 387664320      0 1272620    0    0   128   136 31234 208394  8  3 90  0  0
 6  0   2440 387659872      0 1281148    0    0   224    32 32522 217716  8  3 89  0  0
 7  0   2440 387661824      0 1282740    0    0    44     8 33005 227416  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2440 387680640      0 1283816    0    0     4    20 32021 223261  7  3 90  0  0
 7  0   2440 387679296      0 1285304    0    0    16     4 32447 227223  7  3 90  0  0
 5  0   2440 387682304      0 1280392    0    0     0     0 31041 220528  7  3 90  0  0
 6  0   2440 387680704      0 1281340    0    0     0   284 31973 226058  7  3 90  0  0
10  0   2440 387676480      0 1282244    0    0   144   748 32275 226746  9  3 88  0  0
 7  0   2440 387675264      0 1284924    0    0     0 44076 30601 227627  7  3 90  0  0
 9  0   2440 387630176      0 1285432    0    0    20    28 30766 214410  7  3 90  0  0
 9  0   2440 387618496      0 1288176    0    0    64   128 32026 225621  8  3 89  0  0
 7  0   2440 387615744      0 1294212    0    0     0    12 34840 229385  8  3 89  0  0
 6  0   2440 387613600      0 1295200    0    0     0     4 31844 230344  7  3 90  0  0
 4  0   2440 387611264      0 1296880    0    0    16     0 31830 227881  7  3 90  0  0
10  0   2440 387610784      0 1297948    0    0     0     8 31532 221215  6  3 90  0  0
 7  0   2440 387606720      0 1300488    0    0  1000     8 32147 228648  7  3 89  0  0
 6  0   2440 387605184      0 1301448    0    0     0     4 33190 222278  7  3 90  0  0
 9  0   2440 387605888      0 1302212    0    0     0     0 34083 203569  8  4 88  0  0
 5  0   2440 387603072      0 1305456    0    0    48    12 33611 201268  7  4 89  0  0
 7  0   2440 387605024      0 1306332    0    0     0     8 34344 205984  7  4 89  0  0
13  0   2440 387602080      0 1307384    0    0    88   588 32494 203180  7  4 89  0  0
10  0   2440 387603360      0 1315580    0    0   128    20 36355 206003  8  4 88  0  0
 9  0   2440 387599744      0 1316096    0    0     0     4 33744 205344  9  4 87  0  0
 7  0   2440 387478432      0 1318968    0    0   156     0 34801 200338  8  4 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   2440 387476736      0 1308484    0    0    12 37988 36553 203997  8  4 88  0  0
 6  0   2440 387480288      0 1309572    0    0     0     0 36029 206375  7  4 89  0  0
 6  0   2440 387479520      0 1310524    0    0     0     0 33637 206236  7  4 89  0  0
 4  0   2440 387478720      0 1312680    0    0    32    16 34175 224110  8  3 89  0  0
 8  0   2440 387481696      0 1314388    0    0     0     4 31719 224228  7  3 89  0  0
 7  0   2440 387481504      0 1316156    0    0    16    24 33606 227218  7  3 90  0  0
 6  0   2440 387481568      0 1317964    0    0    64 33744 33155 229423  8  3 89  0  0
