procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   2440 388940096      0 1060184    0    0     2     2    0    0  0  0 100  0  0
 3  0   2440 388861760      0 1119496    0    0 57508     0 10787 12835  5  0 94  0  0
 3  0   2440 388799552      0 1133704    0    0 14360  1012 14368 12402  5  1 94  0  0
 4  0   2440 388763360      0 1139256    0    0  5068     0 8794 7907  5  0 94  0  0
 2  0   2440 388748160      0 1140756    0    0  1456    16 12960 8749  4  1 95  0  0
 2  1   2440 388728832      0 1166996    0    0 28248    32 7149 8142  4  0 95  0  0
 2  0   2440 388672896      0 1189760    0    0 22656   568 5209 8113  2  0 97  0  0
 0  0   2440 388614976      0 1196076    0    0  7256   840 4010 5346  2  0 98  0  0
10  0   2440 388584352      0 1197428    0    0  1320    20 2105 6788  1  0 99  0  0
74  0   2440 388534304      0 1199260    0    0  1836    12 8504 31343  6  0 93  0  0
87  0   2440 388532544      0 1199272    0    0   132     4 9632 74242  6  1 93  0  0
96  0   2440 388513536      0 1199436    0    0   112    44 9479 74256  7  1 93  0  0
104  0   2440 388509504      0 1199464    0    0    20     4 11205 198021  7  1 93  0  0
100  0   2440 388489088      0 1203248    0    0  3776     0 14301 135295  7  1 92  0  0
57  0   2440 388481568      0 1203844    0    0   200    76 12029 329992  6  1 93  0  0
104  0   2440 388454944      0 1204076    0    0   188   300 10182 89501  7  1 93  0  0
59  0   2440 388449920      0 1204184    0    0    32     4 10209 77315  6  1 93  0  0
39  0   2440 388447424      0 1204192    0    0     0   168 16228 414630  6  1 93  0  0
104  0   2440 388428448      0 1204448    0    0   148     4 14090 293316  6  1 93  0  0
104  0   2440 388393056      0 1205664    0    0   944     0 13434 191255  6  1 93  0  0
105  0   2440 388316224      0 1207140    0    0   820    32 13481 179565  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
102  0   2440 388221600      0 1208008    0    0   576     8 11149 144026  6  1 93  0  0
98  0   2440 388215552      0 1208492    0    0   212 17540 12142 351349  6  1 93  0  0
99  0   2440 388210752      0 1209228    0    0   308    40 15802 383295  6  1 93  0  0
101  0   2440 388207744      0 1209332    0    0     0     4 14590 816640  5  2 93  0  0
107  0   2440 388204064      0 1209440    0    0     4     8 12794 369218  6  1 93  0  0
104  0   2440 388203072      0 1209884    0    0    80   144 14455 533754  6  1 93  0  0
105  0   2440 388152192      0 1210332    0    0     0    16 17047 722585  5  2 93  0  0
103  0   2440 388152960      0 1210636    0    0   132    36 14072 717556  5  2 93  0  0
104  0   2440 388152512      0 1211112    0    0     0    52 11759 333395  6  1 93  0  0
42  0   2440 388152576      0 1211280    0    0     0     4 10592 139550  6  1 93  0  0
42  0   2440 388152160      0 1207152    0    0   348    32 11142 35910  6  1 93  0  0
96  0   2440 388150688      0 1207396    0    0     0     0 10149 35385  6  1 93  0  0
94  0   2440 388150912      0 1208456    0    0    28    28 10522 36234  6  1 93  0  0
98  0   2440 388153696      0 1208628    0    0    24     8 10656 133098  6  1 93  0  0
99  0   2440 388136192      0 1209432    0    0     0    44 13014 93568  6  1 93  0  0
106  0   2440 388134432      0 1210244    0    0     0     4 14897 400205  6  1 93  0  0
92  0   2440 388136480      0 1210408    0    0     8  5892 15569 460621  6  2 93  0  0
104  0   2440 388138784      0 1210960    0    0    88   352 21770 804582  5  2 93  0  0
104  0   2440 388141632      0 1211252    0    0   124    20 11271 113859  6  1 93  0  0
87  0   2440 388142240      0 1212424    0    0  1004     4 12494 182798  6  1 93  0  0
100  0   2440 388144544      0 1212696    0    0   104     0 13235 391395  6  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
108  0   2440 388133312      0 1213196    0    0   100    12 15353 365724  6  2 93  0  0
78  0   2440 388119680      0 1215584    0    0     0   104 16285 683471  5  2 93  0  0
 4  0   2440 388122464      0 1215684    0    0     0   432 14972 650303  5  2 93  0  0
101  0   2440 388119840      0 1215988    0    0    64   556 13573 315515  6  1 93  0  0
37  0   2440 388112032      0 1216756    0    0     0   128 14579 916981  5  2 93  0  0
48  0   2440 388110912      0 1216992    0    0     0     8 13037 62522  6  1 93  0  0
