procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   2440 389656992      0 926684    0    0     2     2    0    0  0  0 100  0  0
 3  0   2440 389584960      0 975608    0    0 50156     0 8832 7419  5  0 95  0  0
 4  0   2440 389536288      0 986592    0    0 11472   908 12792 8563  5  1 94  0  0
 6  0   2440 389458368      0 996732    0    0  9452   548 8846 7128  4  0 95  0  0
 2  0   2440 389397056      0 1001180    0    0  4668    12 12959 8479  4  1 95  0  0
 3  0   2440 389379296      0 1005140    0    0  3812    32 5302 4128  5  0 95  0  0
 5  0   2440 389349184      0 1016036    0    0  9940     4 7161 6848  5  0 95  0  0
 2  0   2440 389385056      0 1030176    0    0 15800   764 7588 10336  4  0 96  0  0
 4  0   2440 389295616      0 1039772    0    0 10868    12 4659 6051  3  0 97  0  0
 0  0   2440 389282016      0 1040816    0    0  1000    12 1626 2141  1  0 99  0  0
 9  0   2440 389237248      0 1043496    0    0  2320     4 6094 11430  4  0 95  0  0
 7  0   2440 389208288      0 1046864    0    0  3356    44 8625 15843  7  0 93  0  0
 8  0   2440 389200224      0 1047380    0    0   460     4 9165 21762  7  0 93  0  0
 9  0   2440 389172256      0 1048124    0    0   736   132 9628 24096  7  0 93  0  0
 7  0   2440 389165696      0 1048536    0    0   312     8 11289 32353  7  1 92  0  0
 7  0   2440 389140384      0 1048756    0    0    48    16 12160 42936  7  1 92  0  0
 7  0   2440 389113760      0 1048864    0    0     0     4 13258 51397  7  1 92  0  0
 7  0   2440 389110464      0 1050148    0    0   836 30920 14589 50715  7  1 92  0  0
 7  0   2440 389083776      0 1050384    0    0    16     4 13756 54051  7  1 93  0  0
 9  0   2440 389005632      0 1050612    0    0    68     0 13263 52215  6  1 93  0  0
 6  0   2440 388966240      0 1051688    0    0   320    56 14019 61314  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2440 388960192      0 1053052    0    0   620   404 15418 71346  6  1 92  0  0
 6  0   2440 388958368      0 1053348    0    0     0     4 14526 71019  6  1 93  0  0
 7  0   2440 388930560      0 1054152    0    0   252   172 15674 74755  6  1 92  0  0
